Freq	Pol	SR	Beam	Type	Channel	T	Encryption	FTA	Package	Res	Compression	V_PID	A_PID	SID	Owner	Date	Row
10719	V	27500	Europe9	TV	Cinemax Central Europe HD	TV	Conax|Nagravision 2|Viaccess 3.0|Mediaguard 3	No	Cyfrowy Polsat|nc+	HD	MPEG-4	165	100[pol]|101[eng]	4406	Vadim	20-Aug-18	2	
10719	V	27500	Europe9	TV	TVP HD	TV	Conax|Nagravision 2|Viaccess 3.0|Mediaguard 3	No	Cyfrowy Polsat|nc+	HD	MPEG-4	167	109[pol]|110[000]	4408	Vadim	20-Aug-18	4	
10719	V	27500	Europe9	TV	TVP 3 Warszawa	TV	Conax|Nagravision 3|Viaccess 3.0|Mediaguard 3	No	Cyfrowy Polsat|nc+	SD	MPEG-4	170	120[pol]	4411	Vadim	20-Aug-18	6	
10719	V	27500	Europe9	TV	Canal+ Now	TV	Conax|Nagravision 3|Mediaguard 3	No	nc+	SD	MPEG-4	172	128[pol]	4413	Tanea	31-Oct-17	8	
10719	V	27500	Europe9	IMG	Strefa Abonenta NC+ info	TV	Conax|Nagravision 3|Mediaguard 3	No	nc+	SD	MPEG-4	375		4481	Vadim	20-Aug-18	10	
10719	V	27500	Europe9	TV	UHD-Channel	TV	Nagravision 3	No	nc+	UHD	HEVC (H.265)	260	261[pol]|262[eng]	4490	Vadim	20-Aug-18	12	
10727	H	30000	Wide	TV	TravelXP 4K EU	TV	Viaccess 5.0	No		UHD	HEVC (H.265)	457	458[eng]	4603	Vadim	28-May-19	16	
10758	V	27500	Europe8	TV	Test6	TV	Conax|Mediaguard 2|Nagravision 3|Viaccess 3.0	No	Cyfrowy Polsat	SD	MPEG-4	279	535[pol]	17017	ttalex	19-Mar-18	20	
10758	V	27500	Europe8	TV	Stopklatka TV	TV	Conax|Mediaguard 2|Nagravision 3|Viaccess 3.0	No	Cyfrowy Polsat	SD	MPEG-4	281	537[pol]	17019	Vadim	23-Aug-17	22	
10758	V	27500	Europe8	IMG	xxxVOD1	TV	Nagravision 3	No	Cyfrowy Polsat	SD	MPEG-4	260		17021	alexfloresaf38	10-Feb-18	24	
10758	V	27500	Europe8	IMG	xxxVOD2	TV	Nagravision 3	No	Cyfrowy Polsat	SD	MPEG-4	261		17022	alexfloresaf38	10-Feb-18	26	
10758	V	27500	Europe8	TV	TESTER	TV	Conax|Mediaguard 2|Nagravision 3|Viaccess 3.0	No	Cyfrowy Polsat	SD	MPEG-4	291	547[zxx]	17023	Vadim	24-Aug-17	28	
10758	V	27500	Europe8	TV	Da Vinci Learning	TV	Conax|Mediaguard 2|Nagravision 3|Viaccess 3.0	No	Cyfrowy Polsat	SD	MPEG-4	292	548[eng]	17024	Vadim	24-Aug-17	30	
10758	V	27500	Europe8	TV	Test7	TV	Conax|Mediaguard 2|Nagravision 3|Viaccess 3.0	No	Cyfrowy Polsat	SD	MPEG-4	279	535[pol]	17025	Vadim	22-Aug-17	32	
10758	V	27500	Europe8	TV	CBS Action Polska	TV	Mediaguard 2|Nagravision 3|Viaccess 3.0	No	Cyfrowy Polsat|nc+	SD	MPEG-4	294	550[pol]|806[eng]	17026	Vadim	24-Aug-17	34	
10758	V	27500	Europe8	TV	Metro TV	TV	Nagravision 3|Viaccess 3.0	No	Cyfrowy Polsat	SD	MPEG-4	305	561[pol]	17031	ade3661	16-Jun-19	36	
10758	V	27500	Europe8	TV	TVP Rozrywka	TV	Mediaguard 2|Nagravision 3|Viaccess 3.0	No	Cyfrowy Polsat|nc+	SD	MPEG-4	306	562[pol]	17032	Vadim	25-Aug-17	38	
10758	V	27500	Europe8	TV	TV Republika	TV	Conax|Nagravision 3|Viaccess 3.0|Mediaguard 3	No	Cyfrowy Polsat|nc+	SD	MPEG-4	307	563[pol]	17033	ade3661	16-Jun-19	40	
10758	V	27500	Europe8	TV	FilmBox Arthouse	TV	Conax|Mediaguard 2|Nagravision 3|Viaccess 3.0	No	Cyfrowy Polsat|nc+	SD	MPEG-4	308	564[pol]	17034	Vadim	25-Aug-17	42	
10758	V	27500	Europe8	TV	Test 1	TV	Nagravision 3	No	Cyfrowy Polsat	SD	MPEG-4	309	565[pol]	17035	Vadim	16-Jun-19	44	
10758	V	27500	Europe8	TV	DTX (Discovery Turbo Xtra)	TV	Nagravision 3	No	Cyfrowy Polsat	SD	MPEG-4	310	566[pol]	17036	Tanea	16-Jun-19	46	
10758	V	27500	Europe8	TV	4fun Gold Hits	TV	FTA	Yes	Cyfrowy Polsat	SD	MPEG-4	276	532[pol]|788[pol]	17038	Vadim	25-Aug-17	48	
10758	V	27500	Europe8	TV	4fun Dance	TV	FTA	Yes	Cyfrowy Polsat	SD	MPEG-4	280	536[pol]|792[pol]	17039	Vadim	25-Aug-17	50	
10758	V	27500	Europe8	TV	Epic Drama HD	TV	Conax|Nagravision 3|Viaccess 3.0	No	Cyfrowy Polsat	HD	MPEG-4	320	576[pol]	17040	Tanea	16-Jun-19	52	
10758	V	27500	Europe8	TV	Zoom TV	TV	Conax|Nagravision 3|Viaccess 3.0|Mediaguard 3	No	Cyfrowy Polsat|nc+	SD	MPEG-4	321	577[pol]	17041	Vadim	25-Aug-17	54	
10758	V	27500	Europe8	TV	TV6 Polska HD	TV	Conax|Nagravision 3|Viaccess 3.0|Mediaguard 3	No	Cyfrowy Polsat|nc+	HD	MPEG-4	322	578[pol]|834[pol]	17042	Vadim	25-Aug-17	56	
10758	V	27500	Europe8	TV	Polsat Music HD	TV	Conax|Nagravision 3|Viaccess 3.0|Mediaguard 3	No	Cyfrowy Polsat|nc+	HD	MPEG-4	323	579[pol]|835[pol]	17043	Vadim	16-Jun-19	58	
10758	V	27500	Europe8	TV	Boomerang HD	TV	Conax|Nagravision 3|Viaccess 3.0|Mediaguard 3	No	Cyfrowy Polsat|nc+	HD	MPEG-4	325	581[pol]|837[eng]	17045	ade3661	16-Jun-19	60	
10758	V	27500	Europe8	TV	Vox Music TV Polska	TV	FTA	Yes		SD	MPEG-4	328	584[pol]	17048	Tanea	28-Nov-19	62	
10758	V	27500	Europe8	TV	Eska Rock TV	TV	FTA	Yes		SD	MPEG-4	329	585[pol]	17049	Tanea	28-Nov-19	64	
10758	V	27500	Europe8	TV	Polo TV	TV	FTA	Yes		SD	MPEG-4	515	692[pol]	17050	Tanea	16-Jun-19	66	
10758	V	27500	Europe8	TV	Eska TV Extra	TV	FTA	Yes		SD	MPEG-4	337	593[pol]	17051	Tanea	16-Jun-19	68	
10758	V	27500	Europe8	TV	Eska TV	TV	Nagravision 3	No	Cyfrowy Polsat	SD	MPEG-2	338	594[pol]	17052	Tanea	16-Jun-19	70	
10758	V	27500	Europe8	TV	Fokus TV	TV	Nagravision 3	No	Cyfrowy Polsat	SD	MPEG-4	339	595[pol]|851[aux]	17053	Tanea	16-Jun-19	72	
10758	V	27500	Europe8	TV	Nowa TV	TV	Nagravision 3	No	Cyfrowy Polsat	SD	MPEG-4	340	596[pol]	17054	Tanea	16-Jun-19	74	
10775	H	29900	Wide	TV	IRINN	TV	FTA	Yes		SD	MPEG-4	1060	1061[per]|1062[per]	1506	Tanea	18-Feb-20	78	
10775	H	29900	Wide	TV	IRIB Quran	TV	FTA	Yes		SD	MPEG-4	1080	1081[per]	1508	Tanea	18-Feb-20	80	
