Freq	Pol	SR	Beam	Type	Channel	T	Encryption	FTA	Package	Res	Compression	V_PID	A_PID	SID	Owner	Date	Row
10721	H	22000	EuropeB	DATA	BBC Persian	TV	FTA	Yes		SD	MPEG-2	0		0	Mehr7400	23-Sep-11	2	
10721	H	22000	EuropeB	TV	Simaye Azadi Iran National TV	TV	FTA	Yes		SD	MPEG-2	201	202[per]	2	allaei	15-Sep-11	4	
10721	H	22000	EuropeB	TV	Nejat TV	TV	FTA	Yes		SD	MPEG-2	501	502[per]	5	Tanea	31-May-17	6	
10721	H	22000	EuropeB	TV	Manoto	TV	FTA	Yes		SD	MPEG-2	3555	3675[per]	7355	ade3661	27-Mar-17	8	
10721	H	22000	EuropeB	TV	Rang A Rang TV	TV	FTA	Yes		SD	MPEG-2	6011	6012[per]	8601	Tanea	7-Nov-17	10	
10721	H	22000	EuropeB	TV	Channel Yek	TV	FTA	Yes		SD	MPEG-2	921	922[per]	9002	Tanea	15-Oct-19	12	
10721	H	22000	EuropeB	R	Syrnet - Syria Radio Network	R	FTA	Yes		SD	MPEG-2	0	402[][]|402[Ar]	0	Hochleichter	27-Mar-17	14	
10721	H	22000	EuropeB	R	Start FM	R	FTA	Yes		SD	MPEG-2	0	302[][]|302[Ar]	0	Hochleichter	27-Mar-17	16	
10721	H	22000	EuropeB	R	GünAz Radio	R	FTA	Yes				0	1901[aze]	19	Frocus	14-Sep-15	18	
10721	V	27500	East	R	BBC English	R	FTA	Yes	opensky		MPEG-1	0	6662[eng]	13907	EnoSat	31-Jan-20	22	
10721	V	27500	East	DATA	BBC Eur Feed 5	R	BISS	No	opensky		MPEG-1	0		13975	EnoSat	31-Jan-20	24	
10762	H	30000	Africa	DATA	test card	TV	FTA	Yes		SD	MPEG-2	0		0	ikumbet	18-Oct-19	28	
10803	H	30000	West	TV	MTV Live HD	TV	Irdeto 2	No	DigiTurk	HD	MPEG-4	100	110[eng]	2501	Frocus	2-Mar-12	32	
10803	H	30000	West	TV	BBC HD Nordic	TV	Irdeto 2	No	DigiTurk	HD	MPEG-4	2494	3503[eng]	2502	Tanea	14-Aug-13	34	
10803	H	30000	West	TV	History HD UK	TV	Irdeto 2	No	DigiTurk	HD	MPEG-4	400	410[000]|411[eng]	2504	Frocus	25-May-12	36	
10803	H	30000	West	TV	Eurosport HD	TV	Irdeto 2	No	DigiTurk	HD	MPEG-4	2491	3491[tur]|3591[eng]	2505	Tanea	16-Jul-14	38	
10803	H	30000	West	TV	Kanal 7 HD Türkiye	TV	Irdeto 2	No	DigiTurk	HD	MPEG-4	2499	3499[tur]	2509	Tanea	8-Nov-17	40	
10803	H	30000	West	TV	beIN Series Sci-Fi HD	TV	Irdeto 2	No	DigiTurk	HD	MPEG-4	2497	3498[eng]|3504[tur]	2510	Tanea	20-Jan-17	42	
10803	H	30000	West	TV	Eurosport 2 HD	TV	Irdeto 2	No	DigiTurk	HD	MPEG-4	2495	3492[eng]|3592[tur]	2511	Tanea	2-Aug-15	44	
10803	H	30000	West	TV	TJK TV HD (Türkiye Jokey Kulübü)	TV	Irdeto 2	No	DigiTurk	HD	MPEG-4	2499	3593[tur]	2597	Tanea	27-Jun-17	46	
10804	V	30000	West	TV	TRT Avaz	TV	FTA	Yes		SD	MPEG-2	2500	3500[tur]	8501	ade3661	20-Feb-19	50	
10804	V	30000	West	TV	TRT Okul	TV	FTA	Yes		SD	MPEG-2	2501	3510[tur]	8502	ade3661	20-Feb-19	52	
10804	V	30000	West	TV	TRT Arapça (TRT Arabi)	TV	FTA	Yes		SD	MPEG-2	2502	3520[ara]	8503	ade3661	20-Feb-19	54	
10804	V	30000	West	TV	TRT Belgesel	TV	FTA	Yes		SD	MPEG-2	2503	3530[tur]	8504	ade3661	20-Feb-19	56	
10804	V	30000	West	TV	TRT Türk	TV	FTA	Yes		SD	MPEG-2	2504	3540[tur]	8505	ade3661	20-Feb-19	58	
10804	V	30000	West	TV	TRT Kurdi	TV	FTA	Yes		SD	MPEG-2	2505	3550[kur]	8506	ade3661	20-Feb-19	60	
10804	V	30000	West	TV	TRT 3 Spor / TBMM TV (6.58-5.58)	TV	FTA	Yes		SD	MPEG-2	2506	2560[tur]	8507	ade3661	20-Feb-19	62	
