No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10722	V	30000			EUV3	0	25	0	0	25
	10722	V	27500			MEV3	0	19	0	0	19
	10758	V	30000			EUV3	3	24	0	0	27
	10758	V	27500			MEV3	0	20	1	0	21
	10806	V	30000			EUV3	0	23	0	0	23
	10806	V	27500			MEV3	0	15	1	0	16
	10842	V	30000			EUV3	0	11	0	0	11
	10842	V	27500|30000			MEV3	0	23	2	0	25
	10925	V	27500			MEV3	0	19	3	0	22
	10972	V	30000			MEV3	0	16	0	0	16
	10997	V	15000			ME	0	2	1	0	3
	11030	V	27500			ME	0	15	3	0	18
	11031	V	27500			ME	0	14	0	0	14
	11033	H	3000			ME	0	1	0	0	1
	11057	V	13750			ME	0	5	0	0	5
	11062	H	4500			ME	0	2	0	0	2
	11077	V	10416			ME	0	1	0	0	1
	11080	V	9546			ME	0	5	0	0	5
	11095	H	11480			ME	0	2	0	0	2
	11100	H	2100			EUH3	0	0	0	1	1
	11103	V	30000			ME	0	0	2	0	2
	11113	H	8518			ME	8	2	0	0	10
	11140	H	30000			EUH3	6	13	0	0	19
	11175	H	30000			EUH3	2	12	0	0	14
	11222	H	30000			EUH3	0	14	0	0	14
	11258	H	30000			EUH3	0	10	0	0	10
	11304	H	8888			EUH3	1	2	0	0	3
	11321	H	4800			EUH3	0	0	0	1	1
	11322	H	7200			EUH3	0	0	0	1	1
	11323	H	2400			EUH3	0	0	0	1	1
	11324	H	3200			EUH3	0	0	0	1	1
	11325	H	2400			EUH3	0	0	0	1	1
	11327	H	3200			EUH3	0	0	0	1	1
	11333	H	8000			EUH3	0	0	0	2	2
	11340	H	3000			EUH3	0	0	0	1	1
	11346	H	2929			EUH3	0	0	0	1	1
	11350	H	17333			EUH3	0	5	0	2	7
	11351	H	1250			EUH3	0	0	0	2	2
	11373	H	5450			EUH3	0	0	0	1	1
	11374	V	5231			MEV3	0	0	0	1	1
	11378	H	3200			EUH3	0	0	0	1	1
	11382	H	3200			EUH3	0	0	0	1	1
	11385	H	2400			EUH3	0	0	0	1	1
	11386	H	3200			EUH3	0	0	0	1	1
	11387	V	2000			MEV3	0	0	0	1	1
	11389	H	30000			EUH3	0	6	0	0	6
	11391	H	3200			EUH3	0	0	0	1	1
	11392	H	2400			EUH3	0	0	0	1	1
	11395	H	2400			EUH3	0	0	0	1	1
	11396	H	3200			EUH3	0	0	0	1	1
	11426	H	30000			EUH3	0	17	0	0	17
	11436	V	2999			MEV3	0	0	0	1	1
	11449	H	1704			EUH3	0	0	0	1	1
	11468	H	2222			PanEuropean	0	0	0	1	1
	11474	V	27500			MEV3	16	3	0	0	19
	11476	H	2300			PanEuropean	0	0	0	1	1
	11500	H	23994			PanEuropean	0	0	0	1	1
	11501	V	13750			MEV3	0	5	3	0	8
	11530	H	5450			PanEuropean	0	0	0	1	1
	11544	H	3333			PanEuropean	0	0	0	1	1
	11551	H	5454			PanEuropean	0	0	0	1	1
	11552	V	27500			MEV3	0	15	0	0	15
	11553	V	27500			MEV3	0	21	0	0	21
	11554	V	27500			MEV3	0	20	3	0	23
	11568	H	15000			PanEuropean	0	6	0	0	6
	11580	V	1222			MEV3	0	0	0	1	1
	11585	H	2604			PanEuropean	0	0	0	1	1
	11590	H	3700			EUH3	1	1	0	0	2
	11596	H	7200			PanEuropean	0	0	0	1	1
	11636	H	26000			PanEuropean	0	0	0	1	1
	11645	H	4231			PanEuropean	0	0	0	1	1
	11646	H	5000			PanEuropean	0	0	0	1	1
	11654	H	3333			PanEuropean	0	0	0	1	1
	11655	H	6545			PanEuropean	0	0	0	1	1
	11727	V	27500			ME	0	0	0	1	1
	11747	H	27500			ME	0	0	0	1	1
	11823	H	27500			ME	0	0	0	1	1
	12149	V	27500			ME	0	0	0	1	1
	12169	H	27500			ME	0	0	0	1	1
	12226	V	27500			ME	0	0	0	1	1
	12297	H	45000			ME	0	7	1	0	8
	12303	V	31420			ME	0	0	0	2	2
	12340	H	17900			CEE	0	7	0	0	7
	12364	H	13333			CEE	0	4	0	0	4
	12374	H	4800			CEE	0	0	0	1	1
	12377	H	3200			CEE	0	0	0	1	1
	12380	V	30000			ME	0	0	0	1	1
	12391	H	3200			CEE	0	0	0	1	1
	12395	H	3200			CEE	0	0	0	1	1
	12399	H	27500			ME	0	0	0	1	1
	12410	H	20833			CEE	0	13	1	0	14
	12456	V	31420			ME	0	0	0	2	2
	12476	H	27500			ME	0	0	0	1	1
