No	Freq	Pol	Beam	SID	Name	Lang
	10729	V	1KR	30805	beIN LaLiga 2 HD	[eng][spa]
	10729	V	1KR	30806	AXN Spain	[spa]
	10729	V	1KR	30807	M.Comedia	[spa]
	10729	V	1KR	30809	VAMOS HD	[000][spa]
	10729	V	1KR	30814	Alquiler 2 HD	[spa]
	10729	V	1KR	30815	Movistar Partidazo HD	[spa]
	10729	V	1KR	30817	Movistar Liga de Campeones HD 1	[eng][spa]
	10729	V	1KR	30819	La 1 Spain	[spa]
	10729	V	1KR	30820	Movistar Liga de Campeones HD 2	[eng][spa]
10	10744	H	1KR	28722	One (ARD)	[000][ger]
11	10744	H	1KR	28724	ARTE Deutsch	[fre][ger]
12	10744	H	1KR	28725	Phoenix	[ger]
	10758	V	1MEurope	0	test card	
	10758	V	1MEurope	29850	Divinty Spain	[spa]
	10758	V	1MEurope	29851	Fox News Channel	[eng]
	10758	V	1MEurope	29852	Baby TV Europe	[eng][spa]
	10758	V	1MEurope	29854	Boing Spain	[000][spa]
	10758	V	1MEurope	29855	Energy	[000][spa]
	10758	V	1MEurope	29856	Barça TV	[cat][spa]
	10758	V	1MEurope	29857	Eurosport 1 España	[spa]
	10758	V	1MEurope	29858	MTV España	[eng][spa]
	10758	V	1MEurope	29859	GOL	[spa]
	10758	V	1MEurope	29860	Movistar F1	[000][spa]
18	10773	H	1MEurope	21103	QVC HD	[ger]
19	10773	H	1MEurope	21104	HSE24 HD	[ger]
	10773	H	1MEurope	21107	Nick Night Deutschland HD	[eng][ger]
	10773	H	1MEurope	21108	N24 HD	[ger]
	10773	H	1MEurope	21111	ASTRA Portal	
20	10773	H	1MEurope	21112	Sophia TV	[ger]
21	10773	H	1MEurope	21113	Genius Plus TV	[ger]
	10773	H	1MEurope	21118	N24 HD Austria	[ger]
	10788	V	1KR	30350	Alquiler 1	[000][spa]
	10788	V	1KR	30351	Alquiler 2	[000][spa]
	10788	V	1KR	30352	M. LaLiga 8	[000][spa]
	10788	V	1KR	30355	M. Deportes 7	[000][spa]
	10788	V	1KR	30357	Alquiler XY	[spa]
	10788	V	1KR	30359	Nick Jr. España	[000][spa]
	10788	V	1KR	30361	Mezzo	[fre]
	10788	V	1KR	30362	LaLiga TV Bar 2	[dos][spa]
	10788	V	1KR	30363	M. LaLiga 4	[000][spa]
	10788	V	1KR	30364	M. LaLiga 3	[000][spa]
	10788	V	1KR	30365	Movistar Liga de Campeones 6	[000][spa]
	10788	V	1KR	30366	M. Deportes 6	[000][spa]
	10788	V	1KR	30367	Movistar Liga de Campeonesax 1	[eng][spa]
	10788	V	1KR	30372	Canal Orbe 21	[spa]
	10788	V	1KR	30374	MultiFútbol 9	[000][spa]
	10788	V	1KR	30375	MultiDeporte 9	[000][spa]
	10803	H	1KR	5500	Disney Channel Deutschland HD	[ger]
25	10803	H	1KR	5501	HSE 24 Extra HD	[ger]
26	10803	H	1KR	5502	123tv HD	[ger]
	10803	H	1KR	5503	Deluxe Music HD	[ger]
27	10803	H	1KR	5504	QVC 2 Deutschland HD	[ger]
	10803	H	1KR	5505	Sport 1 HD Deutschland	[ger]
	10803	H	1KR	5510	Disney Channel Austria HD	[ger]
	10803	H	1KR	5513	Deluxe Music HD Austria	[ger]
	10818	V	1MEurope	29950	Fox HD Spain & Portugal	[spa]
	10818	V	1MEurope	29951	beIN LaLiga 1 HD	[qaa][spa]
	10818	V	1MEurope	29952	M.Acción HD	[000][spa]
	10818	V	1MEurope	29954	M. Drama HD	[000][spa]
	10818	V	1MEurope	29964	Hollywood HD	[eng][spa]
	10818	V	1MEurope	29966	BeIN Max 3 HD	[spa]
	10832	H	1MEurope	61200	RTL HD	[ger]
	10832	H	1MEurope	61201	VOX HD	[ger]
	10832	H	1MEurope	61204	N-TV HD	[ger]
