No	Freq	Pol	Beam	SID	Name	Lang
	10719	V	Europe9	4406	Cinemax Central Europe HD	[eng][pol]
	10719	V	Europe9	4408	TVP HD	[000][pol]
	10719	V	Europe9	4411	TVP 3 Warszawa	[pol]
	10719	V	Europe9	4413	Canal+ Now	[pol]
	10719	V	Europe9	4481	Strefa Abonenta NC+ info	
	10719	V	Europe9	4490	UHD-Channel	[eng][pol]
	10727	H	Wide	4603	TravelXP 4K EU	[eng]
	10758	V	Europe8	17017	Test6	[pol]
	10758	V	Europe8	17019	Stopklatka TV	[pol]
	10758	V	Europe8	17021	xxxVOD1	
	10758	V	Europe8	17022	xxxVOD2	
	10758	V	Europe8	17023	TESTER	[zxx]
	10758	V	Europe8	17024	Da Vinci Learning	[eng]
	10758	V	Europe8	17025	Test7	[pol]
	10758	V	Europe8	17026	CBS Action Polska	[eng][pol]
	10758	V	Europe8	17031	Metro TV	[pol]
	10758	V	Europe8	17032	TVP Rozrywka	[pol]
	10758	V	Europe8	17033	TV Republika	[pol]
	10758	V	Europe8	17034	FilmBox Arthouse	[pol]
	10758	V	Europe8	17035	Test 1	[pol]
	10758	V	Europe8	17036	DTX (Discovery Turbo Xtra)	[pol]
4	10758	V	Europe8	17038	4fun Gold Hits	[pol]
5	10758	V	Europe8	17039	4fun Dance	[pol]
	10758	V	Europe8	17040	Epic Drama HD	[pol]
	10758	V	Europe8	17041	Zoom TV	[pol]
	10758	V	Europe8	17042	TV6 Polska HD	[pol]
	10758	V	Europe8	17043	Polsat Music HD	[pol]
	10758	V	Europe8	17045	Boomerang HD	[eng][pol]
	10758	V	Europe8	17048	Vox Music TV Polska	[pol]
	10758	V	Europe8	17049	Eska Rock TV	[pol]
	10758	V	Europe8	17050	Polo TV	[pol]
6	10758	V	Europe8	17051	Eska TV Extra	[pol]
	10758	V	Europe8	17052	Eska TV	[pol]
	10758	V	Europe8	17053	Fokus TV	[aux][pol]
	10758	V	Europe8	17054	Nowa TV	[pol]
7	10775	H	Wide	1506	IRINN	[per]
8	10775	H	Wide	1508	IRIB Quran	[per]
9	10775	H	Wide	1514	iFilm TV	[ara][per]
10	10775	H	Wide	1520	IRIB Nasim	[per]
11	10775	H	Wide	1521	Jame-Jam TV Network	[per]
12	10775	H	Wide	1522	Jame-Jam TV 2	[per]
13	10775	H	Wide	1523	Jame-Jam TV 3	[per]
14	10775	H	Wide	1526	Sahar Balkan (Bosanski)	[bos]
15	10775	H	Wide	1527	Sahar Azeri	[aze]
16	10775	H	Wide	1528	Sahar Urdu	[urd]
17	10775	H	Wide	1529	Sahar Kurdi	[kur]
18	10775	H	Wide	1530	Alkawthar TV	[ara]
19	10775	H	Wide	1531	Press TV HD	[eng]
20	10775	H	Wide	1532	Hispan TV	[spa]
21	10775	H	Wide	1533	iFilm English	[eng][per]
	10796	V	Europe9	15702	Discovery Life HD	[eng][pol]
	10796	V	Europe9	15703	Vox Music TV Polska	[pol]
22	10796	V	Europe9	15704	TV Silesia	[pol]
	10796	V	Europe9	15705	TVP Kultura	[pol]
	10796	V	Europe9	15706	WP	[pol]
	10796	V	Europe9	15707	CBS Reality	[eng][pol]
	10796	V	Europe9	15708	TVP Seriale	[pol]
	10796	V	Europe9	15709	AXN Spin HD Polska	[eng][pol]
	10796	V	Europe9	15710	National Geographic Channel Polska	[000][hun][pol]
	10796	V	Europe9	15711	TVP ABC	[pol]
	10796	V	Europe9	15712	FilmBox Premium HD	[pol]
	10796	V	Europe9	15713	Kino TV	[pol]
	10796	V	Europe9	15714	Filmbox Family	[cze][hun][pol]
	10796	V	Europe9	15715	Eska Rock TV	[pol]
	10796	V	Europe9	15717	FilmBox Action	[pol]
	10796	V	Europe9	15718	TV Puls HD	[pol]
	10796	V	Europe9	15719	TVP Historia	[000][pol]
	10796	V	Europe9	15720	FilmBox Extra	[pol]
23	10815	H	Europe8	17308	Vozrojdenie.tv	[eng][ukr]
	10815	H	Europe8	17310	VRT Radio1	
24	10815	H	Europe8	17311	BVN	[dut]
25	10815	H	Europe8	17312	CNL	[rus]
26	10815	H	Europe8	17315	Fashion One	
27	10815	H	Europe8	17317	TBN Rossiya	[rus]
28	10815	H	Europe8	17320	Thai TV Global Network	[tha]
29	10815	H	Europe8	17337	TVK	
	10815	H	Europe8	17344	The Overcomer Ministry	[eng]
30	10815	H	Europe8	17373	The Word Network	[eng]
	10834	V	Europe9	3502	Kino Polska Muzyka	[pol]
	10834	V	Europe9	3503	Sport Klub Polska HD	[pol]
	10834	V	Europe9	3506	Discovery Historia Polska	[pol]
	10834	V	Europe9	3507	Zest TV	[pol]
	10834	V	Europe9	3590	BBC HD Nordic	[eng][pol]
	10834	V	Europe9	3592	BBC Earth HD Polska	[eng][pol]
	10834	V	Europe9	3593	HBO 2 HD Polska	[eng][pol]
	10834	V	Europe9	3594	HBO 3 HD Polska	[eng][pol]
32	10873	V	Europe9	1	Al Maghribya	[ara]
33	10873	V	Europe9	2	Al Aoula Laayoune	[ara]
34	10873	V	Europe9	3	Al Aoula Inter HD	[ara]
	10873	V	Europe9	4	Arrabiâ	[ara]
36	10873	V	Europe9	5	Al Aoula Inter	[ara]
37	10873	V	Europe9	6	Assadissa	[ara]
38	10873	V	Europe9	8	Medi 1 TV	[ara]
39	10873	V	Europe9	10	Arryadia	[ara]
	10873	V	Europe9	11	Chaîne Nationale	[ara]
	10873	V	Europe9	12	Radio Régional de Dakhla	[ara]
	10873	V	Europe9	14	Chaîne Inter	[fre]
	10873	V	Europe9	15	Radio Amazigh	[ara]
	10873	V	Europe9	16	Radio Mohammed VI du Saint Coran	[ara]
	10873	V	Europe9	31	Arryadia HD (3)	[ara]
	10873	V	Europe9	50	Radio Plus Agadir	[ara]
	10873	V	Europe9	60	Radio Al Houceima	[ara]
	10873	V	Europe9	70	Radio Tetouan	[ara]
	10873	V	Europe9	80	Radio Meknes	[ara]
	10873	V	Europe9	129	Radio Méditerranée International	[fre]
	10873	V	Europe9	177	Radio Tanger	[ara]
	10873	V	Europe9	178	Radio Fes	[ara]
	10873	V	Europe9	179	Radio Marrakech (Alwatania)	[ara]
40	10873	V	Europe9	241	Tamazight HD	[ber]
	10892	H	Europe9	4802	Canal+ Sport 3 HD	[pol]
	10892	H	Europe9	4803	Canal+ Sport 4 HD	[pol]
	10892	H	Europe9	4804	TVR Polska	[pol]
	10892	H	Europe9	4805	Filmbox Premium HD Polska	[pol]
	10892	H	Europe9	4806	Kino Polska	[pol]
	10892	H	Europe9	4845	NC+ info card	[pol][qaa]
41	10892	H	Europe9	4849	NC+ info card	[pol][qaa]
	10892	H	Europe9	4885	Eurosport 2 HD	[bul][cze][eng][hrv][hun][rum][rus][srp][tur]
	10892	H	Europe9	4886	Eurosport 2 HD (UPC)	[cze][eng][hun][rum]
	10911	V	Europe9	15902	E! Entertainment TV	[pol]
	10911	V	Europe9	15904	Universal Channel HD Polska	[eng][pol]
	10911	V	Europe9	15905	TLC HD Polska	[pol]
	10911	V	Europe9	15906	H2 HD Polska	[pol]
	10911	V	Europe9	15907	Golf Channel Polska HD	[eng][pol]
	10911	V	Europe9	15908	FightBox	[eng][pol]
	10911	V	Europe9	15909	Eurosport 1 HD	[pol]
	10911	V	Europe9	15910	13 Ulica Polska HD	[pol]
	10911	V	Europe9	15911	Lifetime HD	[pol]
	10911	V	Europe9	15920	PPV KSW 51 HD	[pol]
	10930	H	Europe9	50	Shant Premium HD	[arm]
	10930	H	Europe9	51	Shant Music HD	[arm]
	10930	H	Europe9	52	Armenia TV HD	[arm]
	10930	H	Europe9	1510	Satisfaction Channel Television	[ita]
	10930	H	Europe9	16901	Dorcel TV HD	[eng][fre][pol][spa]
	10930	H	Europe9	16910	urdu news	[eng][fre]
	10930	H	Europe9	16911	La Deux	[fre]
	10930	H	Europe9	16912	La Trois	[fre]
	10930	H	Europe9	16913	RTL TVI HD	[fre]
	10930	H	Europe9	16914	Club-RTL	[fre]
	10930	H	Europe9	16915	Plug RTL	[fre]
	10930	H	Europe9	16917	Classic 21	[fre]
	10930	H	Europe9	16918	VivaCité	[fre]
	10930	H	Europe9	16919	Musiq3	[fre]
	10930	H	Europe9	16920	La Première	[fre]
	10930	H	Europe9	16921	MiNT	[fre]
	10930	H	Europe9	16922	Bel RTL	[fre]
	10930	H	Europe9	16923	Radio Contact	[fre]
44	10930	H	Europe9	16924	UA TV	[ukr]
	10930	H	Europe9	16926	Penthouse Black	[eng]
	10930	H	Europe9	16927	Penthouse HD 2	[eng]
	10930	H	Europe9	16928	Hustler HD	[eng]
	10930	H	Europe9	16929	Blue Hustler	[eng]
	10949	V	Europe8	7403	WRN Russkij	[rus]
	10949	V	Europe8	7404	WRN English Europe	[eng]
	10949	V	Europe8	7406	Radio Jahani	[ara]
	10949	V	Europe8	7407	Babcock Events	[eng]
	10949	V	Europe8	7408	Babcock Sawt Al Alam	[ara]
45	10949	V	Europe8	7456	Al Hiwar HD	[ara]
	10949	V	Europe8	7461	Brazzers TV Europe	[eng][fre]
46	10949	V	Europe8	7462	EWTN UK & Ireland	[eng]
47	10949	V	Europe8	7463	CNBC Europe	[eng]
	10949	V	Europe8	7466	Imam Hussein TV 3	[eng]
	10949	V	Europe8	7469	RFI Persian	[per]
	10949	V	Europe8	7470	Sat-7 Pars (11-21 & 23-09)	[per]
	10949	V	Europe8	7470	Türk-7 (09-11 & 21-23)	[tur]
	10949	V	Europe8	7471	Velayat TV	[per]
	10949	V	Europe8	7475	Imam Hussein 1	[per]
	10971	H	Europe8	17201	SRF 1 HD	[000][eng][ger]
	10971	H	Europe8	17202	SRF zwei HD	[000][eng][ger]
	10971	H	Europe8	17203	RTS Un HD	[000][eng][fre]
	10971	H	Europe8	17204	RTS Deux HD	[000][eng][fre]
	10992	V	Wide	0	test card	
	10992	V	Wide	8501	Rai 3 TGR FVG	[000][ita]
	10992	V	Wide	8502	Rai Movie	[ita]
48	10992	V	Wide	8511	Rai 1	[ita]
49	10992	V	Wide	8512	Rai 2	[ita]
50	10992	V	Wide	8513	Rai 3	[ita]
	10992	V	Wide	8514	Rai 4	[eng][ita]
	10992	V	Wide	8515	RAI Radio Tutta Italiana	[ita]
51	10992	V	Wide	8516	Rai News 24	[ita]
	10992	V	Wide	8554	Radio OM unica (Rai Radio 1)	[ita]
	10992	V	Wide	8555	Rai Radio 2 mono	[ita]
	10992	V	Wide	8556	Rai Radio 3 mono	[ita]
	11013	H	Europe9	17711	Rai 5 HD	[ita]
	11013	H	Europe9	17712	Rai Gulp HD	[ita]
	11013	H	Europe9	17713	Rai YoYo HD	[ita]
	11013	H	Europe9	17715	Rai Scuola HD	[ita]
