Freq	Pol	Beam	SID	Type	Name	Lang	FTA
10720	H	EuropeB	911	TV	HRTInt.	[hrv]	Yes
10762	H	EuropeB	1000	TV	RTK-1	[alb]	Yes
10762	H	EuropeB	1020	TV	Top News	[000][alb]	Yes
10762	H	EuropeB	1300	TV	BCTV Europe	[alb]	Yes
10804	H	SEAfrica	7	TV	AB 3	[fre]	Yes
10804	H	SEAfrica	10	TV	AB Moteurs	[fre]	Yes
10804	H	SEAfrica	11	TV	AB 1	[fre]	Yes
10804	H	SEAfrica	13	TV	Toute l Histoire	[fre]	Yes
10804	H	SEAfrica	15	TV	Animaux	[fre]	Yes
10804	H	SEAfrica	18	TV	Ciné Polar	[fre]	Yes
10804	H	SEAfrica	25	TV	Setanta Africa	[eng][fre]	Yes
10804	H	SEAfrica	26	TV	KTO	[fre]	Yes
10804	H	SEAfrica	101	TV	Vision 4	[fre]	Yes
10804	H	SEAfrica	102	TV	2S TV	[fre]	Yes
10804	H	SEAfrica	103	TV	RDV	[fre]	Yes
10804	H	SEAfrica	107	TV	Emirem TV (Eglise Missionnaire du Réveil Mondial)	[fre]	Yes
10804	H	SEAfrica	108	TV	CRTV News	[fre]	Yes
10804	H	SEAfrica	112	TV	Wisal Hausa TV	[hau]	Yes
10804	H	SEAfrica	113	TV	Label TV	[fre]	Yes
10804	H	SEAfrica	114	TV	TV Colombe	[fre]	Yes
10804	H	SEAfrica	117	TV	Vision 4 RCA	[fre]	Yes
10804	H	SEAfrica	118	TV	CRTV Sports and Entertainment	[fre]	Yes
10804	H	SEAfrica	121	TV	LMTV	[fre]	Yes
10804	H	SEAfrica	201	TV	ORTB TV Benin	[fre]	Yes
10804	H	SEAfrica	204	TV	Golfe TV International	[fre]	Yes
10804	H	SEAfrica	206	TV	Asonga Telévision	[spa]	Yes
10804	H	SEAfrica	341	TV	CRTV	[fre]	Yes
10804	H	SEAfrica	342	TV	Afrique Média	[fre]	Yes
10804	H	SEAfrica	343	TV	Equinoxe TV	[fre]	Yes
10804	H	SEAfrica	345	TV	Canal 2 International	[fre]	Yes
10804	H	SEAfrica	346	TV	Canal 2 infos	[fre]	Yes
10804	H	SEAfrica	348	TV	Equinoxe TV	[fre]	Yes
10804	H	SEAfrica	349	TV	CamNews 24	[fre]	Yes
10804	H	SEAfrica	352	TV	STV 2	[fre]	Yes
10804	H	SEAfrica	382	TV	DRTV International	[fre]	Yes
10804	H	SEAfrica	441	TV	Mboa TV	[fre]	Yes
10804	H	SEAfrica	442	TV	France 24 Français	[fre]	Yes
10804	H	SEAfrica	505	TV	UbizNews	[fre]	Yes
10804	H	SEAfrica	650	TV	Eden TV	[fre]	Yes
10804	H	SEAfrica	670	TV	TVC Benin	[fre]	Yes
10845	H	EuropeB	1003	TV	Family Channel HD	[000][alb]	Yes
10845	H	EuropeB	1028	TV	Ndihma e Klientit	[alb]	Yes
10928	H	EuropeB	1102	TV	Wness TV	[bul][eng][ukr]	Yes
10977	H	EuropeB	101	TV	Canal 3 Benin	[fre]	Yes
10977	H	EuropeB	108	TV	Kombat Sport	[fre]	Yes
10977	H	EuropeB	114	TV	Canal 3 Niger	[fre]	Yes
10977	H	EuropeB	120	TV	Télé Sahel	[fre]	Yes
10977	H	EuropeB	123	TV	Sunna TV Savana	[hau]	Yes
10977	H	EuropeB	124	TV	EGTA TV	[hau]	Yes
10977	H	EuropeB	125	TV	Sunna TV Yoruba	[yor]	Yes
10977	H	EuropeB	127	TV	Al Fayda TV	[fre]	Yes
10977	H	EuropeB	127	TV	UCAB TV	[fre]	Yes
10977	H	EuropeB	128	TV	Manara TV	[ara]	Yes
10977	H	EuropeB	130	TV	Evangelique TV	[fre]	Yes
10977	H	EuropeB	131	TV	Alléluia World TV	[fre]	Yes
10977	H	EuropeB	132	TV	Canal 3 Cedeao	[fre]	Yes
11001	H	EuropeA	1	TV	Afrique Média	[fre]	Yes
11001	H	EuropeA	2	TV	ABK TV	[fre]	Yes
11001	H	EuropeA	3	TV	Solution TV	[fre]	Yes
11001	H	EuropeA	4	TV	KingShip TV	[fre]	Yes
11001	H	EuropeA	5	TV	LTM TV	[fre]	Yes
11001	H	EuropeA	6	TV	Liberty TV Cameroon	[eng]	Yes
11001	H	EuropeA	7	TV	Misericorde TV	[fre]	Yes
