Freq	Pol	SR	Beam	Type	Channel	T	Encryption	FTA	Package	Res	Compression	V_PID	A_PID	SID	Owner	Date	Row
3641	R	2480	PanAtlantic	DATA	tv shows	TV	FTA	Yes		HD	MPEG-4	0		0	dsjasoi	28-Sep-19	2	
3641	R	2480	PanAtlantic	R	Radio France Internationale	R	FTA	Yes				0	502[fre]	0	dreambox	18-Jun-09	4	
3641	R	2480	PanAtlantic	R	Radio Réunion	R	FTA	Yes				0	501[fre]	101	dreambox	18-Jun-09	6	
3652	L	40445	West	DATA	test card	TV	FTA	Yes		SD	MPEG-2	0		0	loredana	2-Jan-19	10	
3652	L	40445	West	TV	RTS 2 (Wirecast)	TV	FTA	Yes		SD	MPEG-4	1011	1012[fre]	3101	Tanea	4-Oct-18	12	
3652	L	40445	West	TV	Télé Tchad	TV	FTA	Yes		SD	MPEG-4	1021	1022[ara]	3102	Tanea	21-Oct-18	14	
3652	L	40445	West	TV	Equinoxe TV	TV	FTA	Yes		SD	MPEG-4	1031	1032[fre]	3103	Tanea	21-Oct-18	16	
3652	L	40445	West	TV	Alwilayah TV Hausa	TV	FTA	Yes		SD	MPEG-4	1041	1042[hau]	3104	Tanea	21-Oct-18	18	
3652	L	40445	West	IMG	B6 TV	TV	FTA	Yes		SD	MPEG-4	1061		3106	Tanea	27-Oct-18	20	
3652	L	40445	West	TV	RTI 1	TV	Conax	No		SD	MPEG-4	1181	1182[fre]	3118	Tanea	15-Oct-19	22	
3652	L	40445	West	TV	RTI 2	TV	Conax	No		SD	MPEG-4	1191	1192[fre]	3119	Tanea	15-Oct-19	24	
3652	L	40445	West	IMG	ST World Football	TV	Conax	No		SD	MPEG-4	1221		3122	Tanea	15-Oct-19	26	
3652	L	40445	West	IMG	ST Sports Premium	TV	Conax	No		SD	MPEG-4	1231		3123	Tanea	15-Oct-19	28	
3652	L	40445	West	TV	ST Kids	TV	Conax	No		SD	MPEG-4	1241	1242[eng]|1243[eng]|1244[por]|1245[swe]	3124	Tanea	15-Oct-19	30	
3652	L	40445	West	TV	ST KungFu 1	TV	Conax	No		SD	MPEG-4	1251	1252[eng]|1253[fre]|1254[chi]	3125	Tanea	15-Oct-19	32	
3652	L	40445	West	TV	ST Sino Drama	TV	Conax	No		SD	MPEG-4	1261	1262[eng]|1263[fre]|1264[por]	3126	Tanea	15-Oct-19	34	
3652	L	40445	West	TV	ST Bollywood	TV	Conax	No		SD	MPEG-4	1271	1272[hin]|1273[yor]|1274[eng]|1275[swe]|176[fre]	3127	Tanea	15-Oct-19	36	
3652	L	40445	West	TV	National Geographic France	TV	Conax	No		SD	MPEG-4	1341	1342[fre]	3134	Tanea	4-Dec-19	38	
3652	L	40445	West	TV	Nat Geo Wild France	TV	Conax	No		SD	MPEG-4	1351	1352[fre]	3135	Tanea	4-Dec-19	40	
3652	L	40445	West	TV	ESPN Africa (South Africa)	TV	Conax	No		SD	MPEG-4	1361	1362[eng]|1363[fre]	3136	Tanea	4-Dec-19	42	
3652	L	40445	West	TV	Tivi 5 Monde	TV	Conax	No		SD	MPEG-4	1391	1392[fre]	3139	Tanea	4-Dec-19	44	
3652	L	40445	West	TV	TV 5 Monde Afrique	TV	Conax	No		SD	MPEG-4	1401	1402[fre]	3140	Tanea	4-Dec-19	46	
3652	L	40445	West	TV	TV 5 Monde Style HD	TV	Conax	No		HD	MPEG-4	1411	1412[fre]	3141	Tanea	4-Dec-19	48	
