No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10972	V	29950			West	0	14	0	0	14
	11054	V	29950			West	0	4	0	0	4
	11096	V	29950			West	0	10	1	1	12
	11138	V	29950			West	0	10	0	0	10
	11179	V	30000			West	0	9	0	0	9
	11196	V	3500			West	0	0	0	1	1
	11452	H	3000			Wide	0	0	0	1	1
	11471	V	29950			West	0	14	0	0	14
	11494	H	6666			Wide	0	0	0	1	1
	11505	H	5632			Wide	0	0	0	1	1
	11509	H	29500			Wide	0	14	0	0	14
	11512	V	29950			West	0	20	0	0	20
	11513	H	5632			Wide	0	0	0	1	1
	11522	H	6111			Wide	0	0	0	1	1
	11578	H	6111			Wide	0	0	0	1	1
	11586	H	6666			Wide	0	0	0	1	1
	11595	V	29950			Wide	0	2	0	0	2
	11596	V	29950			Wide	0	3	0	0	3
	11628	H	5632			West	0	0	0	1	1
	11634	H	27500			West	0	1	0	0	1
	11637	V	30000			West	0	7	0	0	7
	11675	H	30000			West	0	1	0	0	1
	11679	V	29950			West	0	12	0	0	12
	11683	H	5632			Wide	0	0	0	1	1
	11689	H	5632			Wide	0	0	0	1	1
	12132	V	28800			West	1	0	0	0	1
	12522	V	35500			West	0	5	0	0	5
	12542	H	27500			West	32	0	0	7	39
	12543	H	34200			Wide	0	35	0	1	36
	12564	V	29950			West	0	6	4	0	10
	12585	H	27500			West	5	22	0	0	27
	12615	H	9179			West	0	0	0	1	1
	12627	H	35000			West	0	1	0	0	1
	12648	V	29500			West	0	16	0	11	27
	12669	H	35000			West	0	9	0	1	10
	12690	V	29950			West	2	3	1	0	6
	12700	H	11167			Wide	0	20	1	0	21
	12711	H	35000			Wide	0	0	1	0	1
	12732	V	29950			West	0	12	0	0	12
