No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	11265	H	30000			Nordic	0	16	1	0	17
	11266	V	30000			Nordic	0	22	0	0	22
	11305	V	30000			Nordic	0	8	0	0	8
	11306	H	30000			Nordic	0	10	0	0	10
	11345	H	30000			Nordic	0	11	0	0	11
	11345	V	30000			Nordic	0	14	0	0	14
	11385	H	30000			Nordic	0	8	1	0	9
	11385	V	30000			Nordic	0	8	0	0	8
	11727	H	27500			SSA	11	0	0	0	11
	11747	V	30000			EuropeBSS	0	7	1	0	8
	11747	V	27500			SSA	5	16	1	5	27
	11766	H	27500			EuropeBSS	0	23	2	0	25
	11785	V	27500			NordicBSS	0	24	0	0	24
	11804	H	27500			SSA	0	0	0	1	1
	11823	V	27500			NordicBSS	0	9	2	0	11
	11823	V	27500			SSA	0	0	0	1	1
	11881	H	28000			NordicBSS	0	16	0	0	16
	11900	V	27500			SSA	0	0	0	1	1
	11919	H	28000			NordicBSS	0	29	0	0	29
	11919	H	27500			SSA	0	8	15	1	24
	11938	V	27500			NordicBSS	0	20	0	0	20
	11958	H	27500			NordicBSS	0	23	0	0	23
	11996	H	27500			NordicBSS	0	8	0	0	8
	11997	H	27500			SSA	0	1	0	0	1
	12015	V	27500			NordicBSS	26	16	0	0	42
	12015	V	29950			SSA	8	0	0	0	8
	12034	H	27500			SSA	0	11	1	1	13
	12053	V	30000			SSA	1	0	0	0	1
	12054	V	27500			NordicBSS	0	0	0	1	1
	12054	V	30000			SSA	1	13	0	0	14
	12055	V	29950			SSA	4	3	1	0	8
	12073	H	27500			EuropeBSS	3	12	0	0	15
	12092	V	30000			EuropeBSS	0	16	0	0	16
	12130	V	27500			EuropeBSS	0	9	0	1	10
	12188	H	30000			EuropeBSS	0	16	0	2	18
	12207	V	30000			EuropeBSS	0	20	0	0	20
	12245	V	30000			EuropeBSS	0	12	0	0	12
	12265	H	30000			EuropeBSS	0	16	2	0	18
	12266	H	27500			SSA	1	1	0	2	4
	12284	V	27500			EuropeBSS	4	9	0	0	13
	12303	H	25550			EuropeBSS	2	7	2	1	12
	12322	V	27500			EuropeBSS	0	18	0	0	18
	12341	H	30000			EuropeBSS	0	14	1	1	16
	12342	H	27500			SSA	0	0	0	1	1
	12360	V	27500			EuropeBSS	0	13	0	0	13
	12380	H	27500			EuropeBSS	1	7	0	0	8
	12381	H	27500			SSA	0	0	0	1	1
	12399	V	27500			EuropeBSS	0	11	0	0	11
	12418	H	27500			EuropeBSS	0	8	0	0	8
	12419	H	27500			SSA	0	0	0	1	1
	12437	V	30000			EuropeBSS	0	9	0	0	9
	12456	H	27000			EuropeBSS	0	0	0	1	1
	12476	V	27500			NordicBSS	4	0	0	0	4
	12512	H	3500			NordicFSS	0	0	0	1	1
	12582	H	1608			NordicFSS	0	1	0	0	1
	12602	V	6111			NordicFSS	0	0	0	1	1
	12608	H	27500			EuropeFSS	0	6	0	0	6
	12611	V	1000			NordicFSS	0	0	0	1	1
	12616	V	2230			NordicFSS	0	0	0	1	1
	12630	V	12295			NordicFSS	0	0	0	1	1
	12637	H	14470			EuropeFSS	0	4	0	0	4
	12642	V	1350			NordicFSS	0	0	0	1	1
	12645	V	30000			Africa	1	14	0	0	15
	12645	V	256			EuropeFSS	1	0	0	0	1
	12699	H	12934			EuropeFSS	3	0	0	0	3
	12734	H	3333			EuropeFSS	2	1	0	0	3
