Freq	Pol	SR	Beam	Type	Channel	T	Encryption	FTA	Package	Res	Compression	V_PID	A_PID	SID	Owner	Date	Row
10729	V	22000	1KR	TV	beIN LaLiga 2 HD	TV	Nagravision 3	No	Movistar+	HD	MPEG-4	165	110[spa]|111[eng]	30805	Tanea	13-Jun-19	2	
10729	V	22000	1KR	TV	AXN Spain	TV	Nagravision 3	No	Movistar+	HD	MPEG-4	160	80[spa]	30806	Frocus	2-May-19	4	
10729	V	22000	1KR	TV	M.Comedia	TV	Nagravision 3	No	Movistar+	HD	MPEG-4	161	86[spa]	30807	Frocus	2-May-18	6	
10729	V	22000	1KR	TV	VAMOS HD	TV	Nagravision 3	No	Movistar+	HD	MPEG-4	162	92[spa]|93[000]	30809	Tanea	2-May-19	8	
10729	V	22000	1KR	TV	Alquiler 2 HD	TV	Nagravision 3	No	Movistar+	HD	MPEG-4	167	122[spa]	30814	Frocus	2-May-19	10	
10729	V	22000	1KR	TV	Movistar Partidazo HD	TV	Nagravision 3	No	Movistar+	HD	MPEG-4	168	128[spa]	30815	Frocus	2-May-19	12	
10729	V	22000	1KR	TV	Movistar Liga de Campeones HD 1	TV	Nagravision 3	No	Movistar+	HD	MPEG-4	170	140[spa]|141[eng]	30817	Tanea	2-May-19	14	
10729	V	22000	1KR	TV	La 1 Spain	TV	Nagravision 3	No	Movistar+	HD	MPEG-4	171	146[spa]	30819	Frocus	2-May-19	16	
10729	V	22000	1KR	TV	Movistar Liga de Campeones HD 2	TV	Nagravision 3	No	Movistar+	HD	MPEG-4	172	150[spa]|151[eng]	30820	Tanea	2-May-19	18	
10744	H	22000	1KR	TV	One (ARD)	TV	FTA	Yes		SD	MPEG-2	201	202[ger]|203[000]|206[ger]	28722	Tanea	28-Sep-17	22	
10744	H	22000	1KR	TV	ARTE Deutsch	TV	FTA	Yes		SD	MPEG-2	401	402[ger]|403[fre]	28724	dm800	20-Mar-14	24	
10744	H	22000	1KR	TV	Phoenix	TV	FTA	Yes		SD	MPEG-2	501	502[ger]	28725	dm800	20-Mar-14	26	
10758	V	22000	1MEurope	DATA	test card	TV	FTA	Yes		SD	MPEG-2	0		0	Martina	28-Apr-19	30	
10758	V	22000	1MEurope	TV	Divinty Spain	TV	Mediaguard 2|Nagravision 3	No	Movistar+	SD	MPEG-2	160	80[spa]	29850	Frocus	19-Jun-17	32	
10758	V	22000	1MEurope	TV	Fox News Channel	TV	Mediaguard 2|Nagravision 3	No	Movistar+	SD	MPEG-2	161	84[eng]	29851	ade3661	18-Jan-15	34	
10758	V	22000	1MEurope	TV	Baby TV Europe	TV	Mediaguard 2	No	Movistar+	SD	MPEG-2	162	88[spa]|89[eng]	29852	Tanea	30-Mar-14	36	
