Freq	Pol	SR	FEC	Sat	Beam	Mod	Format	Info	Row
12303	H	25550	7/8	Astra 4A (4.8&deg; E)	EuropeBSS	QPSK	DVB-S	Arqiva (1/0),	1298
12322	V	27500	5/6	Astra 4A (4.8&deg; E)	EuropeBSS	8PSK	DVB-S2	Discovery Networks Europe (94/1),	1324
12341	H	30000	3/4	Astra 4A (4.8&deg; E)	EuropeBSS	8PSK	DVB-S2	ZeonBud (8996/400),	1362
12341	H	30000	3/4	Astra 4A (4.8&deg; E)	EuropeBSS	T2MI	DVB-S2	ZeonBud (8996/300),	1378
12342	H	27500	3/4	SES 5 (5&deg; E)	SSA	8PSK	DVB-S2	StarSat,	1398
12360	V	27500	5/6	Astra 4A (4.8&deg; E)	EuropeBSS	8PSK	DVB-S2	Discovery Networks (94/1),	1402
12380	H	27500	3/4	Astra 4A (4.8&deg; E)	EuropeBSS	QPSK	DVB-S	SES Sirius (85/2),	1430
12381	H	27500	3/4	SES 5 (5&deg; E)	SSA	8PSK	DVB-S2	StarSat,	1448
12399	V	27500	3/4	Astra 4A (4.8&deg; E)	EuropeBSS	QPSK	DVB-S	(85/19),	1452
12418	H	27500	3/4	Astra 4A (4.8&deg; E)	EuropeBSS	QPSK	DVB-S	SIS Live (1/101),	1476
12419	H	27500	3/4	SES 5 (5&deg; E)	SSA	8PSK	DVB-S2	StarSat,	1494
12437	V	30000	2/3	Astra 4A (4.8&deg; E)	EuropeBSS	8PSK	DVB-S2	SES Ukraine,	1498
12456	H	27000	1/2	Astra 4A (4.8&deg; E)	EuropeBSS	QPSK	DVB-S2		1518
12476	V	27500	3/4	Astra 4A (4.8&deg; E)	NordicBSS	QPSK	DVB-S	Viasat (86/26),	1522
12512	H	3500	7/8	Astra 4A (4.8&deg; E)	NordicFSS	QPSK	DVB-S		1532
12582	H	1608	5/6	Astra 4A (4.8&deg; E)	NordicFSS	QPSK	DVB-S	Ericsson (65535/1),	1536
12602	V	6111	3/4	Astra 4A (4.8&deg; E)	NordicFSS	QPSK	DVB-S		1540
12608	H	27500	3/4	Astra 4A (4.8&deg; E)	EuropeFSS	QPSK	DVB-S	Viasat (86/29),	1544
12611	V	1000	3/4	Astra 4A (4.8&deg; E)	NordicFSS	32APSK	DVB-S2		1558
12616	V	2230	3/4	Astra 4A (4.8&deg; E)	NordicFSS	32APSK	DVB-S2		1562
12630	V	12295	3/4	Astra 4A (4.8&deg; E)	NordicFSS	32APSK	DVB-S2		1566
12637	H	14470	3/4	Astra 4A (4.8&deg; E)	EuropeFSS	QPSK	DVB-S	Viasat (86/20),	1570
12642	V	1350	3/4	Astra 4A (4.8&deg; E)	NordicFSS	32APSK	DVB-S2		1580
12645	V	30000	5/6	Astra 4A (4.8&deg; E)	Africa	QPSK	DVB-S2		1584
12645	V	256	1/2	Astra 4A (4.8&deg; E)	EuropeFSS	QPSK	DVB-S	Radio NRJ,	1616
12699	H	12934	3/5	Astra 4A (4.8&deg; E)	EuropeFSS	8PSK	DVB-S2	RTS (4/4305),	1620
12734	H	3333	5/6	Astra 4A (4.8&deg; E)	EuropeFSS	QPSK	DVB-S	Moldovan package,	1628
