Freq	Pol	SR	Beam	Type	Channel	T	Encryption	FTA	Package	Res	Compression	V_PID	A_PID	SID	Owner	Date	Row
10714	H	22000	Spot	R	Mii Channel UK	TV	FTA	Yes		SD	MPEG-2	0	1201[eng]	0	JSwann	8-Apr-20	2	
10714	H	22000	Spot	R	Mii Channel 2 UK	TV	FTA	Yes		SD	MPEG-2	0	1900[eng]	0	JSwann	8-Apr-20	4	
10714	H	22000	Spot	R	Metro Radio Yorkshire	R	FTA	Yes		SD	MPEG-2	0	2200[eng]	0	JSwann	8-Apr-20	6	
10714	H	22000	Spot	TV	ITV 1 London	TV	FTA	Yes		SD	MPEG-2	3328	3329[eng]	10060	dm800	18-Jun-09	10	
10714	H	22000	Spot	TV	ITV 4	TV	FTA	Yes		SD	MPEG-2	3340	3341[eng]	10072	dm800	18-Jun-09	12	
10714	H	22000	Spot	TV	ITV 4 +1	TV	FTA	Yes		SD	MPEG-2	2316	2317[eng]	10073	ade3661	26-Nov-17	14	
10714	H	22000	Spot	TV	ITV Be	TV	FTA	Yes		SD	MPEG-2	2305	2308[eng]	10075	ade3661	26-Nov-17	16	
10773	H	22000	Spot	TV	BBC One London	TV	FTA	Yes		SD	MPEG-2	5000	5001[eng]|5002[eng]	6301	ade3661	26-Nov-17	20	
10773	H	22000	Spot	TV	BBC Two England	TV	FTA	Yes		SD	MPEG-2	5100	5101[eng]	6302	MichaelR	17-Feb-20	22	
10773	H	22000	Spot	TV	BBC Four	TV	FTA	Yes		SD	MPEG-2	5200	5201[eng]|5202[eng]	6316	MichaelR	17-Feb-20	24	
10773	H	22000	Spot	TV	BBC One Cambridge	TV	FTA	Yes		SD	MPEG-2	5700	5701[eng]	6351	ade3661	26-Nov-17	26	
10773	H	22000	Spot	TV	BBC One Channel Islands	TV	FTA	Yes		SD	MPEG-2	5800	5801[eng]	6361	ade3661	26-Nov-17	28	
10788	V	22000	Spot	TV	BBC One West Midlands	TV	FTA	Yes		SD	MPEG-2	5000	5001[eng]	10301	MichaelR	15-Feb-20	32	
10788	V	22000	Spot	TV	BBC One East Yorkshire & Lincolnshire	TV	FTA	Yes		SD	MPEG-2	5200	5201[eng]	10303	MichaelR	15-Feb-20	34	
10788	V	22000	Spot	TV	BBC One East Midlands	TV	FTA	Yes		SD	MPEG-2	5401	5402[eng]	10305	MichaelR	15-Feb-20	36	
10788	V	22000	Spot	TV	BBC One East Norwich	TV	FTA	Yes		SD	MPEG-2	5500	5501[eng]	10306	ade3661	26-Nov-17	38	
10788	V	22000	Spot	TV	BBC Parliament	TV	FTA	Yes		SD	MPEG-2	6100	6101[eng]	10307	ade3661	26-Nov-17	40	
10788	V	22000	Spot	TV	BBC One Wales	TV	FTA	Yes		SD	MPEG-2	5600	5601[eng]	10311	ade3661	26-Nov-17	42	
10788	V	22000	Spot	TV	BBC Two Wales	TV	FTA	Yes		SD	MPEG-2	5700	5701[eng]	10312	ade3661	26-Nov-17	44	
10788	V	22000	Spot	R	BBC Radio nan Gaidheal	TV	FTA	Yes		SD	MPEG-2	0	6008[eng]	10387	ade3661	26-Nov-17	46	
10788	V	22000	Spot	R	BBC Radio 4 FM	R	FTA	Yes		SD	MPEG-2	0	6002[eng]	10381	ade3661	4-Nov-16	48	
10788	V	22000	Spot	R	BBC Radio 6 Music	R	FTA	Yes		SD	MPEG-2	0	6004[eng]	10383	ade3661	5-Nov-16	50	
10788	V	22000	Spot	R	BBC Radio 4 Extra	R	FTA	Yes		SD	MPEG-2	0	6005[eng]	10384	ade3661	26-Nov-17	52	
10788	V	22000	Spot	R	BBC World Service Europe	R	FTA	Yes		SD	MPEG-2	0	6006[eng]	10385	ade3661	26-Nov-17	54	
10788	V	22000	Spot	R	BBC Radio Scotland AM	R	FTA	Yes		SD	MPEG-2	0	6007[eng]	10386	ade3661	26-Nov-17	56	
10788	V	22000	Spot	R	BBC Radio Wales FM	R	FTA	Yes		SD	MPEG-2	0	6009[eng]	10388	ade3661	26-Nov-17	58	
10788	V	22000	Spot	R	BBC Radio Cymru	R	FTA	Yes		SD	MPEG-2	0	6010[wel]	10389	ade3661	26-Nov-17	60	
10788	V	22000	Spot	R	BBC Radio Ulster FM	R	FTA	Yes		SD	MPEG-2	0	6011[eng]	10390	ade3661	26-Nov-17	62	
10788	V	22000	Spot	R	BBC Radio Foyle	R	FTA	Yes		SD	MPEG-2	0	6012[eng]	10391	ade3661	26-Nov-17	64	
10788	V	22000	Spot	DATA	BBC Radio 3	@	FTA	Yes				0		0	Jamie	16-Aug-19	66	
10803	H	22000	Spot	TV	BBC One Scotland	TV	FTA	Yes		SD	MPEG-2	5000	5001[eng]	6407	MichaelR	15-Feb-20	70	
10803	H	22000	Spot	TV	BBC Two Scotland	TV	FTA	Yes		SD	MPEG-2	5100	5101[eng]	6422	ade3661	26-Nov-17	72	
10803	H	22000	Spot	TV	BBC Alba	TV	FTA	Yes		SD	MPEG-2	5200	5201[gla]	6424	ade3661	26-Nov-17	74	
10803	H	22000	Spot	TV	BBC One North West	TV	FTA	Yes		SD	MPEG-2	5700	5701[eng]	6441	ade3661	26-Nov-17	76	
10803	H	22000	Spot	TV	BBC One Yorkshire & North Midlands	TV	FTA	Yes		SD	MPEG-2	5800	5801[eng]	6451	MichaelR	15-Feb-20	78	
10803	H	22000	Spot	TV	BBC One South East	TV	FTA	Yes		SD	MPEG-2	5900	5901[eng]	6461	MichaelR	15-Feb-20	80	
10803	H	22000	Spot	TV	BBC One NE & Cumbria	TV	FTA	Yes		SD	MPEG-2	5600	5601[eng]	6471	ade3661	26-Nov-17	82	
10818	V	22000	Spot	TV	BBC One South	TV	FTA	Yes		SD	MPEG-2	5200	5201[eng]	10353	MichaelR	15-Feb-20	86	
10818	V	22000	Spot	TV	BBC One South West	TV	FTA	Yes		SD	MPEG-2	5300	5301[eng]	10354	MichaelR	15-Feb-20	88	
10818	V	22000	Spot	TV	BBC One Oxford	TV	FTA	Yes		SD	MPEG-2	5500	5501[eng]	10356	MichaelR	15-Feb-20	90	
10818	V	22000	Spot	TV	BBC News	TV	FTA	Yes		SD	MPEG-2	5100	5101[eng]	10358	Ely_arp	24-Oct-12	92	
10818	V	22000	Spot	TV	BBC One Northern Ireland	TV	FTA	Yes		SD	MPEG-2	5600	5601[eng]	10361	MichaelR	15-Feb-20	94	
10818	V	22000	Spot	TV	BBC Two Northern Ireland	TV	FTA	Yes		SD	MPEG-2	5700	5701[eng]	10362	andrewcrawford3012981	10-Apr-14	96	
