Freq	Pol	SR	Beam	Type	Channel	T	Encryption	FTA	Package	Res	Compression	V_PID	A_PID	SID	Owner	Date	Row
10722	V	30000	EUV3	TV	M2.	TV	Conax	No	T-Home	SD	MPEG-4	164	162[hun]|163[000]	4	Vadim	13-May-18	2	
10722	V	30000	EUV3	TV	Spektrum Home	TV	Conax	No	T-Home	SD	MPEG-4	159	157[hun]	5	Vadim	13-May-18	4	
10722	V	30000	EUV3	TV	TVPaprika	TV	Conax	No	T-Home	SD	MPEG-4	154	152[hun]	6	Vadim	13-May-18	6	
10722	V	30000	EUV3	TV	MTV	TV	Conax	No	T-Home	SD	MPEG-4	134	132[eng]	10	Vadim	13-May-18	8	
10722	V	30000	EUV3	TV	ATV	TV	Conax	No	T-Home	SD	MPEG-4	124	122[hun]	12	Vadim	13-May-18	10	
10722	V	30000	EUV3	TV	RTL II.	TV	Conax	No	T-Home	SD	MPEG-4	97	99[hun]|3102[eng]	17	Vadim	13-May-18	12	
10722	V	30000	EUV3	TV	RTL GOLD	TV	Conax	No	T-Home	SD	MPEG-4	94	92[hun]	18	Vadim	13-May-18	14	
10722	V	30000	EUV3	TV	COOL	TV	Conax	No	T-Home	SD	MPEG-4	89	87[hun]|802[eng]	19	Vadim	13-May-18	16	
10722	V	30000	EUV3	TV	RTL +	TV	Conax	No	T-Home	SD	MPEG-4	84	82[hun]|602[eng]	20	Vadim	13-May-18	18	
10722	V	30000	EUV3	TV	Sorozat+	TV	Conax	No	T-Home	SD	MPEG-4	79	77[hun]|702[eng]	21	Vadim	14-May-18	20	
10722	V	30000	EUV3	TV	Film+	TV	Conax	No	T-Home	SD	MPEG-4	74	72[hun]|902[eng]	22	Vadim	14-May-18	22	
10722	V	30000	EUV3	TV	Fishing&Hunting	TV	Conax	No	T-Home	SD	MPEG-4	69	67[hun]	23	Vadim	14-May-18	24	
10722	V	30000	EUV3	TV	DoQ	TV	Conax	No	T-Home	SD	MPEG-4	54	52[hun]	26	Vadim	14-May-18	26	
10722	V	30000	EUV3	TV	Life TV	TV	Conax	No	T-Home	SD	MPEG-4	44	42[hun]|140[eng]	28	Vadim	14-May-18	28	
10722	V	30000	EUV3	TV	Ozone TV	TV	Conax	No	T-Home	SD	MPEG-4	39	37[hun]|143[eng]	29	Vadim	14-May-18	30	
10722	V	30000	EUV3	TV	Hír TV	TV	Conax	No	T-Home	SD	MPEG-4	34	32[hun]	30	Vadim	14-May-18	32	
10722	V	30000	EUV3	TV	Eurosport	TV	Conax	No	T-Home	SD	MPEG-4	179	177[hun]	1101	Vadim	14-May-18	34	
10722	V	30000	EUV3	TV	M3.	TV	Conax	No	T-Home	SD	MPEG-4	149	147[hun]|63[eng]	1107	Vadim	14-May-18	36	
10722	V	30000	EUV3	TV	ATV Spirit	TV	Conax	No	T-Home	SD	MPEG-4	801	810[hun]|811[mul]	1108	Tanea	9-Jan-19	38	
10722	V	30000	EUV3	TV	Spíller TV.	TV	Conax	No	T-Home	SD	MPEG-4	129	102[hun]	1111	Vadim	14-May-18	40	
10722	V	30000	EUV3	TV	STORY5	TV	Conax	No	T-Home	SD	MPEG-4	114	112[hun]	1114	Vadim	15-May-18	42	
10722	V	30000	EUV3	TV	STORY4	TV	Conax	No	T-Home	SD	MPEG-4	104	103[hun]	1116	Vadim	15-May-18	44	
