Freq	Pol	SR	Beam	Type	Channel	T	Encryption	FTA	Package	Res	Compression	V_PID	A_PID	SID	Owner	Date	Row
10720	H	27500	EuropeB	TV	HRTInt.	TV	FTA	Yes		SD	MPEG-4	211	212[hrv]	911	ade3661	12-Dec-19	2	
10762	H	30000	EuropeB	TV	RTK-1	TV	FTA	Yes		SD	MPEG-4	1001	1002[alb]	1000	ade3661	12-Dec-19	6	
10762	H	30000	EuropeB	TV	Top News	TV	FTA	Yes		SD	MPEG-4	1021	1022[alb]|1023[000]	1020	ade3661	12-Dec-19	8	
10762	H	30000	EuropeB	TV	Bang Bang	TV	Conax	No	DigitAlb	SD	MPEG-4	1041	1042[alb]|1043[eng]	1040	ade3661	12-Dec-19	10	
10762	H	30000	EuropeB	TV	Explorer Shkencë	TV	Conax	No	DigitAlb	SD	MPEG-4	1061	1062[alb]|1063[eng]	1060	ade3661	5-Dec-16	12	
10762	H	30000	EuropeB	TV	Film Komedi	TV	Conax	No	DigitAlb	SD	MPEG-4	1101	1102[eng]	1100	ade3661	5-Dec-16	14	
10762	H	30000	EuropeB	TV	Stinet	TV	Conax	No	DigitAlb	SD	MPEG-4	1161	1162[alb]	1160	alexfloresaf38	12-Dec-19	16	
10762	H	30000	EuropeB	TV	Ora News	TV	Conax	No	DigitAlb	SD	MPEG-4	1181	1182[alb]|1183[alb]	1180	Tanea	16-Sep-19	18	
10762	H	30000	EuropeB	TV	News 24 Albania	TV	Conax	No	DigitAlb	SD	MPEG-4	1241	1242[alb]	1240	ade3661	5-Dec-16	20	
10762	H	30000	EuropeB	TV	X1	TV	Conax	No	DigitAlb	SD	MPEG-4	1261	1262[alb]	1260	ade3661	5-Dec-16	22	
10762	H	30000	EuropeB	TV	ALBUK	TV	Conax	No	DigitAlb	SD	MPEG-4	1281	1282[alb]	1280	Tanea	12-Dec-19	24	
10762	H	30000	EuropeB	TV	BCTV Europe	TV	FTA	Yes		SD	MPEG-4	1301	1302[alb]	1300	Tanea	12-Dec-19	26	
10762	H	30000	EuropeB	TV	T HD	TV	Conax	No	DigitAlb	HD	MPEG-4	1401	1402[alb]	1400	Tanea	30-Apr-15	28	
10762	H	30000	EuropeB	TV	SuperSport HD 7	TV	Conax	No	DigitAlb	HD	MPEG-4	1421	1422[alb]|1423[eng]	1420	Tanea	29-Sep-15	30	
10762	H	30000	EuropeB	TV	RTV Ora HD	TV	Conax	No		HD	MPEG-4	1441	1442[ara]	1440	Tanea	16-Sep-19	32	
10804	H	30000	SEAfrica	TV	AB 3	TV	FTA	Yes		SD	MPEG-4	171	172[fre]	7	Frocus	10-Mar-13	36	
10804	H	30000	SEAfrica	TV	AB Moteurs	TV	FTA	Yes		SD	MPEG-4	201	202[fre]	10	Frocus	10-Mar-13	38	
10804	H	30000	SEAfrica	TV	AB 1	TV	FTA	Yes		SD	MPEG-4	211	212[fre]	11	Frocus	10-Mar-13	40	
10804	H	30000	SEAfrica	TV	Toute l Histoire	TV	FTA	Yes		SD	MPEG-4	231	232[fre]	13	Frocus	10-Mar-13	42	
10804	H	30000	SEAfrica	TV	Animaux	TV	FTA	Yes		SD	MPEG-4	251	252[fre]	15	Frocus	10-Mar-13	44	
10804	H	30000	SEAfrica	TV	Ciné Polar	TV	FTA	Yes		SD	MPEG-4	281	282[fre]	18	Frocus	10-Mar-13	46	
10804	H	30000	SEAfrica	TV	Setanta Africa	TV	FTA	Yes		SD	MPEG-4	351	352[fre]|353[eng]	25	Frocus	10-Mar-13	48	
10804	H	30000	SEAfrica	TV	KTO	TV	FTA	Yes		SD	MPEG-4	361	362[fre]	26	Frocus	10-Mar-13	50	
10804	H	30000	SEAfrica	TV	Vision 4	TV	FTA	Yes		SD	MPEG-4	1011	1012[fre]	101	Tanea	24-Jul-18	52	
10804	H	30000	SEAfrica	TV	2S TV	TV	FTA	Yes		SD	MPEG-4	1021	1022[fre]	102	Frocus	10-Mar-13	54	
10804	H	30000	SEAfrica	TV	RDV	TV	FTA	Yes		SD	MPEG-4	1031	1032[fre]	103	Frocus	10-Mar-13	56	
10804	H	30000	SEAfrica	TV	Emirem TV (Eglise Missionnaire du Réveil Mondial)	TV	FTA	Yes		SD	MPEG-4	1071	1072[fre]	107	Tanea	24-Jul-18	58	
10804	H	30000	SEAfrica	TV	CRTV News	TV	FTA	Yes		SD	MPEG-4	1081	1082[fre]	108	Tanea	24-Jul-18	60	
10804	H	30000	SEAfrica	TV	Wisal Hausa TV	TV	FTA	Yes		SD	MPEG-4	1121	1122[hau]	112	Tanea	24-Jul-18	62	
10804	H	30000	SEAfrica	TV	Label TV	TV	FTA	Yes		SD	MPEG-4	1131	1132[fre]	113	Tanea	24-Jul-18	64	
10804	H	30000	SEAfrica	TV	TV Colombe	TV	FTA	Yes		SD	MPEG-4	1141	1142[fre]	114	Tanea	24-Jul-18	66	
10804	H	30000	SEAfrica	TV	Vision 4 RCA	TV	FTA	Yes		SD	MPEG-4	1171	1172[fre]	117	Tanea	24-Jul-18	68	
