Freq	Pol	SR	Beam	Type	Channel	T	Encryption	FTA	Package	Res	Compression	V_PID	A_PID	SID	Owner	Date	Row
3693	L	1682	WH	TV	MFM TV	TV	FTA	Yes		SD	MPEG-4	33	34[eng]	1	Tanea	25-Jul-16	2	
3697	L	1514	WH	TV	WAP TV	TV	FTA	Yes		SD	MPEG-4	100	110[eng]	1	Tanea	25-Jul-16	6	
3702	L	5000	WH	TV	TVC Entertainment	TV	FTA	Yes		SD	MPEG-4	713	6112[eng]	2	Tanea	20-Mar-16	10	
3702	L	5000	WH	TV	TVC News Nigeria	TV	FTA	Yes		SD	MPEG-4	613	5112[eng]	2	Tanea	20-Mar-16	12	
3800	L	27500	WH	TV	AFN Prime Atlantic	TV	PowerVu|Verimatrix	No		HD	MPEG-4	1265	1225|1225[eng]	102	Tanea	4-Oct-18	16	
3800	L	27500	WH	TV	AFN News	TV	PowerVu|Verimatrix	No		HD	MPEG-4	1565	1525|1525[eng]	103	Tanea	4-Oct-18	18	
3800	L	27500	WH	TV	AFN Sports	TV	PowerVu|Verimatrix	No		HD	MPEG-4	1165	1125|1125[eng]	104	Tanea	4-Oct-18	20	
3800	L	27500	WH	TV	AFN Prime Pacific	TV	PowerVu|Verimatrix	No		HD	MPEG-4	1465	1425|1425[eng]	105	Tanea	4-Oct-18	22	
3800	L	27500	WH	TV	AFN Spectrum	TV	PowerVu|Verimatrix	No		HD	MPEG-4	1365	1325|1325[eng]	106	Tanea	4-Oct-18	24	
3800	L	27500	WH	TV	AFN Sports 2	TV	PowerVu|Verimatrix	No		HD	MPEG-4	1665	1625[eng]	107	Tanea	4-Oct-18	26	
3800	L	27500	WH	TV	AFN Family	TV	PowerVu|Verimatrix	No		HD	MPEG-4	1965	1925|1925[eng]	108	Tanea	4-Oct-18	28	
3800	L	27500	WH	TV	AFN Movie	TV	PowerVu|Verimatrix	No		HD	MPEG-4	1065	1025|1025[eng]	109	Tanea	4-Oct-18	30	
3843	R	1055	WH	TV	African Health TV	TV	FTA	Yes		SD	MPEG-2	256	512[eng]	1	Tanea	30-Jun-15	34	
3844	R	1160	WH	TV	Liberty TV Kaduna	TV	FTA	Yes		SD	MPEG-4	256	512[eng]	1	Vadim	3-Oct-16	38	
3853	R	1130	WH	TV	Western TV	TV	FTA	Yes		SD	MPEG-2	308	256[eng]	1	Tanea	28-Dec-18	42	
3855	R	1290	WH	R	Label TV	TV	FTA	Yes		SD	MPEG-2	0	296[fre]	1	Tanea	16-Jan-18	46	
3857	R	1520	WH	TV	Galaxy TV Lagos	TV	FTA	Yes		SD	MPEG-2	512	4112[eng]	1	Vadim	4-Oct-16	50	
3858	R	1055	WH	TV	Rave TV	TV	FTA	Yes		SD	MPEG-2	512	4112[eng]	1	Vadim	13-Jul-17	54	
3860	R	1300	WH	TV	Core TV News	TV	FTA	Yes		SD	MPEG-4	4113	4352[eng]	1	Vadim	4-Oct-16	58	
3862	R	1134	WH	TV	Quest TV	TV	FTA	Yes		SD	MPEG-4	256	512[eng]	257	Tanea	2-Oct-18	62	
3868	R	1203	WH	TV	R2 TV	TV	FTA	Yes		SD	MPEG-4	8190	4112[eng]	1	Vadim	4-Oct-16	66	
3869	R	1260	WH	TV	Label TV	TV	FTA	Yes		SD	MPEG-4	308	256[eng]	1	Vadim	4-Oct-16	70	
3870	R	1550	WH	TV	SES Demo	TV	FTA	Yes		SD	MPEG-4	255	256[eng]	1	Vadim	4-Oct-16	74	
3877	R	1134	WH	TV	CRBC TV	TV	FTA	Yes		SD	MPEG-4	512	4112[eng]	1	Tanea	4-Oct-18	78	
3892	R	6058	WH	TV	Spiritus TV	TV	FTA	Yes		SD	MPEG-4	512	258[eng]	1	Tanea	24-Dec-18	82	
3892	R	6058	WH	TV	Our TV	TV	FTA	Yes		SD	MPEG-4	288	304[eng]	2	Tanea	2-Oct-18	84	
3892	R	6058	WH	TV	Wise TV	TV	FTA	Yes		SD	MPEG-4	68	70[eng]	4	Tanea	2-Oct-18	86	
3892	R	6058	WH	TV	AB TV	TV	FTA	Yes		SD	MPEG-4	2159	3159|3159[eng]	5	Tanea	24-Dec-18	88	
3892	R	6058	WH	TV	Ohemaa TV	TV	FTA	Yes		SD	MPEG-4	612	611[eng]	6	Tanea	24-Dec-18	90	
3990	L	47000	WH	DATA	Data	@	FTA	Yes				0		0	Vadim	6-Oct-16	94	
3992	R	3574	WH	TV	AIT News	TV	FTA	Yes		SD	MPEG-4	512	4112[eng]	1	Tanea	2-Oct-18	98	
3992	R	3574	WH	R	Ray Power 106.5 FM	R	FTA	Yes				0	1065[eng]	2	Vadim	5-Oct-16	100	
3996	R	3574	WH	R	Ray Power 106.5 FM	R	FTA	Yes				0	1065[eng]	2	Vadim	5-Oct-16	104	
