No	Freq	Pol	Beam	SID	Name	Lang
	10714	H	Spot	0	Mii Channel 2 UK	[eng]
	10714	H	Spot	0	Metro Radio Yorkshire	[eng]
	10714	H	Spot	0	Mii Channel UK	[eng]
	10714	H	Spot	10060	ITV 1 London	[eng]
	10714	H	Spot	10072	ITV 4	[eng]
	10714	H	Spot	10073	ITV 4 +1	[eng]
	10714	H	Spot	10075	ITV Be	[eng]
	10773	H	Spot	6301	BBC One London	[eng]
	10773	H	Spot	6302	BBC Two England	[eng]
	10773	H	Spot	6316	BBC Four	[eng]
	10773	H	Spot	6351	BBC One Cambridge	[eng]
	10773	H	Spot	6361	BBC One Channel Islands	[eng]
	10788	V	Spot	0	BBC Radio 3	
	10788	V	Spot	10301	BBC One West Midlands	[eng]
	10788	V	Spot	10303	BBC One East Yorkshire & Lincolnshire	[eng]
	10788	V	Spot	10305	BBC One East Midlands	[eng]
	10788	V	Spot	10306	BBC One East Norwich	[eng]
	10788	V	Spot	10307	BBC Parliament	[eng]
	10788	V	Spot	10311	BBC One Wales	[eng]
	10788	V	Spot	10312	BBC Two Wales	[eng]
	10788	V	Spot	10381	BBC Radio 4 FM	[eng]
	10788	V	Spot	10383	BBC Radio 6 Music	[eng]
	10788	V	Spot	10384	BBC Radio 4 Extra	[eng]
	10788	V	Spot	10385	BBC World Service Europe	[eng]
	10788	V	Spot	10386	BBC Radio Scotland AM	[eng]
	10788	V	Spot	10387	BBC Radio nan Gaidheal	[eng]
	10788	V	Spot	10388	BBC Radio Wales FM	[eng]
	10788	V	Spot	10389	BBC Radio Cymru	[wel]
	10788	V	Spot	10390	BBC Radio Ulster FM	[eng]
	10788	V	Spot	10391	BBC Radio Foyle	[eng]
	10803	H	Spot	6407	BBC One Scotland	[eng]
	10803	H	Spot	6422	BBC Two Scotland	[eng]
	10803	H	Spot	6424	BBC Alba	[gla]
	10803	H	Spot	6441	BBC One North West	[eng]
	10803	H	Spot	6451	BBC One Yorkshire & North Midlands	[eng]
	10803	H	Spot	6461	BBC One South East	[eng]
	10803	H	Spot	6471	BBC One NE & Cumbria	[eng]
	10818	V	Spot	10353	BBC One South	[eng]
	10818	V	Spot	10354	BBC One South West	[eng]
	10818	V	Spot	10356	BBC One Oxford	[eng]
	10818	V	Spot	10358	BBC News	[eng]
	10818	V	Spot	10361	BBC One Northern Ireland	[eng]
	10818	V	Spot	10362	BBC Two Northern Ireland	[eng]
	10847	V	Spot	6940	BBC Two HD	[eng]
	10847	V	Spot	6941	BBC One HD	[eng]
	10847	V	Spot	6943	BBC One Nothern Island	[eng]
	10891	H	Spot	10120	ITV Border	[eng]
	10891	H	Spot	10125	ITV Westcountry South West +1	[eng]
	10891	H	Spot	10130	ITV 1 Tyne Tees North	[eng]
	10891	H	Spot	10139	ITV Be +1	[eng]
	10891	H	Spot	10140	ITV 1 Meridian South	[eng]
	10891	H	Spot	10145	ITV 1 Central West +1	[eng]
	10891	H	Spot	10150	ITV 1 Meridian South East	[eng]
	10891	H	Spot	10155	ITV 1 London +1	[eng]
	10891	H	Spot	10160	ITV 1 Yorkshire West	[eng]
	10891	H	Spot	10165	ITV 2 +1	[eng]
	10906	V	Spot	10200	Channel TV	[eng]
	10906	V	Spot	10210	STV North	[eng]
	10906	V	Spot	10220	STV West	[eng]
	10906	V	Spot	10221	STV East	[eng]
	10906	V	Spot	10225	STV West +1	[eng]
	10906	V	Spot	10230	Ulster TV	[eng]
	10906	V	Spot	10238	Talk Sport	[eng]
	10906	V	Spot	10240	ITV 1 Westcountry South West	[eng]
	10906	V	Spot	10255	Scottish TV Tayside	[eng]
	10906	V	Spot	10260	ITV 3	[eng]
	10906	V	Spot	10261	ITV 3 +1	[eng]
	10936	V	Spot	8311	Channel 4 London +1	[eng]
	10936	V	Spot	8312	Channel 4 South & East +1	[eng]
	10936	V	Spot	8313	Channel 4 Midlands +1	[eng]
	10936	V	Spot	8314	Channel 4 North +1	[eng]
	10936	V	Spot	8315	Channel 4 Northern Ireland +1	[eng]
	10936	V	Spot	8316	Channel 4 Scotland +1	[eng]
	10936	V	Spot	8340	More 4 UK	[eng]
	10994	H	Spot	12101	ITV 1 Meridian North	[eng]
	10994	H	Spot	12130	ITV 1 Granada HD	[eng]
	11038	V	Europe	6208	Discovery Home & Health UK	[eng]
	11038	V	Europe	6209	Discovery Turbo UK	[eng]
	11038	V	Europe	6233	TLC UK	[eng]
	11038	V	Europe	7600	Home+1	[eng]
	11038	V	Europe	52465	Investigation Discovery Europe	[eng]
	11053	H	Spot	20730	ITV Wales HD	[eng]
	11053	H	Spot	20740	ITV Granada HD	[eng]
