Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
	Haddar-Yemen	20.01.2019	11474	V	DVB-S/MPEG-2	27500 3/4		VideoGuard	171-3	Amos 7 MiddleEast	47-54 dBW		103
	KooLy	13.05.2017	11468	H	DVB-S/QPSK	2222 5/6	feed			Amos 7 MiddleEast	47-54 dBW		104
	KooLy	13.05.2017	11476	H	DVB-S2/8PSK	2300 5/6	feed			Amos 7 MiddleEast	47-54 dBW		105
	D.Shimoni	25.03.2017	11500	H	DVB-S2	23994 1/2	feed			Amos 7 MiddleEast	47-54 dBW		106
	Haddar-Yemen	10.03.2020	11501	V	DVB-S/MPEG-2	13750 5/6		VideoGuard	171-6	Amos 7 MiddleEast	47-54 dBW	Reshet 13|on	107
	KooLy	11.02.2019	11541	H	DVB-S/MPEG-2	3703 3/4			1-4	Amos 7 MiddleEast	47-54 dBW		108
	Haddar-Yemen	03.03.2020	11553	V	DVB-S/MPEG-2	27500 5/6		VideoGuard	171-11	Amos 7 MiddleEast	47-54 dBW	GTV|left	112
	VodzigorLans|Edumichi	25.05.2018	11574	H	DVB-S2/8PSK	3333 3/4	feed			Amos 7 PanEurope	47-55 dBW		113
	VodzigorLans	10.06.2018	11574	H	DVB-S2/16APSK	5454 2/3	M4 Sport HD feed			Amos 7 PanEurope	47-55 dBW		114
	Satesco	03.03.2017	11585	H	DVB-S/MPEG-2	2604 5/6	feed			Amos 7 PanEurope	47-55 dBW		115
	KooLy	20.10.2017	11594	V	DVB-S2/QPSK|ACM|MIS: 21	9000 3/4	Data			Amos 7 MiddleEast	47-54 dBW		116
	Atomantiii|Satesco	02.06.2019	11595	H	DVB-S2/8PSK	6666 3/4|7200 3/4	feed			Amos 7 PanEurope	47-55 dBW		117
	Atomantiii	16.06.2019	11600	H	DVB-S2/16APSK	5453 2/3	M4 Sport HD feed			Amos 7 PanEurope	47-55 dBW		118
	Atomantiii	27.03.2019	11600	H	DVB-S2/16APSK	5453 2/3	M4 Sport HD feed			Amos 7 PanEurope	47-55 dBW		119
	Atomantiii	16.02.2019	11603	H	DVB-S2/16APSK	5453 2/3	M4 Sport HD feed			Amos 7 PanEurope	47-55 dBW		120
	Atomantiii	22.02.2019	11606	H	DVB-S/MPEG-2	3333 5/6	feed			Amos 7 PanEurope	47-55 dBW		121
	Atomantiii	31.05.2019	11607	H	DVB-S2/8PSK	3700 3/4	feed			Amos 7 PanEurope	47-55 dBW		122
	Atomantiii	13.03.2018	11646	H	DVB-S/QPSK	4231 5/6	feed			Amos 7 PanEurope	47-55 dBW		123
	Atomantiii	16.11.2018	11646	H	DVB-S2/8PSK	4609 5/6|5000 5/6	feed			Amos 7 PanEurope	47-55 dBW		124
	Atomantiii	20.01.2019	11653	H	DVB-S2/16PSK	2000 2/3|2455 2/3|3273 2/3	MTVA feed			Amos 7 PanEurope	47-55 dBW		125
	Edumichi	22.05.2017	11656	H	DVB-S/QPSK	3333 5/6	feed			Amos 7 PanEurope	47-55 dBW		126
	Atomantiii	07.07.2018	11656	H	DVB-S2/8PSK	3000 3/4	feed			Amos 7 PanEurope	47-55 dBW		127
	Atomantiii	16.10.2019	11656	H	DVB-S2/16APSK	3271 2/3|4090 2/3|4544 2/3|6545 2/3	M4 Sport HD feed			Amos 7 PanEurope	47-55 dBW		128
	Eduard	07.02.2020	12297	H	DVB-S2/8PSK|MPEG-4	45000 2/3		Verimatrix	97-103	Amos 7 CEE	47-56 dBW	Test2|left	129
	Wellikan|Hendrik|Eduard	01.04.2020	12340	H	DVB-S2/8PSK|MPEG-4	17900 3/4			42-2	Amos 7 CEE	47-56 dBW	Obozrevatel TV|left	136
	Atomantiii	16.02.2019	12374	H	DVB-S2/8PSK	3200 3/4|4800 3/4|5000 3/4	feed			Amos 7 CEE	47-56 dBW		144
	VodzigorLans	04.04.2017	12377	H	DVB-S2/8PSK	3200 3/4	Rou-Tele-M feed			Amos 7 CEE	47-56 dBW		145
	Satesco|Edumichi	06.04.2018	12381	H	DVB-S2/8PSK	3200 3/4|4800 3/4	feed			Amos 7 CEE	47-56 dBW		146
	William-1	21.04.2017	12391	H	DVB-S/QPSK	3200 3/4	Rou-Tele-M feed			Amos 7 CEE	47-56 dBW		147
	Atomantiii	03.05.2017	12395	H	DVB-S/QPSK	3200 3/4	Rou-Tele-M feed			Amos 7 CEE	47-56 dBW		148
	Eduard|Hendrik	09.04.2020	12410	H	DVB-S/MPEG-2|DVB-S/MPEG-4	20833 7/8			42-1	Amos 7 CEE	47-56 dBW	Telekanal|Vozrojdenie|left	149
	EnoSat|Atomantiii	10.10.2019	12515	H	DVB-S/MPEG-2	1667 3/4	RASD TV		1	Amos 7 CEE	47-56 dBW		163
	Eduard	02.01.2020	12518	H	DVB-S2/8PSK|MPEG-4					Amos 7 CEE	47-56 dBW	Ukrkosmos|package|left	165
	Atomantiii	25.09.2018	12706	H	DVB-S2/32APSK|ACM	1500 3/4	Data			Amos 7 CEE	47-56 dBW		166
	Wellikan	03.01.2019	20075	L	DVB-S2/QPSK|ACM	1500 1/4	Data			Amos 3 Ka			167
