Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
D1	Hendrik	18.11.2019	11471	H	DVB-S2/QPSK|MPEG-4	30000 5/6		Cryptoworks|Irdeto2	126-50100	E7C Western	45-53 dBW		172
D2	Hendrik	23.03.2020	11471	V	DVB-S2/QPSK|MPEG-4	30000 5/6		Cryptoworks|Irdeto2	126-50200	E7C Western	45-53 dBW	TRT Eba TV HD|started|program	174
D2	D.Shimoni|Hendrik	28.01.2020	11492	V	DVB-S2/QPSK|MPEG-4|HEVC					E7C Western	45-53 dBW	DigiTürk|package|left	179
D3	Hendrik	10.03.2020	11513	H	DVB-S2/QPSK|MPEG-4	29900 5/6		Irdeto2	126-50900	E7C Western	45-53 dBW	Şömine Keyfi HD|left	180
D4	Hendrik	24.02.2020	11554	V	DVB-S/HEVC	29750 3/4		Irdeto2	126-50500	E7C Western	45-53 dBW		187
D5	Hendrik	30.03.2020	11554	H	DVB-S2/8PSK	29750 3/4		Irdeto2	126-50600	E7C Western	45-53 dBW	PCR_MW3|on	188
D7	Hendrik	13.02.2020	11596	H	DVB-S2/QPSK|MPEG-4	30000 5/6		Irdeto2	126-50700	E7C Western	45-53 dBW	TV 5 Monde|HD now	189
D9	Hendrik	30.10.2019	11637	H	DVB-S2/QPSK|MPEG-4	30000 5/6		Irdeto2	126-50300	E7C Western	45-53 dBW		190
D11	Hendrik	13.01.2020	11678	H	DVB-S2/QPSK|MPEG-4	30000 5/6		Irdeto2	126-50800	E7C Western	45-53 dBW		192
F2	SatSearcher	15.01.2020	12507	V	DVB-S2/QPSK	2500 4/5	Data			E7B Europe A	38-50 dBW		193
F2	AhmedIraqi	19.11.2019	12525	V	DVB-S2/8PSK|MPEG-2|MPEG-4	6592 2/3			0-0	E7B Europe A	38-50 dBW		194
F1	DX Süvi|AhmedIraqi	07.01.2019	12530	H	DVB-S/MPEG-4	1480 3/4	Or Hachaim HD		1|MPEG-4/HD|8192-4096	E7B Europe A	38-50 dBW		197
F2	AhmedIraqi	19.11.2019	12538	V	DVB-S2/8PSK|MPEG-4	2115 5/6	El Hiwar Ettounsi		1	E7B Europe A	38-50 dBW		198
F2	SatSearcher|Eduard	15.06.2018	12550	V	DVB-S2/QPSK|MPEG-2	2222 5/6	CoRaLLo SaT		8|BISS	E7B Europe A	38-50 dBW		199
F2	SatSearcher	15.01.2020	12551	V	DVB-S2/QPSK|ACM	1000 1/3	Data			E7B Europe A	38-50 dBW		200
F2	William-1	01.03.2020	12556	V	DVB-S2/8PSK|MPEG-4					E7B Europe A	38-50 dBW	Fox Sports Europe HD|left	201
	AhmedIraqi	28.01.2020	12561	H	DVB-S2/8PSK|ACM	30000 Auto	Data			E7C Africa	42-50 dBW		202
F2	A.Mikula|AhmedIraqi	24.11.2019	12572	V	DVB-S2/QPSK	10210 2/3	DAB		20500|40000	E7B Europe A	38-50 dBW		203
F3	SatSearcher	15.01.2020	12592	H	DVB-S2/QPSK	2000 4/5	Data			E7B Europe A	38-50 dBW		204
F3	SatSearcher	15.01.2020	12600	H	DVB-S2/32APSK	1563 3/4	Data			E7B Europe A	38-50 dBW		205
H3	Eutelsat	28.06.2019	12604	H	DVB-S2/8PSK|MPEG-4	30000 2/3				E7B Africa	38-47 dBW		206
F3	Satesco	20.02.2018	12605	H	DVB-S2/QPSK|ACM	6000 1/2	Data			E7B Europe A	38-50 dBW		221
F3	Satesco	23.03.2017	12615	H	DVB-S2/QPSK|ACM	2000 1/2	Data			E7B Europe A	38-50 dBW		222
F3	SatSearcher	18.08.2018	12621	H	DVB-S2/16APSK|ACM	8518 3/4	Data			E7B Europe A	38-50 dBW		223
F4	EnoSat	01.03.2011	12634	V	DVB-S/IP|MPEG4	1303 3/4				E7B Europe A	38-50 dBW		224
F6	SatSearcher	15.01.2020	12718	V	DVB-S2/32APSK	2000 3/4	Data			E7B Europe A	38-50 dBW		230
F5	AhmedIraqi	18.01.2020	12744	H	DVB-S/MPEG-2	2222 3/4	Numidia TV		1|1-1	E7B Europe A	38-50 dBW		231
J1	Onacila	19.07.2015	21533	H	DVB-S2/8PSK|ACM|MIS:171	256 8/9	Data			E7B Europe C	40-54 dBW		232
J2	Dreamsat	15.12.2018	21564	H	DVB-S2/8PSK|MPEG-4	1100 2/3	B6 TV			E7B Europe C	40-54 dBW		233
J2	Onacila	15.02.2018	21565	H	DVB-S2/8PSK|MPEG-4	1100 2/3	2S TV		309|1-1	E7B Europe C	40-54 dBW		234
J2	G.Heckenhahn	21.05.2017	21567	H	DVB-S2/8PSK|MPEG-4	1100 2/3	QTV		1|1-1	E7B Europe C	40-54 dBW		235
J2	G.Heckenhahn	15.05.2017	21568	H	DVB-S2/8PSK|MPEG-4	1100 2/3	Bantamba TV		1|1-1	E7B Europe C	40-54 dBW		236
J2	G.Heckenhahn|Onacila	15.03.2015	21571	H	DVB-S/MPEG-2	2441 2/3	TPA Internacional		2|1-1	E7B Europe C	40-54 dBW		237
J2	Onacila	19.07.2015	21593	H	DVB-S2/8PSK|ACM|MIS:173	667 2/3	Data			E7B Europe C	40-54 dBW		240
J2	Sat DX Club|Deutschland	19.01.2016	21636	H	DVB-S2/QPSK|ACM|MIS:173	1085 1/2	Data			E7B Europe C	40-54 dBW		241
M1	Onacila	14.03.2020	21750	H	DVB-S2/8PSK|MPEG-4	17272 2/3			1-1	E7B Europe C	40-54 dBW	KNC TV|Muvi Sports|on|Nonkas TV|left	242
