Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
A1	Hendrik	23.01.2020	10721	H	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 3/4			100-20000	E7B Europe B	44-52 dBW	Channel Yek|left	0
A2	Eduard	26.11.2019	10722	V	DVB-S/MPEG-2	27500 3/4			126-2578	E7C Western	45-53 dBW		6
K3	HamdOmer|Sudan	28.01.2020	10762	H	DVB-S2/QPSK|HEVC	30000 1/2		Topwell|VisionCrypt	1-1	E7B Africa	38-47 dBW		13
A2	Hendrik	20.10.2019	10762	H	DVB-S2/8PSK|MPEG-2					E7B Europe B	44-52 dBW	Filbox|package|left	34
A5	Hendrik|Eduard	01.07.2019	10804	H	DVB-S2/QPSK|MPEG-4	30000 5/6		Irdeto2	126-20500	E7C Western	45-53 dBW		35
A6	Hendrik	10.02.2020	10804	V	DVB-S2/QPSK|MPEG-2|MPEG-4	30000 5/6			126-20300	E7C Western	45-53 dBW	TRT Haber|left	37
A7	Hendrik	13.01.2020	10845	H	DVB-S2/QPSK|MPEG-4	30000 5/6		Irdeto2	126-20700	E7C Western	45-53 dBW		50
A8	Hendrik	02.04.2020	10845	V	DVB-S2/QPSK|MPEG-4	30000 5/6		Irdeto2	126-20800	E7C Western	45-53 dBW	TV8,5 HD|left	52
A9	Hendrik	03.08.2018	10886	H	DVB-S2/QPSK|MPEG-4	30000 5/6		Irdeto2	126-20900	E7C Western	45-53 dBW		53
A10	Hendrik	07.11.2017	10886	V	DVB-S2/QPSK|MPEG-4	30000 5/6		Irdeto2	126-21100	E7C Western	45-53 dBW		54
A9	AhmedIraqi	14.12.2019	10887	H	DVB-S2/QPSK|MPEG-4	30000 4/5				E7B Africa	38-47 dBW		56
A11	DX Sito	01.03.2020	10928	H	DVB-S2/QPSK|MPEG-4	30000 5/6		Irdeto2	126-21000	E7C Western	45-53 dBW	Nat Geo People HD|left	69
A12	Hendrik	10.04.2019	10928	V	DVB-S2/QPSK|MPEG-4	30000 5/6		Irdeto2	126-21200	E7C Western	45-53 dBW		70
K11	HamdOmer|Sudan	28.01.2020	10928	H	DVB-S2/QPSK|MPEG-4	30000 3/4		Conax		E7B Africa	38-47 dBW	new	72
G1	A.Mesquita	07.08.2009	10969	H	DVB-S/MPEG-2	2354 Auto	Koko Mansion TV		BISS	E7B Africa	38-47 dBW		109
B3	Ayakar|Hendrik	30.10.2003	11046	H	DVB-S2/8PSK|MPEG-4	8333 5/6	EVN TV		BISS	E7B Europe A	38-50 dBW		110
G2	LaminCham	31.03.2008	11105	H	DVB-S/MPEG-2	3800 3/4	Go Africa			E7B Africa	38-47 dBW		111
G3	Chadli_sat	31.03.2015	11192	H	DVB-S/MPEG-2	3210 1/2		Cryptoworks|Irdeto2		E7B Africa	38-47 dBW		112
B6	EnoSat	16.10.2019	11192	V	DVB-S2/8PSK|MPEG-4	3674 3/4	Simaye Azadi Iran National TV HD		1|MPEG-4/HD|BISS|0-0	E7B Europe A	38-50 dBW		116
C1	Hendrik	17.03.2020	11221	H	DVB-S/MPEG-2|DVB-S/MPEG-4	27500 3/4			126-40700	E7B Europe A	38-50 dBW	Andisheh TV|MPEG-2|again	117
C3	Hendrik	10.04.2020	11262	H	DVB-S/MPEG-2	27500 5/6			126-30300	E7B Europe B	44-52 dBW	Saheb TV|info card|left	137
C5	AhmedIraqi	24.01.2020	11304	H	DVB-S2/8PSK|MPEG-4	29700 2/3			126-30300	E7B Europe B	44-52 dBW	ICC TV|left	145
C6	A.Dariushy	27.01.2020	11324	V	DVB-S2/8PSK|MPEG-4	29700 2/3			126-30600	E7B Europe B	44-52 dBW	PMC HD|back on	150
C7	Hendrik	28.03.2020	11345	H	DVB-S/MPEG-2|DVB-S/MPEG-4	27500 5/6			126-40700	E7B Europe B	44-52 dBW	GHM|Hopecity|left	159
N3	Frank S	09.03.2019	11356	H	DVB-S2/QPSK|MPEG-4	45000 5/6	Azam TV	Nagravision		E7B Africa	38-47 dBW		167
C9	Hendrik	28.03.2020	11387	H	DVB-S/MPEG-4	27500 5/6			126-40900	E7B Europe B	44-52 dBW	Hopecity HD|GHM Cinema HD|left	168
N4	Frank S	09.03.2016	11419	H	DVB-S2/QPSK|MPEG-4	45000 5/6	Azam TV	Nagravision		E7B Africa	38-47 dBW		171
