No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10747	V	25000	3/4	A03	Thor-6 K1 Nordic	28	0	0	0	28
	10903	V	25000	3/4	A13	Thor-6 K1 Nordic	0	1	0	0	1
	11293	H	25000	3/4	C6	Thor-5 T1	0	2	0	0	2
	11357	H	24500	7/8	C10	Thor-5 T1	0	4	0	0	4
	11389	H	24500	7/8	C12	Thor-5 T1	8	0	0	0	8
	11747	H	28000	5/6	2	Thor-6 K2	1	10	0	0	11
	11785	H	28000	7/8	4	Thor-5 T2	5	0	0	0	5
	11804	V	30000	3/4	5	Thor-6 K2	0	1	0	0	1
	11900	H	28000	5/6	10	Thor-6 K2	14	1	0	0	15
	11958	V	28000	7/8	13	Thor-6 K2	0	1	0	0	1
	12092	H	28000	7/8	20	Thor-6 K2	0	14	0	0	14
	12130	H	28000	7/8	22	Thor-7	0	1	0	0	1
	12149	V	28000	7/8	23	Thor-7	13	1	0	0	14
	12188	V	28000	7/8	25	Thor-5 T2	2	1	0	0	3
	12207	H	30000	3/4	26	Thor-7	0	5	0	0	5
	12226	V	27500	5/6	27	Thor-5 T2	0	11	0	0	11
	12284	H	30000	3/4	30	Thor-7	0	5	0	0	5
	12303	V	27500	5/6	31	Thor-6 K2	0	10	0	0	10
	12322	H	30000	3/4	32	Thor-7	0	6	0	0	6
	12360	H	30000	3/4	34	Thor-7	0	5	0	0	5
	12399	H	30000	2/3	36	Thor-7	0	1	0	0	1
	12418	V	28000	7/8	37	Thor-5 T2	1	8	0	0	9
	12607	H	30000	3/4	311	10-02 Spot 3/3X	12	24	0	0	36
	12643	H	30000	7/8	311L	10-02 Spot 3/3X	11	16	0	0	27
	12643	V	28800	3/4	311XU	10-02 Spot 3/3X	0	9	0	0	9
	12687	H	27500	3/4	312L	10-02 Spot 3/3X	3	1	0	0	4
	12687	V	28800	3/5	312XL	10-02 Spot 3/3X	1	6	0	0	7
	12723	H	27500	3/4	312U	10-02 Spot 3/3X	1	0	0	0	1
