Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
A1	Vito|Hendrik	25.02.2020	10720	H	DVB-S/MPEG-2|DVB-S/MPEG-4					E16A Europe B	40-50 dBW	HRT Int|left	0
A2	P.Piotrowski|Hendrik	13.02.2020	10762	H	DVB-S2/8PSK|MPEG-4	30000 3/5		Conax	366-20300	E16A Europe B	40-50 dBW		1
A5	Hendrik	20.03.2020	10804	H	DVB-S2/8PSK|MPEG-4	29950 2/3		Conax	366-20500	E16A Europe B	40-50 dBW	Fax News|on	7
K5	AhmedIraqi	26.11.2019	10804	H	DVB-S2/8PSK|MPEG-4	30000 3/4				E16A Africa	40-50 dBW		12
A7	Hendrik	23.12.2019	10845	H	DVB-S2/8PSK|MPEG-4	30000 3/5		Conax	366-26000	E16A Europe B	40-50 dBW	Fast&FunBox|left	57
K7	D.Shimoni	09.11.2011	10845	H	DVB-S2/QPSK|MPEG-4	27500 5/6	CanalSat Réunion	Mediaguard		E16A Africa	40-50 dBW		59
A9	Hendrik	01.03.2020	10887	H	DVB-S2/8PSK|MPEG-4	30000 3/5		Conax	366-20900	E16A Europe B	40-50 dBW		60
K9	D.Shimoni	09.11.2011	10887	H	DVB-S/MPEG-2	27500 5/6	CanalSat Réunion	Mediagrd2		E16A Africa	40-50 dBW		61
A11	Hendrik	02.04.2020	10928	H	DVB-S2/8PSK|MPEG-4|HEVC	30000 3/5		Conax	366-21100	E16A Europe B	40-50 dBW	Wness TV|The Box|Box Hits|Ginx TV|Kerrang!|Kiss|Magic UK|Body in Balance|RiC TV|left	62
K11	D.Shimoni	09.11.2011	10928	H	DVB-S/MPEG-2	30000 3/4	Parabole Réunion	Viaccess		E16A Africa	40-50 dBW		63
B2	Hendrik|Vito	20.03.2020	10972	V	DVB-S2/8PSK|MPEG-4	27500 3/5		VideoGuard	366-30203	E16A Europe B	40-50 dBW	Uci Doma TV 1|Uci Doma TV 2|on	64
G1	AhmedIraqi	18.11.2019	10976	H	DVB-S2/QPSK|MPEG-4					E16A Africa	40-50 dBW	See Afrika|package|left	67
B1	SatSearcher	10.10.2019	10983	H	DVB-S2/32APSK	2508 3/4	Data			E16A Europe A	38-49 dBW		68
G1	AhmedIraqi	13.11.2019	11002	H	DVB-S2/QPSK|MPEG-4	8332 5/6				E16A Africa	40-50 dBW		69
B2	Vito|Hendrik	03.02.2020	11011	V	DVB-S2/8PSK|MPEG-4	27500 3/5		VideoGuard	366-30204	E16A Europe B	40-50 dBW		80
G1	Flie	18.03.2020	11016	H	DVB-S2/8PSK|MPEG-4	2083 3/5	E-Télé		1	E16A Africa	40-50 dBW	new PIDs|new SR/FEC|new modulation	81
G1	Afreaka	02.01.2013	11024	H	DVB-S/MPEG-2	3333 5/6	TVM Malagasy		1	E16A Africa	40-50 dBW		82
G1	AhmedIraqi	13.11.2019	11040	H	DVB-S2/QPSK|MPEG-4	4166 5/6				E16A Africa	40-50 dBW		84
B4	Hendrik	09.08.2018	11055	V	DVB-S2/QPSK|MPEG-4|HEVC	27500 4/5		Conax	366-30400	E16A Europe B	40-50 dBW		90
B3	Onacila	09.12.2014	11069.3	H	DVB-S/QPSK	354 2/3			53810-53810	E16A Europe A	38-49 dBW	11069,374|(+ - 30kHz )	92
B3	Onacila	05.01.2019	11069.8	H	DVB-S2/QPSK	376 3/5			41378-41378	E16A Europe A	38-49 dBW	11069,821|(+ - 30kHz )	95
B3	Satmaat	25.02.2019	11070.2	H	DVB-S/QPSK	274 1/2			1-17168	E16A Europe A	38-49 dBW	11070,241|(+ - 30kHz )	98
B3	Onacila	05.01.2019	11070.6	H	DVB-S/QPSK	274 1/2			1-17168	E16A Europe A	38-49 dBW	11070,624|(+ - 30kHz )	100
B3	Onacila	31.01.2020	11071.1	H	DVB-S/QPSK					E16A Europe A	38-49 dBW	BNR Nieuwsradio|left	102
B3	SatSearcher	10.10.2019	11072	H	DVB-S2/32APSK	1497 3/4	Data			E16A Europe A	38-49 dBW		103
B4	Hendrik	14.02.2020	11094	V	DVB-S2/QPSK|MPEG-4|HEVC	27500 4/5		Conax	366-30401	E16A Europe B	40-50 dBW		104
B6	Hendrik	14.03.2016	11131	V	DVB-S2/8PSK|MPEG-4	16593 2/3		Conax	366-0	E16A Europe B	40-50 dBW		105
B5	Hendrik	27.03.2020	11139	H	DVB-S2/8PSK|MPEG-4	30000 3/5		Conax	366-364	E16A Europe B	40-50 dBW	T7|encrypted again	115
B6	Hendrik|Vito	11.06.2019	11151	V	DVB-S2/8PSK|MPEG-4	14375 3/5		Irdeto2|VideoGuard	366-52012	E16A Europe B	40-50 dBW		118
B6	Vito|Hendrik|G.Abdelhamid	15.10.2019	11178	V	DVB-S2/8PSK|MPEG-4	30000 3/5		Irdeto2|VideoGuard	366-52011	E16A Europe B	40-50 dBW		135
C1	Vito|Hendrik	03.12.2019	11221	H	DVB-S2/8PSK|MPEG-4	30000 3/5		VideoGuard	366-40100	E16A Europe A	38-49 dBW	Nova Sport HD|on	138
C2	Vito	09.03.2020	11231	V	DVB-S2/QPSK|MPEG-4	42000 4/5		VideoGuard	366-40200	E16A Europe A	38-49 dBW		140
C3	Hendrik	23.03.2020	11262	H	DVB-S2/8PSK|MPEG-4	30000 2/3			366-1	E16A Europe B	40-50 dBW	Radio Posavina|left	142
C4	Hendrik|Vito	19.08.2019	11283	V	DVB-S2/8PSK|MPEG-4	30000 2/3		Conax|VideoGuard	366-40400	E16A Europe B	40-50 dBW		159
N2	Afreaka	28.07.2018	11294	H	DVB-S2/8PSK|MPEG-4					E16A Africa	40-50 dBW	Mega-Choice|package|left	160
C5	Hendrik|Vito|Gladix	23.03.2020	11303	H	DVB-S2/8PSK|MPEG-4	30000 2/3			366-2	E16A Europe A	38-49 dBW	DM Sat HD|on	161
C6	Hendrik	25.10.2019	11324	V	DVB-S2/8PSK|MPEG-4	30000 2/3		Conax|Irdeto	65280-40600	E16A Europe B	40-50 dBW		182
C7	Vito	03.02.2020	11345	H	DVB-S/MPEG-2|DVB-S/MPEG-4	30000 3/4			366-24100	E16A Europe A	38-49 dBW		183
	AhmedIraqi	19.12.2019	11356	H	DVB-S2/8PSK|MPEG-4	45000 3/5				E16A Africa	40-50 dBW		193
C8	Hendrik	13.03.2020	11366	V	DVB-S2/8PSK|MPEG-4	30000 2/3		Conax|Irdeto	65280-40800	E16A Europe B	40-50 dBW	The Fishing and|Hunting Channel|left	202
C9	Vito	16.03.2020	11387	H	DVB-S2/8PSK|MPEG-4	30000 3/5		VideoGuard	366-40900	E16A Europe B	40-50 dBW	RTS 3|on|Studio B|left	203
C10	Hendrik	02.03.2020	11400	V	DVB-S2/8PSK|MPEG-2|MPEG-4					E16A Europe B	40-50 dBW	Tring Digital|package|left	204
C10	Hendrik	31.03.2020	11426	V	DVB-S2/8PSK|MPEG-4	27500 2/3		Conax	366-360	E16A Europe B	40-50 dBW	Kanal D Drama HD|FTA now	205
D1	Hendrik|Vito	04.03.2020	11471	H	DVB-S2/8PSK|MPEG-4	30000 3/4		Conax|VideoGuard	366-50100	E16A Europe B	40-50 dBW		210
