Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
401	KooLy	02.05.2018	11461	H	DVB-S2/16APSK|ACM	8000 3/4	Data			3B Middle East			0
401	KooLy	18.11.2019	11476	H	DVB-S2/QPSK|ACM	4832 1/2	Data			3B Middle East			1
402	KooLy	08.02.2012	11475	V	DVB-S2/QPSK|ACM/VCM	30000 1/2	AOL			3B Middle East			2
403	Kypros|Pambou	24.07.2016	11515	H	DVB-S2/32APSK|ACM	34285 3/4	Data			3B Middle East			3
408	KooLy	09.12.2018	11580	V	DVB-S2X/16APSK|ACM	3643 25/36	Data			3B Middle East			4
7	Hendrik	19.02.2020	11582	H	DVB-S2/8PSK|MPEG-4					3B Europe		TVP Polonia|left	5
408	KooLy	09.12.2018	11587	V	DVB-S2X/16APSK|ACM	3250 7/9	Data			3B Middle East			6
408	KooLy	09.12.2018	11593	V	DVB-S2X/16APSK|ACM	3250 7/9	Data			3B Middle East			7
407	KooLy	12.10.2013	11595	H	DVB-S2/QPSK|ACM	30000 1/2	AOL			3B Middle East			8
9	Satesco	20.05.2017	11620	H	DVB-S2/32APSK|ACM	5931 3/4	Data			3B Europe			9
9	Hendrik	03.02.2020	11644	H	DVB-S2/8PSK	5500 3/4			1-0	3B Europe		ESKA Braniewo	10
12	EnoSat	03.09.2019	11675	V	DVB-S2/8PSK|ACM/VCM	999 3/4				3B Europe			76
412	KooLy	09.04.2017	11675	V	DVB-S2/32APSK|ACM	34278 3/4	Data			3B Middle East			84
12	EnoSat	03.09.2019	11676	V	DVB-S2/QPSK	1410 4/5			3-11	3B Europe			85
12	EnoSat	03.09.2019	11678	V	DVB-S2/8PSK	2050 3/4			5-15	3B Europe			93
12	Redeemer	05.08.2013	11686	V	DVB-S/MPEG-2	2748 3/4	@ Gilat Satellite Networks			3B Europe			118
201	Hendrik	06.03.2020	11720	H	DVB-S2/8PSK|MPEG-4|HEVC	30000 3/4		Conax	3-3201	3B Europe Wide			119
202	Hendrik	07.04.2020	11739	V	DVB-S2/8PSK|MPEG-4	29900 2/3		Cryptoworks|Itdeto|Mediaguard|Nagravision|Viaccess	3-3202	3B Europe Wide		FightBox|on	120
203	EnoSat	23.11.2016	11758	H	DVB-S2/16APSK|ACM/VCM	30000 Auto	Data			3B Europe Wide			126
204	Hendrik|Satmaat|D.Shimoni|FaresSenara	11.11.2016	11778	V	DVB-S2/8PSK|HEVC	27500 2/3			3-3204	3B Europe Wide			127
205	Hendrik	03.03.2020	11798	H	DVB-S2/8PSK|MPEG-4|HEVC	30000 3/4		Conax	3-3205	3B Europe Wide		B92|on|O2.TV|left	130
