No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	11013	V	30000	3/5	KC2	E5WB Transalpine	9	5	0	0	14
	11096	V	29950	3/4	B8	E5WB Transalpine	0	3	0	0	3
	11138	V	29950	2/3	KC5	E5WA Super	0	1	0	0	1
	11179	V	30000	3/5	KC6	E5WB Transalpine	2	11	0	0	13
	11456	H	2400	3/4	KB7	E5WB Transalpine	5	0	1	0	6
	11465	H	667	3/5	KB7	E5WB Transalpine	4	0	0	0	4
	11471	V	29950	3/4	D2	E5WB Transalpine	61	2	0	0	63
	11472	H	9900	4/5	KB7	E5WB Transalpine	78	1	0	0	79
	11480	H	3215	3/4	KB7	E5WB Transalpine	20	0	0	0	20
	11509	H	29500	8/9	KB8	E5WB Transalpine	0	15	0	0	15
	11512	V	29950	3/4	KB2	E5WA Super	0	1	0	0	1
	11554	V	29950	3/4	D6	E5WB Transalpine	0	1	0	0	1
	11596	V	29950	2/3	KB4	E5WA Super	0	1	0	0	1
	11637	V	30000	3/5	KB5	E5WB Transalpine	8	10	0	0	18
	11675	H	30000	2/3	D11	E5WB Transalpine	10	10	0	0	20
	11679	V	29950	3/4	KB6	E5WB Transalpine	0	1	2	0	3
	12522	V	35500	2/3	KA1	E5WB Transalpine	1	14	2	0	17
	12543	H	34200	8/9	KA7	E5WB Transalpine	9	33	0	0	42
	12564	V	29950	2/3	KA2	E5WA Super	61	4	2	0	67
	12585	H	35000	2/3	KA8	E5WB Transalpine	0	19	3	0	22
	12606	V	35500	2/3	KA3	E5WB Transalpine	4	12	1	0	17
	12648	V	29500	8/9	KA4	E5WB Transalpine	0	17	0	0	17
	12669	H	35000	2/3	KA10	E5WB Transalpine	0	14	2	2	18
	12690	V	29950	3/4	KA5	E5WA Super	78	2	0	0	80
	12700	H	11167	3/4	KA11	E5WB Transalpine	0	22	0	0	22
