No	Freq	Pol	Beam	SID	Name	Lang
	10714	H	1KR	0	TV Touring Mainfranken/Würzburg HD (00-01 & 04-05 & 06-07 & 10-11 & 12-13 & 16-17 & 18-19 & 22-23)	[ger]
	10714	H	1KR	5900	TV Touring Main-Rhön/Schweinfurt (02-03 & 05-06 & 08-09 & 11-12 & 14-15 & 17-18 & 20-21 & 23-00)	[ger]
1	10714	H	1KR	5900	Main TV HD (01-02 & 03-04 & 07-08 & 09-10 & 13-14 & 15-16 & 19-20 & 21-22)	[ger]
2	10714	H	1KR	5901	Franken Fernsehen HD	[ger]
3	10714	H	1KR	5902	TVA Ostbayern HD	[ger]
4	10714	H	1KR	5903	TV Oberfranken HD	[ger]
5	10714	H	1KR	5904	Niederbayern HD	[ger]
6	10714	H	1KR	5905	Oberpfalz TV HD	[ger]
9	10744	H	1M Europe	28721	Tagesschau 24	[ger]
10	10744	H	1M Europe	28722	One (ARD)	[ger][org]
11	10744	H	1M Europe	28724	Arte Deutsch	[fre][ger]
12	10744	H	1M Europe	28725	Phoenix	[ger][org]
17	10773	H	1KR	21100	Anixe HD Serie	[ger]
18	10773	H	1KR	21103	QVC Deutschland HD	[ger]
19	10773	H	1KR	21104	HSE 24 HD	[ger]
20	10773	H	1KR	21112	Sophia TV	[ger]
21	10773	H	1KR	21113	Genius Plus TV	[ger]
	10803	H	1KR	5500	Disney Channel Deutschland HD	[ger]
25	10803	H	1KR	5501	HSE 24 Extra HD	[ger]
26	10803	H	1KR	5502	1-2-3.TV HD	[ger]
	10803	H	1KR	5503	Deluxe Music HD	[ger]
27	10803	H	1KR	5504	QVC 2 Deutschland HD	[ger]
	10803	H	1KR	5505	Sport 1 HD Deutschland	[ger]
	10803	H	1KR	5510	Disney Channel Austria HD	[ger]
	10803	H	1KR	5513	Deluxe Music HD Austria	[ger]
33	10847	V	1M Europe	30110	Bajo Demanda	[spa]
61	10891	H	1M Europe	10350	RBB Brandenburg HD	[ger][mis]
62	10891	H	1M Europe	10351	RBB Berlin HD	[ger][mis]
63	10891	H	1M Europe	10352	MDR Fernsehen Sachsen HD	[ger][mis]
64	10891	H	1M Europe	10353	MDR Fernsehen Sachsen-Anhalt HD	[ger][mis]
65	10891	H	1M Europe	10354	MDR Fernsehen Thüringen HD	[ger][mis]
66	10891	H	1M Europe	10355	HR Fernsehen HD	[ger][mis]
68	10921	H	1KR	33	Genius Family	[ger]
69	10921	H	1KR	35	Zee One Deutschland	[ger]
70	10921	H	1KR	37	Sky Sport News Deutschland	[ger]
71	10921	H	1KR	38	HGTV Deutschland	[ger]
72	10921	H	1KR	39	Mediashop Life	[ger]
	10964	H	1L	10100	TLC HD Deutschland	[ger]
74	10964	H	1L	10101	Zee One HD Deutschland	[ger]
75	10964	H	1L	10102	Handystar TV HD	[ger]
	10964	H	1L	10103	MTV HD Deutschland	[ger]
76	10964	H	1L	10104	Channel 21 HD	[ger]
