No	Freq	Pol	Beam	SID	Name	Lang
	11644	H	3B Europe	1050	-R- Radio WaWa Kielce	[pol]
	11644	H	3B Europe	1070	-R- Radio WaWa Krakow	[pol]
	11644	H	3B Europe	1100	-R- Radio WaWa Lódz	[pol]
	11644	H	3B Europe	1120	-R- Radio WaWa Opole	[pol]
	11644	H	3B Europe	1150	-R- Radio WaWa Torun	[pol]
	11644	H	3B Europe	1170	-R- Radio WaWa Trojmiasto	[pol]
	11644	H	3B Europe	1180	-R- Radio WaWa Wroclaw	[pol]
	11644	H	3B Europe	1240	-R- Radio WaWa Rzeszów	[pol]
	11644	H	3B Europe	1260	-R- Radio WaWa Szczecin	[pol]
	11644	H	3B Europe	1290	-R- Radio WaWa Nowy Sacz	[pol]
	11644	H	3B Europe	1380	-R- Radio WaWa Warszawa	[pol]
	11644	H	3B Europe	1480	-R- Radio WaWa Jelenia Gora	[pol]
	11644	H	3B Europe	1510	-R- Radio WaWa Trzebnica	[pol]
	11644	H	3B Europe	2000	-R- Radio Eska Ses	[pol]
	11644	H	3B Europe	2010	-R- Radio Eska Belchatów	[pol]
	11644	H	3B Europe	2020	-R- Radio Eska Bialystok	[pol]
	11644	H	3B Europe	2030	-R- Radio Eska Bydgoszcz	[pol]
	11644	H	3B Europe	2040	-R- Radio Eska Gorzów	[pol]
	11644	H	3B Europe	2050	-R- Radio Eska Kielce	[pol]
	11644	H	3B Europe	2060	-R- Radio Eska Siedlce	[pol]
	11644	H	3B Europe	2070	-R- Radio Eska Krakow	[pol]
	11644	H	3B Europe	2080	-R- Radio Eska Leszno	[pol]
	11644	H	3B Europe	2090	-R- Radio Eska Pila	[pol]
	11644	H	3B Europe	2100	-R- Radio Eska Lódz	[pol]
	11644	H	3B Europe	2110	-R- Radio Eska Olsztyn	[pol]
	11644	H	3B Europe	2120	-R- Radio Eska Opole	[pol]
	11644	H	3B Europe	2130	-R- Radio Eska Lublin	[pol]
	11644	H	3B Europe	2140	-R- Radio Eska Poznan	[pol]
	11644	H	3B Europe	2150	-R- Radio Eska Torun	[pol]
	11644	H	3B Europe	2160	-R- Radio Eska Tarnów	[pol]
	11644	H	3B Europe	2170	-R- Radio Eska Trojmiasto	[pol]
	11644	H	3B Europe	2180	-R- Radio Eska Wroclaw	[pol]
	11644	H	3B Europe	2190	-R- Radio Eska Zielona Góra	[pol]
	11644	H	3B Europe	2210	-R- Radio Eska Radom	[pol]
	11644	H	3B Europe	2220	-R- Radio Eska Slask	[pol]
	11644	H	3B Europe	2230	-R- Radio Eska Zamosc	[pol]
	11644	H	3B Europe	2240	-R- Radio Eska Rzeszów	[pol]
	11644	H	3B Europe	2250	-R- Radio Eska Plock	[pol]
	11644	H	3B Europe	2260	-R- Radio Eska Szczecin	[pol]
	11644	H	3B Europe	2270	-R- Radio Eska Koszalin	[pol]
	11644	H	3B Europe	2300	-R- Radio Eska Zywiec	[pol]
	11644	H	3B Europe	2310	-R- Radio Eska Szczecinek	[pol]
	11644	H	3B Europe	2320	-R- Radio Eska Przemysl	[pol]
	11644	H	3B Europe	2360	-R- Radio Eska Krasnik	[pol]
	11644	H	3B Europe	2400	-R- Radio Eska Starachowice	[pol]
	11644	H	3B Europe	2420	-R- Radio Eska Zary	[pol]
	11644	H	3B Europe	2430	-R- Radio Eska Elblag	[pol]
	11644	H	3B Europe	2440	-R- Radio Eska Ilawa	[pol]
	11644	H	3B Europe	2450	-R- Radio Eska Grudziadz	[pol]
	11644	H	3B Europe	2460	-R- Radio Eska Lomza	[pol]
	11644	H	3B Europe	2480	-R- Radio Eska Wroclaw JG	[pol]
	11644	H	3B Europe	2500	-R- Radio Eska Ostrzeszow	[pol]
	11644	H	3B Europe	2520	-R- Radio Eska Braniewo	[pol]
	11644	H	3B Europe	3040	-R- Vox Gorzow	[pol]
	11644	H	3B Europe	3140	-R- Vox Poznan	[pol]
	11644	H	3B Europe	3210	-R- Vox Radom	[pol]
	11644	H	3B Europe	3990	-R- Vox FM	[pol]
	11644	H	3B Europe	4000	-R- Radio Plus FM	[pol]
	11644	H	3B Europe	4110	-R- Radio Plus Olsztyn	[pol]
	11644	H	3B Europe	4130	-R- Radio Plus Lublin	[pol]
	11644	H	3B Europe	4270	-R- Radio Plus Koszalin	[pol]
	11644	H	3B Europe	4340	-R- Radio Plus Podhale	[pol]
	11644	H	3B Europe	5010	-R- Radio Eska	[pol]
	11644	H	3B Europe	8010	-R- Radio Rodzina	[pol]
	11644	H	3B Europe	8020	-R- Radio Wielkopolska	[pol]
	11675	V	3B Europe	1000	-R- Radio Zlate Przeboje Polska	[pol]
	11675	V	3B Europe	2000	-R- Radio Pogoda	[pol]
	11675	V	3B Europe	3000	-R- Rock Radio	[pol]
	11675	V	3B Europe	4000	-R- Tok FM	[pol]
