No	Freq	Pol	Beam	SID	Name	Lang
	11013	V	E5WB Transalpine	3203	Rai 3 TGR Piemonte	[ita][org]
	11013	V	E5WB Transalpine	8562	Rai Sport	[ita]
	11013	V	E5WB Transalpine	8565	Rai Scuola	[ita]
	11013	V	E5WB Transalpine	8570	-R- Rai Radio Classica	[ita]
	11013	V	E5WB Transalpine	8572	-R- GR Parlamento	[ita]
	11013	V	E5WB Transalpine	8573	-R- Isoradio	[ita]
	11013	V	E5WB Transalpine	8576	Rai 5	[ita]
	11013	V	E5WB Transalpine	8577	Rai Storia	[ita]
	11013	V	E5WB Transalpine	8578	-R- Rai Radio Tutta Italiana	[ita]
	11013	V	E5WB Transalpine	8579	-R- Rai Radio Techéte	[ita]
	11013	V	E5WB Transalpine	8580	-R- Rai Radio Live	[ita]
	11013	V	E5WB Transalpine	8589	-R- Rai Radio Kids	[ita]
	11013	V	E5WB Transalpine	8590	-R- Rai Radio 1 Sport	[ita]
	11013	V	E5WB Transalpine	8591	-R- RAI Radio 2 Indie	[ita]
1	11096	V	E5WB Transalpine	426	Via Vosges	[fre]
2	11096	V	E5WB Transalpine	427	KTO TV Catholique	[fre]
3	11096	V	E5WB Transalpine	1412	RT France	[fre]
4	11138	V	E5WA Super	1831	Label TV	[fre]
	11179	V	E5WB Transalpine	3401	Rai 3 Campania	[ita]
	11179	V	E5WB Transalpine	3403	Rai 3 Sardegna	[ita]
	11179	V	E5WB Transalpine	3404	-R- RAI Radio 1	[ita]
	11179	V	E5WB Transalpine	3404	-R- RAI Radio 1	[ita]
	11179	V	E5WB Transalpine	8581	Rai Premium	[ita][org]
	11179	V	E5WB Transalpine	8582	Rai YoYo	[ita]
	11179	V	E5WB Transalpine	8583	Rai 4	[ita][org]
	11179	V	E5WB Transalpine	8584	Rai Gulp	[ita]
	11179	V	E5WB Transalpine	8585	Rai Movie	[ita][org]
	11179	V	E5WB Transalpine	8588	Rai 1 HD	[ita][org]
	11179	V	E5WB Transalpine	8592	Rai 2 HD	[ita]
	11179	V	E5WB Transalpine	8593	Rai 3 HD	[ita]
	11179	V	E5WB Transalpine	8599	Rai Sport + HD	[ita]
	11456	H	E5WB Transalpine	0	KB7Satesco11.07.2014	
	11456	H	E5WB Transalpine	1001	-R- Skyrock	[fre]
	11456	H	E5WB Transalpine	1001	-R- Nostalgie	[fre]
	11456	H	E5WB Transalpine	1002	-R- NRJ	[fre]
	11456	H	E5WB Transalpine	2001	-R- NRJ Ile De France	[fre]
	11456	H	E5WB Transalpine	2002	-R- Nostalgie Ile De France	[fre]
	11465	H	E5WB Transalpine	1000	-R- Alouette	[fre]
	11465	H	E5WB Transalpine	2000	-R- Magic programme Alouette 92.6	[fre]
	11465	H	E5WB Transalpine	3000	-R- Tempo programme Alouette 88.6 & 101.2	[fre]
	11465	H	E5WB Transalpine	4000	-R- Magic programme Alouette 88.8 & 107 & 107.3	[fre]
5	11471	V	E5WB Transalpine	3017	A La Maison	[fre][qaa]
6	11471	V	E5WB Transalpine	3018	D!CI TV	[fre]
	11471	V	E5WB Transalpine	3020	-R- France Bleu 107.1	[fre]
	11471	V	E5WB Transalpine	3021	-R- France Bleu Alsace	[fre]
	11471	V	E5WB Transalpine	3022	-R- France Bleu Armorique	[fre]
	11471	V	E5WB Transalpine	3023	-R- France Bleu Auxerre	[fre]
	11471	V	E5WB Transalpine	3024	-R- France Bleu Azur	[fre]
	11471	V	E5WB Transalpine	3025	-R- France Bleu Basse Normandie	[fre]
	11471	V	E5WB Transalpine	3026	-R- France Bleu Béarn	[fre]
	11471	V	E5WB Transalpine	3027	-R- France Bleu Belfort Montbéliard	[fre]
	11471	V	E5WB Transalpine	3028	-R- France Bleu Berry	[fre]
	11471	V	E5WB Transalpine	3029	-R- France Bleu Besançon	[fre]
	11471	V	E5WB Transalpine	3031	-R- France Bleu Breiz Izel	[fre]
	11471	V	E5WB Transalpine	3031	-R- France Bleu Bourgogne	[fre]
	11471	V	E5WB Transalpine	3032	-R- France Bleu Champagne	[fre]
	11471	V	E5WB Transalpine	3033	-R- France Bleu Cotentin	[fre]
	11471	V	E5WB Transalpine	3034	-R- France Bleu Creuse	[fre]
	11471	V	E5WB Transalpine	3035	-R- France Bleu Drôme Ardèche	[fre]
	11471	V	E5WB Transalpine	3036	-R- France Bleu Frequenza Mora	[fre]
	11471	V	E5WB Transalpine	3037	-R- France Bleu Gard Lozère	[fre]
	11471	V	E5WB Transalpine	3038	-R- France Bleu Gascogne	[fre]
	11471	V	E5WB Transalpine	3039	-R- France Bleu Gard Gironde	[fre]
	11471	V	E5WB Transalpine	3040	-R- France Bleu Haute Normandie	[fre]
	11471	V	E5WB Transalpine	3041	-R- France Bleu Hérault	[fre]
	11471	V	E5WB Transalpine	3042	-R- France Bleu Isère	[fre]
	11471	V	E5WB Transalpine	3043	-R- France Bleu La Rochelle	[fre]
	11471	V	E5WB Transalpine	3044	-R- France Bleu Limousin	[fre]
	11471	V	E5WB Transalpine	3045	-R- France Bleu Loire Océan	[fre]
	11471	V	E5WB Transalpine	3046	-R- France Bleu Lorraine Nord	[fre]
	11471	V	E5WB Transalpine	3047	-R- France Bleu Maine	[fre]
	11471	V	E5WB Transalpine	3048	-R- France Bleu Mayenne	[fre]
	11471	V	E5WB Transalpine	3049	-R- France Bleu Nord	[fre]
	11471	V	E5WB Transalpine	3050	-R- France Bleu Orléans	[fre]
	11471	V	E5WB Transalpine	3051	-R- France Bleu Pays Basque	[fre]
	11471	V	E5WB Transalpine	3052	-R- France Bleu Pays d'Auvergne	[fre]
	11471	V	E5WB Transalpine	3053	-R- France Bleu Pays de Savoie	[fre]
	11471	V	E5WB Transalpine	3054	-R- France Bleu Périgord	[fre]
	11471	V	E5WB Transalpine	3055	-R- France Bleu Picardie	[fre]
	11471	V	E5WB Transalpine	3056	-R- France Bleu Poitou	[fre]
	11471	V	E5WB Transalpine	3057	-R- France Bleu Provence	[fre]
	11471	V	E5WB Transalpine	3058	-R- France Bleu Roussillon	[fre]
	11471	V	E5WB Transalpine	3059	-R- France Bleu Saint-Étienne Loire	[fre]
	11471	V	E5WB Transalpine	3060	-R- France Bleu Sud Lorraine	[fre]
