Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
50	Feci01	05.10.2019	3675	L	DVB-S2/16APSK|ACM	4365 3/4	Data			10-02 NE Zone			0
20	Atomantiii	17.12.2018	3694	R	DVB-S2/QPSK|ACM	6598 1/4	Data			10-02 East hemi			1
51	Satesco	07.04.2017	3722	L	DVB-S2/32APSK|ACM	3497 3/4	Data			10-02 NE Zone			2
21	Feci01	05.10.2019	3733	R	DVB-S2/32APSK|ACM	45000 3/4	Data			10-02 East hemi			3
21	Qwer	24.12.2008	3775	R	DVB-S2/QPSK	3139 Auto	ISC			10-02 East hemi			4
52	Satesco	28.02.2016	3795	L	DVB-S2/16APSK|ACM	4374 3/4	Data			10-02 NE Zone			5
22	Feci01	05.10.2019	3825	R	DVB-S2/16APSK|ACM	30332 2/3	Data			10-02 East hemi			6
52	Feci01	05.10.2019	3850	L	DVB-S2/32APSK|ACM	24228 3/4	Data			10-02 NE Zone			7
53	Feci01	05.10.2019	3871	L	DVB-S2/32APSK|ACM	2379 5/6	Data			10-02 NE Zone			8
53	Feci01	05.10.2019	3881	L	DVB-S2/32APSK|ACM	3047 4/5	Data			10-02 NE Zone			9
53	Feci01	05.10.2019	3887	L	DVB-S2/32APSK|ACM	3731 5/6	Data			10-02 NE Zone			10
53	Feci01	05.10.2019	3890	L	DVB-S2/16APSK|ACM	3172 5/6	Data			10-02 NE Zone			11
53	Satesco	06.09.2013	3895	L	DVB-S2/32APSK|ACM	1025 3/4	Data			10-02 NE Zone			12
23	Satesco	07.09.2013	3886	R	DVB-S2/16APSK	957 4/5	Data			10-02 East hemi			13
53	Feedsat	11.07.2013	3901	L	DVB-S2/32APSK	8175 5/6	Data			10-02 NE Zone			14
23	Feci01	05.10.2019	3905	R	DVB-S2/16APSK|ACM	1000 5/6	Data			10-02 East hemi			15
53	Edumichi	26.09.2012	3913	L	DVB-S2/8PSK	1602 3/4	Data			10-02 NE Zone			16
