Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
49	Hendrik|satmaat|Tururu|D.Shimoni	21.12.2017	10714	H	DVB-S2/8PSK|MPEG-2|MPEG-4	22000 2/3			1-1049	1KR			0
50	Tururu|G.Abdelhamid|M.Ahmed	12.08.2019	10729	V	DVB-S2/8PSK|MPEG-4	22000 2/3		Nagravision3	1-1050	1KR			9
51	Hendrik	30.09.2016	10744	H	DVB-S/MPEG-2	22000 5/6			1-1051	1M Europe			10
52	Hendrik	01.04.2020	10758	V	DVB-S/MPEG-2	22000 5/6		Mediaguard2|Nagravision2|Nagravision3	1-1052	1M Europe		M. Disney|left	15
53	Hendrik	20.01.2020	10773	H	DVB-S2/8PSK|MPEG-4	22000 3/4		Irdeto2|Nagravision3|VideoGuard	1-1053	1KR		SES 75|(HD+ Info Card)|left	16
54	Tururu	22.08.2019	10788	V	DVB-S/MPEG-2	22000 5/6		Mediaguard2|Nagravision3	1-1054	1M Europe			22
55	Hendrik	08.02.2018	10803	H	DVB-S2/8PSK|MPEG-4	22000 3/4			1-1055	1KR			23
56	Tururu|G.Abdelhamid	12.08.2019	10818	V	DVB-S2/8PSK|MPEG-4	22000 2/3		Nagravision3	1-1056	1M Europe			32
57	G.Fawaz	01.04.2014	10832	H	DVB-S2/8PSK|MPEG-4	22000 2/3		Nagravision3|VideoGuard	1-1057	1KR			33
58	Hendrik	15.09.2019	10847	V	DVB-S/MPEG-2	22000 5/6			1-1058	1M Europe			34
59	Hendrik	05.10.2019	10862	H	DVB-S2/8PSK	23500 2/3				1KR			36
60	Tururu|G.Abdelhamid	12.08.2019	10876	V	DVB-S/MPEG-2	22000 5/6		Mediaguard2|Nagravision3	1-1060	1M Europe			37
61	Nicolas A.|Vintaj|D.Shimoni	20.03.2014	10891	H	DVB-S2/8PSK|MPEG-4	22000 2/3			1-1061	1M Europe			38
62	Tururu	15.07.2019	10906	V	DVB-S2/8PSK|MPEG-4	22000 2/3		Nagravision3	1-1062	1KR			45
63	Hendrik	03.02.2020	10921	H	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 7/8			133-15	1KR		Mediashop Life|on	46
64	Hendrik	20.09.2016	10936	V	DVB-S2/8PSK|MPEG-4	22000 2/3		Nagravision3	1-1064	1M Europe			52
33	Hendrik	05.06.2018	10964	H	DVB-S2/8PSK|MPEG-4	22000 2/3			1-1033	1L			53
34	Hendrik	30.08.2018	10979	V	DVB-S/MPEG-2	22000 5/6		Mediaguard2|Nagravision3	1-1034	1L			62
35	Hendrik|D.Shimoni	01.04.2020	10995	H	DVB-S2/8PSK|HEVC	22000 5/6			1-1035	1L		TravelXP 4K|left	63
36	Eheimz	14.01.2018	11009	V	DVB-S2X/QPSK|HEVC					1L		Dolby Labs|Test Stream|left	67
37	F.Schenk|Hendrik|Tururu	06.05.2019	11023	H	DVB-S2/8PSK|HEVC	23500 3/4				1L		NRJ Pole|UHD|HD+|left	68
38	Tururu	22.08.2019	11038	V	DVB-S/MPEG-2	22000 5/6		Mediaguard2|Nagravision3	1-1038	1L			69
39	Hendrik|Dr Feeds|Tururu|Chadli_sat	07.01.2019	11053	H	DVB-S2/8PSK|MPEG-4	22000 2/3			1-1039	1L			70
40	Hendrik	01.03.2020	11068	V	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 5/6			1-1040	1L		Galicia TV Europa|left	76
41	Hendrik	24.07.2018	11082	H	DVB-S2/8PSK|MPEG-4	22000 3/4			1-1041	1N Europe			81
42	Tururu	22.08.2019	11097	V	DVB-S/MPEG-2	22000 5/6		Mediaguard2|Nagravision3	65280-1042	1L			87
43	Hendrik	27.03.2020	11112	H	DVB-S2/8PSK|MPEG-4|HEVC	22000 2/3			1-1043	1L		Fashion 4K|left	88
44	Hendrik	01.06.2016	11127	V	DVB-S2/8PSK|MPEG-4	22000 2/3		Nagravision3	1-44	1KR			94
45	Hendrik	15.06.2017	11141	H	DVB-S/MPEG-2|DVB-S/MPEG-4					1KR		All|Promo Channels|left	95
46	Hendrik	01.04.2020	11156	V	DVB-S/MPEG-2	22000 5/6		Mediaguard2|Nagravision3	1-1046	1KR		Disney XD España|left	96
47	William-1|Tururu|Hendrik	28.08.2019	11171	H	DVB-S2/8PSK|MPEG-4	22000 3/4		VideoGuard	133-9	1KR			98
48	Hendrik	12.04.2019	11186	V	DVB-S/MPEG-2	22000 5/6			1-1048	1L			100
1	Hendrik	07.10.2019	11214	H	DVB-S2/8PSK|HEVC	22000 2/3		Irdeto	1-1001	1KR			102
2	Hendrik|Kalman2007	15.11.2017	11229	V	DVB-S2/8PSK|MPEG-4	22000 2/3			1-1002	1KR			104
3	Hendrik	02.05.2019	11244	H	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 5/6		BetaCrypt|Cryptoworks|Irdeto2	1-1003	1KR			110
4	Hendrik	30.08.2018	11259	V	DVB-S2/8PSK	22000 2/3		Nagravision3	1-1004	1KR			117
5	Hendrik|Martin.cz	01.04.2020	11273	H	DVB-S2/8PSK|MPEG-4	22000 2/3		BetaCrypt|Cryptoworks|Irdeto2	1-1005	1KR		Krone TV|on	118
6	Hendrik	19.02.2020	11288	V	DVB-S2/8PSK|MPEG-2|MPEG-4|HEVC	22000 2/3			1-1006	1L			127
7	Hendrik	01.03.2015	11303	H	DVB-S2/8PSK	22000 2/3		BetaCrypt|Cryptoworks|Irdeto2|Nagravision3|VideoGuard	1-1007	1L			132
8	Hendrik	30.08.2018	11318	V	DVB-S/MPEG-2	22000 5/6		Mediaguard2|Nagravision3	1-1008	1KR			135
9	Hendrik|Tururu	25.03.2019	11332	H	DVB-S2/QPSK	22000 3/4				1KR		ESS|package|left	136
10	Hendrik|E.Markham	30.04.2012	11347	V	DVB-S2/8PSK	22000 2/3			1-1010	1KR			137
11	Hendrik	30.09.2016	11362	H	DVB-S2/8PSK	22000 2/3			1-1011	1KR			141
12	Hendrik|William-1|Martin.cz|D.Shimoni	30.01.2020	11377	V	DVB-S2/8PSK|MPEG-4	22000 2/3			1-1012	1L			144
13	Hendrik	14.11.2018	11391	H	DVB-S/MPEG-4|DVB-S/HEVC	22000 5/6			1-1013	1KR			151
14	Hendrik	01.04.2020	11406	V	DVB-S2/8PSK|MPEG-4	22000 2/3				1L		SES Demo HD|left	154
15	Martin.cz	27.01.2020	11421	H	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 5/6			1-1015	1KR		3 BetaDigital|FTA now	155
16	Marjanen	02.10.2018	11436	V	DVB-S2/8PSK	22000 2/3		Mediaguard2|Nagravision3	1-1016	1KR			161
17	Hendrik|D.Shimoni|SebastianIde	17.01.2020	11464	H	DVB-S2/8PSK|MPEG-4	22000 2/3		Viaccess5.0|VideoGuard	1-1017	1N Europe		Kabel Eins Doku HD|on	162
18	Hendrik	01.01.2016	11479	V	DVB-S2/8PSK|HEVC					1L		Canal+ UHD|left	163
19	D.Shimoni	11.03.2014	11494	H	DVB-S2/8PSK|MPEG-4	22000 2/3			1-1019	1N Europe			164
20	Hendrik	15.07.2019	11509	V	DVB-S/MPEG-2	22000 5/6			1-1020	1L			169
21	Hendrik	08.11.2019	11523	H	DVB-S/MPEG-2					1KR		All|info cards|left	173
22	Hendrik	01.04.2020	11538	V	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 5/6			1-1022	1L		RT English|left	174
23	Hendrik|Tururu	01.07.2019	11553	H	DVB-S2/8PSK|MPEG-4	22000 2/3			1-1023	1L			182
24	Eduard|Hendrik	15.02.2020	11568	V	DVB-S2/8PSK|MPEG-4|HEVC					1N Europe		Kartina Satellite|package|left	190
25	G.Fawaz|P.Piotrowski|Hendrik|D.Shimoni|E.Markham	30.04.2012	11582	H	DVB-S2/8PSK	22000 2/3			1-1025	1N Europe			191
26	Martin.cz	23.01.2020	11597	V	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 5/6			1-1026	1L		Algérie 2|on|Canal Algérie|left	199
27	Hendrik	12.03.2020	11612	H	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 5/6			1-1027	1M Widebeam		Juvelirochka|left	205
28	Hendrik	27.03.2020	11627	V	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 5/6			1-1028	1M Widebeam		SpaceConnectsUs|left	210
29	Tururu|Hendrik	02.01.2017	11641	H	DVB-S/MPEG-2					1N Europe		Twój Telekanal|info card|left	214
30	Hendrik|G.Abdelhamid	31.10.2019	11656	V	DVB-S2/8PSK|MPEG-4	22000 2/3			1-1030	1N Europe			215
31	Martin.cz|D.Shimoni	01.09.2019	11671	H	DVB-S2/8PSK|MPEG-2|MPEG-4	22000 2/3		Irdeto2|Viaccess5.0|VideoGuard	1-1031	1N Europe			220
32	Hendrik	24.03.2020	11686	V	DVB-S/MPEG-2	22000 5/6		Mediaguard2|Nagravision2|Nagravision3	1-1032	1KR		Disney+|on	226
65	Hendrik	01.04.2020	11720	H	DVB-S2/QPSK|MPEG-4	27500 9/10		VideoGuard	133-3	1M Widebeam		Nick Jr|on|Disney Junior HD|left	228
66	Hendrik	28.11.2019	11739	V	DVB-S/MPEG-2|DVB-S/MPEG-4					1M Widebeam		Nickelodeon HD|Nick Junior Global	229
67	Hendrik	12.03.2020	11758	H	DVB-S2/QPSK|MPEG-4	27500 9/10		VideoGuard	133-2	1M Widebeam		Cinema Best Of|on|Cinema Hits|left	230
68	Hendrik|Yulius	27.03.2020	11778	V	DVB-S2/QPSK|MPEG-4	29500 9/10			1-1068	1M Widebeam		new	231
69	Hendrik|D.Shimoni	18.07.2019	11798	H	DVB-S2/QPSK|MPEG-4|HEVC	27500 9/10		VideoGuard	133-16	1M Widebeam			233
70	Hendrik	14.01.2020	11817	V	DVB-S2/8PSK|MPEG-4	29700 2/3		NagravisionM|Viaccess6.0	1-1070	1M Widebeam		Olympia TV|on	234
71	D.Shimoni	11.03.2014	11836	H	DVB-S/MPEG-2	27500 3/4			1-1101	1N Europe			235
72	Hendrik	18.03.2020	11856	V	DVB-S2/8PSK|MPEG-4	29700 2/3		NagravisionM|Viaccess6.0	1-1072	1M Widebeam		Disney+ France HD|on|Sundance TV HD|left	242
73	Hendrik	28.03.2019	11876	H	DVB-S2/8PSK	27500 3/4				1N Europe			244
74	Hendrik	01.10.2019	11895	V	DVB-S2/8PSK|MPEG-4	29700 2/3		NagravisionM|Viaccess6.0	1-1074	1M Widebeam			245
75	Hendrik	12.03.2020	11914	H	DVB-S2/QPSK|MPEG-4	27500 9/10		VideoGuard	133-6	1N Europe		Cinema Classics|Cinema|Premieren +24|on|Cinema +1|Cinema +24|left	246
76	Hendrik	14.01.2020	11934	V	DVB-S2/8PSK|MPEG-4|HEVC	29700 2/3		NagravisionM|Viaccess6.0	1-1076	1M Widebeam			247
77	Hendrik	30.09.2016	11954	H	DVB-S/MPEG-2	27500 3/4			1-1079	1N Europe			249
78	Hendrik	25.10.2019	11973	V	DVB-S/MPEG-2|DVB-S/MPEG-4	27500 3/4	MTV Networks		1-1078	1M Widebeam			255
79	Hendrik	01.04.2020	11992	H	DVB-S2/QPSK|MPEG-4	27500 9/10		VideoGuard	133-13	1M Widebeam		Nicktoons|on	270
