Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
110	Eduard	01.01.2020	10719	V	DVB-S2/8PSK|MPEG-4|HEVC	27500 3/4		Conax|Mediaguard4|Nagravision3|Viaccess3.0	318-11000	HB-13C	40-53 dBW	Trace TV|left	0
111	Hendrik	27.03.2020	10727	H	DVB-S2/8PSK|HEVC	30000 3/4			318-11100	HB-13E	40-53 dBW	TravelXP 4K|added|new Audio	2
112	Hendrik	01.01.2020	10758	V	DVB-S2/8PSK|MPEG-4	27500 3/4		Nagravision3	318-11200	HB-13C	40-53 dBW	CBS Action|left	7
113	Hendrik	18.02.2020	10775	H	DVB-S2/8PSK|MPEG-4	29900 3/5			318-8700	HB-13E	40-53 dBW	Jame-Jam TV 2|Jame-Jam TV 3|on	13
114	P.Piotrowski	20.03.2020	10796	V	DVB-S2/8PSK|MPEG-4	27500 3/4		Conax|Mediaguard2|Nagravision3|Viaccess3.0	318-11400	HB-13C	40-53 dBW	Biznes24 HD|on	29
115	Hendrik	31.12.2019	10815	H	DVB-S/MPEG-2	27500 5/6			318-11500	HB-13B	40-53 dBW	NetViet|left	32
116	Eduard|P.Piotrowski	01.01.2020	10834	V	DVB-S2/8PSK|MPEG-4	27500 3/4		Conax|Mediaguard2|Nagravision3|Viaccess3.0	318-11600	HB-13C	40-53 dBW	Zest TV|left	41
117	Hendrik	30.11.2019	10853	H	DVB-S2/8PSK|MPEG-2|MPEG-4					HB-13C	40-53 dBW	SNRT package|left	43
118	Hendrik	09.03.2020	10873	V	DVB-S2/8PSK|MPEG-2|MPEG-4	27500 3/4			176-11800	HB-13C	40-53 dBW	Athaqafia HD|on|Arrabiâ HD|left	44
119	Hendrik|P.Piotrowski|Eduard	01.10.2019	10892	H	DVB-S2/8PSK|MPEG-2|MPEG-4	27500 3/4		Conax|Irdeto|Mediaguard2|Nagravision3|Viaccess3.0	318-11900	HB-13C	40-53 dBW		55
120	P.Piotrowski|Hendrik	06.04.2020	10911	V	DVB-S2/8PSK|MPEG-4	27500 3/4		Conax|Irdeto3|Mediaguard2|Nagravision3|Viaccess3.0	318-12000	HB-13C	40-53 dBW	Polsat Seriale HD|ON	56
121	Hendrik|Eduard	04.02.2020	10930	H	DVB-S2/8PSK|MPEG-4	30000 2/3			318-12100	HB-13C	40-53 dBW		57
122	Hendrik	01.04.2020	10949	V	DVB-S/MPEG-2|DVB-S/MPEG-4	27500 3/4			318-12200	HB-13B	40-53 dBW	Sat-7 Pars|left	77
123	Nektarios1451|Hendrik|ClubSat	12.03.2015	10971	H	DVB-S2/8PSK|MPEG-4	29700 2/3		Viaccess	318-12300	HB-13B	40-53 dBW		82
124	Hendrik|D.Shimoni|P.Grandicelli	04.01.2017	10992	V	DVB-S/MPEG-2	27500 2/3		Nagravision3	318-12400	HB-13C	40-53 dBW		83
125	Hendrik	05.11.2019	11013	H	DVB-S2/8PSK|MPEG-4|HEVC	29900 3/4		Nagravision3	318-12500	HB-13C	40-53 dBW		91
126	Hendrik	19.02.2020	11034	V	DVB-S/MPEG-2|DVB-S/MPEG-4	27500 3/4			318-12600	HB-13C	40-53 dBW		99
127	Hendrik	17.01.2020	11054	H	DVB-S/MPEG-2|DVB-S/MPEG-4	27500 5/6			318-12700	HB-13B	40-53 dBW		113
128	Hendrik|P.Piotrowski|Vito	23.12.2019	11075	V	DVB-S2/8PSK|MPEG-4	30000 3/4			318-12800	HB-13B	40-53 dBW	TVP Polonia|back on	120
129	Hendrik	15.10.2018	11096	H	DVB-S2X/16APSK|HEVC					HB-13C	40-53 dBW	8K test|left	125
130	P.Piotrowski	18.09.2018	11117	V	DVB-S2/8PSK|MPEG-4	27500 3/4		Irdeto3|Nagravision3	318-13000	HB-13C	40-53 dBW		126
131	Hendrik	02.12.2018	11137	H	DVB-S/MPEG-2|DVB-S/MPEG-4	27500 3/4			318-13100	HB-13C	40-53 dBW		127
132	Hendrik|Tururu	03.01.2019	11158	V	DVB-S2/8PSK|MPEG-4	27500 3/4		Conax|Mediaguard4|Nagravision3|Viaccess3.0	113-13200	HB-13C	40-53 dBW		134
133	Hendrik	16.03.2020	11179	H	DVB-S2/8PSK|MPEG-2|MPEG-4	27500 3/4			318-13300	HB-13C	40-53 dBW	New Modulation|Juwelo TV|(MPEG-2)|left	135
134	Hendrik	31.03.2020	11200	V	DVB-S/MPEG-2|DVB-S/MPEG-4	27500 5/6			318-13400	HB-13B	40-53 dBW	!mwl3a 3lik|anta 7iate|Arab Fun 2|lo3b whob|nar elhob|left	148
1	Hendrik|Eduard	21.01.2020	11219	H	DVB-S2/8PSK|MPEG-4	29900 3/5		BetaCrypt		HB-13C	40-53 dBW		155
2	Tururu|Eduard|Hendrik	02.07.2019	11240	V	DVB-S/MPEG-2	27500 3/4			318-200	HB-13C	40-53 dBW		177
3	Tururu	29.05.2019	11258	H	DVB-S2/8PSK|MPEG-4	27500 3/4		Irdeto	318-300	HB-13C	40-53 dBW		183
4	Hendrik	26.01.2019	11278	V	DVB-S2/8PSK|MPEG-4	27500 3/4		Conax|Mediaguard2|Nagravision3|Viaccess3.0|VideoGuard	318-400	HB-13C	40-53 dBW		200
5	Hendrik	02.08.2019	11296	H	DVB-S/MPEG-2	27500 5/6			318-500	HB-13C	40-53 dBW		201
6	Hendrik	26.02.2020	11317	V	DVB-S/MPEG-2	27500 3/4			318-600	HB-13C	40-53 dBW	Somali Cable|on	213
7	Hendrik|Lanus	05.02.2020	11334	H	DVB-S/MPEG-2|DVB-S/HEVC	27500 3/4			318-700	HB-13C	40-53 dBW	Hot Bird 4K1|on	223
8	Hendrik	19.02.2020	11355	V	DVB-S/MPEG-2					HB-13C	40-53 dBW	Sky Italia|package|left	229
9	Hendrik	28.02.2020	11373	H	DVB-S2/8PSK|MPEG-2|MPEG-4	27500 3/4			318-900	HB-13C	40-53 dBW	TV&TV|left	230
10	Hendrik|P.Piotrowski	17.12.2019	11393	V	DVB-S2/8PSK|MPEG-4	27500 3/4		Conax|Irdeto|Mediaguard2|Nagravision3|Viaccess3.0	318-1000	HB-13C	40-53 dBW		242
