Freq	Pol	SR	Beam	Type	Channel Name	FTA	V.PID	A.PID	SID	Row
10758	V	30000 3/4	Amos 3 Europe	TV	T-Home test card	No	481	482[Hun]	1212	3
10925	V	27500 5/6	Amos 3 MiddleEast	TV	The Shopping Channel Israel	Yes	513	661[Heb]	1202	9
10925	V	27500 5/6	Amos 3 MiddleEast	TV	Knesset Channel	Yes	516	664[Heb]	1205	9
10925	V	27500 5/6	Amos 3 MiddleEast	TV	Hala TV	Yes	526	674[Ara]	1215	9
11052	H	8520 2/3	Amos 7 MiddleEast	TV	Channel 12 (Keshet 12)	Yes	257	258[Heb]	10	18
11052	H	8520 2/3	Amos 7 MiddleEast	TV	Channel 13 (Reshet 13)	Yes	513	514[Heb]	20	18
11061	H	4500 1/2	Amos 7 MiddleEast	TV	METV (Middle East TV)	Yes	1160	1120[Eng]	3	22
11061	H	4500 1/2	Amos 7 MiddleEast	TV	ISN (It's Supernatural! Network)	No	69	71[Eng]	4	22
11113	H	8518 3/4	Amos 7 MiddleEast	TV	Kan 11	Yes	1025	1040[Heb]	1	31
11113	H	8518 3/4	Amos 7 MiddleEast	TV	Kan 33 (Makan TV)	Yes	1026	1056[Ara]	2	31
11113	H	8518 3/4	Amos 7 MiddleEast	R	-R- KAN Tarbut	No		4112[Heb]	3	31
11113	H	8518 3/4	Amos 7 MiddleEast	R	-R- KAN Bet	No		4113[Heb]	4	31
11113	H	8518 3/4	Amos 7 MiddleEast	R	-R- KAN Gimmel	No		4114[Heb]	5	31
11113	H	8518 3/4	Amos 7 MiddleEast	R	-R- KAN Makan	No		4115[Ara]	6	31
11113	H	8518 3/4	Amos 7 MiddleEast	R	-R- KAN Kol HaMusica	No		4116[Heb]	7	31
11113	H	8518 3/4	Amos 7 MiddleEast	R	-R- KAN Reka	No		4117[Heb]	8	31
11113	H	8518 3/4	Amos 7 MiddleEast	R	-R- KAN 88	No		4118[Heb]	9	31
11113	H	8518 3/4	Amos 7 MiddleEast	R	-R- KAN Farsi	No		4119[Far]	10	31
11113	H	8518 3/4	Amos 7 MiddleEast	R	-R- KAN Moreshet	No		4120[Heb]	11	31
11140	H	30000 3/4	Amos 3 Europe	TV	XSport	Yes	257	258[Ukr]	1	44
11140	H	30000 3/4	Amos 3 Europe	TV	Pershiy Diloviy (First Business Channel)	Yes	513	514[Ukr]	2	44
11140	H	30000 3/4	Amos 3 Europe	TV	UA: Zakarpattya	Yes	769	770[Ukr]	3	44
11140	H	30000 3/4	Amos 3 Europe	TV	112 Ukraine	Yes	1025	1026[Ukr]	4	44
11140	H	30000 3/4	Amos 3 Europe	TV	Pryamiy HD	Yes	1537	1538[Ukr]	6	44
11140	H	30000 3/4	Amos 3 Europe	TV	News One	Yes	33	34[Ukr]	7	44
11140	H	30000 3/4	Amos 3 Europe	TV	Kultura Ukraine	Yes	2305	2306[Ukr]	9	44
11140	H	30000 3/4	Amos 3 Europe	TV	UA: Donbass	Yes	4097	4098	10	44
11140	H	30000 3/4	Amos 3 Europe	TV	ZIK	Yes	4353	4354[Ukr]	11	44
11140	H	30000 3/4	Amos 3 Europe	TV	112 Ukraine HD	Yes	4609	4610[Ukr]	12	44
11140	H	30000 3/4	Amos 3 Europe	TV	Telekanal STB	No	337	338[Ukr]	21	44
11140	H	30000 3/4	Amos 3 Europe	TV	ICTV	No	353	354[Ukr]	22	44
11140	H	30000 3/4	Amos 3 Europe	TV	Novy Kanal	No	369	370[Ukr]	23	44
11140	H	30000 3/4	Amos 3 Europe	R	-R- Tysa FM	No		771[Ukr]	3	44
11140	H	30000 3/4	Amos 3 Europe	R	-R- UR 1	No		38[Ukr]	14	44
11140	H	30000 3/4	Amos 3 Europe	R	-R- Radio Promin	No		40[Ukr]	15	44
11140	H	30000 3/4	Amos 3 Europe	R	-R- UR 3	No		42[Ukr]	16	44
11140	H	30000 3/4	Amos 3 Europe	R	-R- Golos Donbassa	No		48[Ukr]	17	44
11140	H	30000 3/4	Amos 3 Europe	R	-R- Radio Ukraine international	No		44[Ukr]	18	44
11175	H	30000 3/4	Amos 3 Europe	TV	Telekanal STB	No	33	34[Ukr]	1	64
11175	H	30000 3/4	Amos 3 Europe	TV	M1 Ukraine	No	49	50[Ukr]	2	64
11175	H	30000 3/4	Amos 3 Europe	TV	Milady Television	No	65	66	3	64
11175	H	30000 3/4	Amos 3 Europe	TV	Novy Kanal	No	81	82[Ukr]	4	64
11175	H	30000 3/4	Amos 3 Europe	TV	ICTV UA	No	97	98[Ukr]	5	64
11175	H	30000 3/4	Amos 3 Europe	TV	M2 Estrada	No	113	114[Ukr]	6	64
11175	H	30000 3/4	Amos 3 Europe	TV	ICTV	No	71	72[Ukr]	7	64
