Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
C1	S.Chygryn	28.01.2020	3651	L	DVB-S2/8PSK|MPEG-2|MPEG-4	40445 2/3			366-60030	E5WA C-Band	30-39 dBW		0
C7	DX Süvi	28.01.2020	3727	R	DVB-S/QPSK|MPEG-2	26666 5/6		BISS	17-1	E5WA C-Band	30-39 dBW	CAF 5|CAF 6|left	37
C2	Marval450	04.07.2006	3732	L	DVB-S/MPEG-2	11963 2/3	Linkstar		1330|3108	E5WA C-Band	30-39 dBW		42
C8	Marval450	23.10.2015	4020	R	DVB-S2/QPSK	1300 2/3	feed			E5WA C-Band	30-39 dBW		43
C8	Bonou2	01.09.2012	4035	R	DVB-S2/32APSK	2600 3/4	Data			E5WA C-Band	30-39 dBW		44
C8	Marval450	26.06.2016	4047	R	DVB-S2/8PSK	9874 3/4	EBU feed			E5WA C-Band	30-39 dBW		45
C8	Satesco	25.04.2017	4048	R	DVB-S2/QPSK	9874 3/4	EBU feed			E5WA C-Band	30-39 dBW		46
C8	Edumichi	24.03.2018	4060	R	DVB-S2/8PSK	6666 3/4	EBU feed			E5WA C-Band	30-39 dBW		47
C9	Satesco	11.04.2017	4100	R	DVB-S2/QPSK	1000 3/4	Data			E5WA C-Band	30-39 dBW		48
C9	satdxer	17.02.2020	4111	R	DVB-S2/8PSK|MPEG-4	30000 3/4		Conax	222-13663	E5WA C-Band	30-39 dBW	Fox Africa|back on|&|FTA now	49
C4	Pongisat	27.10.2017	4128	L	DVB-S2/8PSK	3484 3/5	Data			E5WA C-Band	30-39 dBW		54
C4	Waleed|Gammam|Satellites|Community	15.09.2017	4137	L	DVB-S2/QPSK	2142 3/4	feed			E5WA C-Band	30-39 dBW		55
C10	mrozuś|(satclub.pl)	05.03.2020	4153	R	DVB-S2/8PSK|MPEG-4	30000 3/4		Conax		E5WA C-Band	30-39 dBW	Nina TV|on	56
C5	Marval450|Onacila	20.09.2014	4163	L	DVB-S/MPEG-2	1500 3/4			65335-1	E5WA C-Band	30-39 dBW		58
	Stanley_Cassidy	15.03.2020	10958	H	DVB-S2/8PSK	4800 3/4	feed			E5WA Steerable	40-53 dBW		61
	Stanley_Cassidy	15.03.2020	10964	H	DVB-S2/8PSK	4800 3/4	feed			E5WA Steerable	40-53 dBW		62
KC1	Hendrik	01.02.2018	10972	V	DVB-S2/8PSK|MPEG-2|MPEG-4	29950 3/4		Viaccess6.0	1375-20600	E5WA Super	42-53 dBW		63
	Stanley_Cassidy	15.03.2020	10962	H	DVB-S2/8PSK	4666 3/4	feed			E5WA Steerable	40-53 dBW		64
KC2	EnoSat	13.11.2018	11013	V	DVB-S2/8PSK|MPEG-2|Multistream|PLS Root|16416|PLS Gold|131070	30000 3/5				E5WB Transalpine	48-52 dBW		65
KC8	Flie	19.02.2018	11026	H	DVB-S2/8PSK|ACM/VCM	7200 2/3	Data			E5WA Super	42-53 dBW		82
KC8	Stanley_Cassidy|Zaza	08.10.2019	11044	H	DVB-S2/8PSK	6975 5/6|7200 3/4	feed			E5WA Wide	38-48 dBW		83
KC8	Zaza	08.10.2019	11053	H	DVB-S2/8PSK	7200 3/4	feed			E5WA Wide	38-48 dBW		84
KC3	Hendrik	06.04.2020	11054	V	DVB-S2/8PSK|MPEG-2	29950 3/4		Viaccess6.0	1375-20500	E5WA Super	42-53 dBW	D!CI TV|left	85
