Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
41	Björn	13.12.2018	10714	H	DVB-S/MPEG-2	22000 5/6		VideoGuard	2-2041	2E UK			0
42	DX Süvi	15.11.2018	10729	V	DVB-S/MPEG-2					2E UK		Sky UK|package|left	10
43	William-1	27.08.2016	10744	H	DVB-S2/8PSK|MPEG-4					2E UK		BBC Olympics|left	11
44	Chadli_sat	18.09.2015	10758	V	DVB-S/MPEG-2	22000 5/6			2-2044	2E UK			12
45	Tururu	18.02.2019	10773	H	DVB-S/MPEG-2	22000 5/6			2-2045	2E UK			24
46	J Long	07.09.2015	10788	V	DVB-S/MPEG-2	22000 5/6			2-2046	2E UK			33
47	William-1	19.02.2019	10803	H	DVB-S/MPEG-2	22000 5/6			2-2047	2E UK			53
48	William-1	17.02.2016	10818	V	DVB-S/MPEG-2	22000 5/6			2-2048	2E UK			69
49	Björn	10.06.2017	10832	H	DVB-S2/8PSK|MPEG-4					2E UK			77
50	Chadli_sat	31.10.2018	10847	V	DVB-S2/8PSK|MPEG-4	23000 3/4			2-2050	2E UK			78
51	William-1	27.08.2016	10862	H	DVB-S2/8PSK|MPEG-4					2E UK		BBC Olympics|left	84
52	William-1	07.03.2017	10876	V	DVB-S2/8PSK|MPEG-4					2E UK		Sky UK|package|left	85
53	Chadli_sat	02.12.2014	10891	H	DVB-S/MPEG-2	22000 5/6		VideoGuard	2-2053	2E UK			86
54	David L	26.03.2019	10906	V	DVB-S/MPEG-2	22000 5/6			2-2054	2E UK			97
55	Chadli_sat	23.04.2014	10921	H	DVB-S/MPEG-2					2E UK		Sky UK|package|left	110
56	Björn	13.12.2018	10936	V	DVB-S/MPEG-2	22000 5/6		VideoGuard	2-2042	2E UK			111
57	Björn	07.01.2020	10964	H	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 5/6			2-2057	2G UK		Paramount|Paramount +1|on|Spike UK|Spike UK +1|left	120
59	Butacas	01.06.2019	10994	H	DVB-S/MPEG-2	22000 5/6			2-2036	2G UK			131
61	William-1	19.02.2019	11023	H	DVB-S2/8PSK|MPEG-4	23000 3/4			2-2061	2G UK		BBC Scotland HD|on	143
62	Hendrik	21.01.2019	11038	V	DVB-S/MPEG-2	22000 5/6		VideoGuard	2-2062	2G Europe			150
	KooLy	31.03.2019	11038	V	DVB-S2/8PSK	3333 3/4	MX1 feed			2E MiddleEast			151
	KooLy	07.02.2019	11045	H	DVB-S2/32APSK|ACM	17138 3/4	Data			2E MiddleEast			152
63	Satmaat	15.09.2016	11053	H	DVB-S2/8PSK|MPEG-4	23000 3/4		VideoGuard	2-2063	2G UK			153
	KooLy	18.11.2019	11060	H	DVB-S2|ACM	6855 Auto	Data			2E MiddleEast			157
64	Chadli_sat	09.03.2019	11068	V	DVB-S2/8PSK|MPEG-4	23000 3/4		VideoGuard	2-2064	2G UK			158
	KooLy	23.02.2019	11071	V	DVB-S2/QPSK|ACM	2095 2/3	Data			2E MiddleEast			163
65	Björn	02.02.2020	11082	H	DVB-S/MPEG-2	22000 5/6			2-2065	2G Europe		Showcase|left	164
708	Matie Yendu	26.09.2018	11095	V	DVB-S2/8PSK|MPEG-4	30000 5/6				2G West Africa			175
66	Satmaat	13.09.2016	11097	V	DVB-S2/8PSK|MPEG-4	23000 3/4		VideoGuard	2-2066	2G UK			194
67	William-1|Hendrik|Björn|Tururu	14.08.2019	11112	H	DVB-S/MPEG-2	22000 5/6			2-2067	2G Europe			199
68	D.Shimoni	17.06.2015	11127	V	DVB-S/QPSK	22000 5/6			2-2068	2G UK			217
	KooLy	14.03.2019	11131	H	DVB-S2X/8PSK|ACM	8425 25/36	Data			2E MiddleEast			220
	KooLy	14.03.2019	11139	H	DVB-S2/8PSK|ACM	5202 2/3	Data			2E MiddleEast			221
69	Hendrik	02.09.2019	11141	H	DVB-S/MPEG-2	22000 5/6		VideoGuard	2-2069	2G Europe			222
	KooLy	18.11.2019	11158	H	DVB-S2/QPSK|ACM	3641 1/4	Data			2E MiddleEast			224
71	Hendrik	12.03.2020	11171	H	DVB-S/MPEG-2|DVB-S/MPEG-4	22000 5/6		VideoGuard	2-2071	2G Europe		Smithsonian HD|left	225
	KooLy	07.02.2019	11177	H	DVB-S2X/8PSK|ACM/VCM	3240 23/36	Data			2E MiddleEast			228
	KooLy	14.03.2019	11180	H	DVB-S2X/8PSK|ACM	3240 23/36	Data			2E MiddleEast			229
	KooLy	07.02.2019	11183	H	DVB-S2X/8PSK|ACM/VCM	2865 25/36	Data			2E MiddleEast			230
	KooLy	31.03.2019	11187	H	DVB-S2X/8PSK|ACM	2865 25/36	Data			2E MiddleEast			231
105	Hendrik	21.02.2019	11224	H	DVB-S/MPEG-2					2G Europe		Sky UK|package	232
106	Hendrik|Satmaat	11.02.2019	11225	V	DVB-S2/8PSK|MPEG-4	23000 2/3			2-2106	2G Europe			233
107	Hendrik	09.01.2020	11264	H	DVB-S/MPEG-2	27500 2/3		VideoGuard	2-2107	2G Europe		BoXmas|left	238
108	Hendrik	09.04.2020	11265	V	DVB-S/MPEG-2	27500 2/3		VideoGuard	2-2108	2G Europe		Zee TV UK|on	244
109	William-1	29.02.2020	11306	H	DVB-S/MPEG-2	27500 5/6		VideoGuard	2-2109	2F UK			253
110	Björn	07.01.2020	11307	V	DVB-S/MPEG-2	27500 5/6			2-2110	2F UK		Sony Movies Classic|Sony Movies Classic +1|on|Sony Christmas|Sony Xmas +1|left	254
111	Björn	22.01.2020	11344	H	DVB-S/MPEG-2	27500 5/6		VideoGuard	2-2111	2F UK			272
112	Björn	29.09.2019	11344	V	DVB-S/MPEG-2	27500 5/6		VideoGuard	2-2112	2F UK		YourTV|left	280
113	Tururu	11.07.2019	11386	H	DVB-S2/QPSK|MPEG-4	29500 8/9		VideoGuard	2-2113	2E UK		PPV UK|on|BT Sport Box|Office HD|left	291
