Freq	Pol	Beam	SID	Type	Name	Lang	FTA
10762	H	E16A Europe B	902	TV	Top News	[alb]	Yes
10762	H	E16A Europe B	1300	TV	BCTV Europe	[alb]	Yes
10804	H	E16A Africa	101	TV	Vision 4	[fre]	Yes
10804	H	E16A Africa	102	TV	2S TV	[fre]	Yes
10804	H	E16A Africa	103	TV	Alwilayah TV Hausa	[hau]	Yes
10804	H	E16A Africa	104	TV	CRTV	[fre]	Yes
10804	H	E16A Africa	105	TV	Hadi TV 5	[hau]	Yes
10804	H	E16A Africa	107	TV	Emirem TV (Eglise Missionnaire du Réveil Mondial)	[fre]	Yes
10804	H	E16A Africa	108	TV	CRTV News	[fre]	Yes
10804	H	E16A Africa	111	TV	Canal 2 English	[eng]	Yes
10804	H	E16A Africa	112	TV	Wisal Hausa TV	[hau]	Yes
10804	H	E16A Africa	113	TV	Label TV	[fre]	Yes
10804	H	E16A Africa	114	TV	Christ Live	[fre]	Yes
10804	H	E16A Africa	115	TV	RTB TV	[fre]	Yes
10804	H	E16A Africa	117	TV	Vision 4 RCA	[fre]	Yes
10804	H	E16A Africa	121	TV	LMTV (Lumiere du Monde TV)	[fre]	Yes
10804	H	E16A Africa	131	TV	Arewa24	[hau]	Yes
10804	H	E16A Africa	132	TV	Burkina Info TV	[fre]	Yes
10804	H	E16A Africa	201	TV	ORTB TV Benin	[fre]	Yes
10804	H	E16A Africa	204	TV	Golfe TV International	[fre]	Yes
10804	H	E16A Africa	205	TV	France 24 Français	[fre]	Yes
10804	H	E16A Africa	206	TV	Asonga Telévision	[spa]	Yes
10804	H	E16A Africa	343	TV	Equinoxe TV	[fre]	Yes
10804	H	E16A Africa	345	TV	Canal 2 International	[fre]	Yes
10804	H	E16A Africa	346	TV	Sweet Radio Vision	[fre]	Yes
10804	H	E16A Africa	361	TV	ImpactTV	[fre]	Yes
10804	H	E16A Africa	371	TV	Boom TV	[fre]	Yes
10804	H	E16A Africa	372	TV	STV	[fre]	Yes
10804	H	E16A Africa	470	TV	Amen TV Congo-Kinshasa	[fre]	Yes
10804	H	E16A Africa	482	TV	Power TV Benin	[fre]	Yes
10804	H	E16A Africa	502	TV	Canal 2 Movies	[fre]	Yes
10804	H	E16A Africa	505	TV	UbizNews	[fre]	Yes
10804	H	E16A Africa	601	TV	New Africa TV Hausa	[hau]	Yes
10804	H	E16A Africa	620	TV	Stad'Afric	[fre]	Yes
10804	H	E16A Africa	640	TV	Voxafrica Afrique	[fre]	Yes
10804	H	E16A Africa	650	TV	Eden TV	[fre]	Yes
10804	H	E16A Africa	670	TV	TVC Benin	[fre]	Yes
10804	H	E16A Europe B	2000	TV	Euronews Albania HD	[alb]	Yes
10928	H	E16A Europe B	1102	TV	Wness TV	[bul]	Yes
11002	H	E16A Africa	1	TV	Afrique Média	[fre]	Yes
