No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10762	H	30000	3/5	A2	E16A Europe B	3	2	0	0	5
	10804	H	30000	3/4	K5	E16A Africa	9	35	0	0	44
	10804	H	29950	2/3	A5	E16A Europe B	3	1	0	0	4
	10845	H	30000	3/5	A7	E16A Europe B	0	1	0	0	1
	10972	V	27500	3/5	B2	E16A Europe B	2	0	0	0	2
	11002	H	8332	5/6	G1	E16A Africa	0	10	0	0	10
	11024	H	3333	5/6	G1	E16A Africa	1	0	0	0	1
	11040	H	4166	5/6	G1	E16A Africa	0	5	0	0	5
	11055	V	27500	4/5	B4	E16A Europe B	0	1	0	0	1
	11069	H	354	2/3	B3	E16A Europe A	2	0	0	0	2
	11070	H	274|376	1/2|3/5	B3	E16A Europe A	3	0	0	0	3
	11071	H	274	1/2	B3	E16A Europe A	1	0	0	0	1
	11131	V	16593	2/3	B6	E16A Europe B	2	7	0	0	9
	11139	H	30000	3/5	B5	E16A Europe B	0	2	0	0	2
	11151	V	14375	3/5	B6	E16A Europe B	0	16	0	0	16
	11178	V	30000	3/5	B6	E16A Europe B	2	0	0	0	2
	11221	H	30000	3/5	C1	E16A Europe A	1	0	0	0	1
	11231	V	42000	4/5	C2	E16A Europe A	1	0	0	0	1
	11262	H	30000	2/3	C3	E16A Europe B	11	5	0	0	16
	11303	H	30000	2/3	C5	E16A Europe A	8	12	0	0	20
	11345	H	30000	3/4	C7	E16A Europe A	3	6	0	0	9
	11356	H	45000	3/5		E16A Africa	1	7	0	0	8
	11426	V	27500	2/3	C10	E16A Europe B	1	3	0	0	4
	11471	V	30000	5/6	D2	E16A Europe B	0	2	0	0	2
	11512	V	29950	2/3	D4	E16A Europe B	7	7	0	0	14
	11595	H	30000	3/4	D7	E16A Europe B	8	2	0	0	10
	11595	V	30000	5/6	D8	E16A Europe B	0	3	0	0	3
	11637	H	30000	5/6	D9	E16A Europe B	0	1	0	0	1
	11637	V	30000	2/3	D10	E16A Europe A	9	8	0	0	17
	11678	H	30000	3/4	D11	E16A Europe B	0	4	0	0	4
	12543	V	19970	3/4	F2	E16A Europe B	2	8	0	0	10
	12562	H	30000	2/3	H2	E16A Africa	3	37	0	0	40
	12604	H	30000	2/3	H3	E16A Africa	9	1	0	0	10
	12605	H	30000	3/4	F5	E16A Europe B	0	1	0	0	1
	12639	H	10833	3/5	F5	E16A Europe B	5	6	0	0	11
	12643	V	27500	2/3	F4	E16A Europe B	2	8	0	0	10
	12654	H	11111	2/3	F3	E16A Europe B	0	3	0	0	3
	12660	H	2220	5/6	F5	E16A Europe B	0	2	0	0	2
	12694	H	2222	5/6	F5	E16A Europe B	0	1	0	0	1
	12699	H	9880	2/3	F5	E16A Europe B	1	5	0	0	6
	12717	H	7500	3/4	F5	E16A Europe B	3	4	0	0	7
