No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10714	H	22000	5/6	41	2E UK	0	9	0	0	9
	10758	V	22000	5/6	44	2E UK	0	11	0	0	11
	10773	H	22000	5/6	45	2E UK	0	8	0	0	8
	10788	V	22000	5/6	46	2E UK	12	7	0	0	19
	10803	H	22000	5/6	47	2E UK	8	7	0	0	15
	10818	V	22000	5/6	48	2E UK	0	7	0	0	7
	10847	V	23000	3/4	50	2E UK	0	5	0	0	5
	10891	H	22000	5/6	53	2E UK	0	10	0	0	10
	10906	V	22000	5/6	54	2E UK	1	11	0	0	12
	10936	V	22000	5/6	56	2E UK	0	8	0	0	8
	10964	H	22000	5/6	57	2G UK	0	10	0	0	10
	10994	H	22000	5/6	59	2G UK	0	11	0	0	11
	11023	H	23000	3/4	61	2G UK	0	6	0	0	6
	11053	H	23000	3/4	63	2G UK	0	3	0	0	3
	11068	V	23000	3/4	64	2G UK	0	4	0	0	4
	11082	H	22000	5/6	65	2G Europe	0	10	0	0	10
	11095	V	30000	5/6	708	2G West Africa	1	17	0	0	18
	11097	V	23000	3/4	66	2G UK	0	4	0	0	4
	11112	H	22000	5/6	67	2G Europe	0	17	0	0	17
	11127	V	22000	5/6	68	2G UK	0	2	0	0	2
	11141	H	22000	5/6	69	2G Europe	0	1	0	0	1
	11171	H	22000	5/6	71	2G Europe	1	1	0	0	2
	11225	V	23000	2/3	106	2G Europe	0	4	0	0	4
	11264	H	27500	2/3	107	2G Europe	0	5	0	0	5
	11265	V	27500	2/3	108	2G Europe	1	7	0	0	8
	11307	V	27500	5/6	110	2F UK	0	17	0	0	17
	11344	H	27500	5/6	111	2F UK	0	7	0	0	7
	11344	V	27500	5/6	112	2F UK	0	10	0	0	10
	11426	H	27500	2/3	115	2E UK	1	1	0	0	2
	11426	V	29500	8/9	116	2E UK	0	4	0	0	4
	11464	H	22000	5/6	89	2G Europe	0	10	0	0	10
	11479	V	22000	5/6	90	2G Europe	0	8	0	0	8
	11494	H	22000	5/6	91	2G Europe	0	4	0	0	4
	11509	V	23000	2/3	92	2G Europe	0	2	0	0	2
	11538	V	22000	5/6	94	2G Europe	3	13	0	0	16
	11553	H	22000	5/6	95	2G Europe	17	15	0	0	32
	11568	V	22000	5/6	96	2G Europe	0	14	0	0	14
	11582	H	22000	5/6	97	2G Europe	12	6	0	0	18
	11595	V	30000	5/6	520	2F West Africa	2	24	0	0	26
	11597	V	22000	5/6	98	2G Europe	0	14	0	0	14
	11635	V	30000	5/6	522	2F West Africa	0	27	0	0	27
	11641	H	23000	2/3	101	2G Europe	0	1	0	0	1
	11656	V	22000	5/6	102	2G Europe	0	3	0	0	3
	11672	H	23000	2/3	103	2G Europe	0	5	0	0	5
	11675	H	30000	5/6	523	2F West Africa	0	8	0	0	8
	11686	V	23000	2/3	104	2G Europe	0	3	0	0	3
	11836	H	27500	5/6	7	2E Europe	0	4	0	0	4
	11914	H	27500	5/6	11	2E Europe	4	0	0	0	4
	11934	V	27500	5/6	12	2E Europe	1	2	0	0	3
	11973	V	31000	9/10	14	2E Europe	0	1	0	0	1
	12070	H	27500	5/6	19	2E Europe	1	3	0	0	4
	12129	V	27500	5/6	22	2F UK	0	6	0	0	6
	12148	H	27500	5/6	23	2F Europe	0	2	0	0	2
	12168	V	27500	2/3	24	2F UK	0	1	0	0	1
	12207	V	27500	5/6	26	2F Europe	0	3	0	0	3
	12246	V	27500	2/3	28	2F Europe	1	0	0	0	1
	12324	V	27500	2/3	32	2F Europe	0	1	0	0	1
	12382	H	27500	5/6	35	2F UK	0	10	0	0	10
	12441	V	29500	8/9	38	2E Europe	0	2	0	0	2
	12525	V	30000	5/6	526	2F West Africa	15	23	0	0	38
	12565	H	30000	2/3	527	2F West Africa	1	41	0	0	42
	12605	V	30000	Auto	530	2F West Africa	0	14	0	0	14
