No	Freq	Pol	Beam	SID	Name	Lang
	10719	V	HB9 Europe	4406	Cinemax HD Eastern Europe	[eng][pol]
	10719	V	HB9 Europe	4407	Nat Geo Wild Europe HD	[eng][pol]
	10719	V	HB9 Europe	4408	TVP HD	[pol][qaa]
1	10719	V	HB9 Europe	4409	TVP Info HD	[pol]
	10719	V	HB9 Europe	4411	TVP 3	[pol]
	10719	V	HB9 Europe	4412	Active Family	[pol]
	10719	V	HB9 Europe	4413	CANAL+ 4K ULTRA HD	[pol][qaa]
	10719	V	HB9 Europe	4456	Cinemax HD	[eng][pol]
	10719	V	HB9 Europe	4457	National Geographic Wild HD	[eng][pol]
	10719	V	HB9 Europe	4461	TVP 3	[pol]
	10719	V	HB9 Europe	4463	Canal+ 4K Ultra HD Poland	[pol][qaa]
	10719	V	HB9 Europe	4464	CANAL+ 4K ULTRA HD	[pol][qaa]
	10719	V	HB9 Europe	4465	CANAL+ 4K ULTRA HD	[pol][qaa]
	10719	V	HB9 Europe	4473	Canal+ 4K Ultra HD Poland	[pol][qaa]
	10719	V	HB9 Europe	4474	Canal+ 4K Ultra HD Poland	[pol][qaa]
	10719	V	HB9 Europe	4481	STREFA ABONENTA nc+	
	10719	V	HB9 Europe	4495	DATA	
	10727	H	HB8 Europe	4601	4K Universe	[aac][eng]
	10727	H	HB8 Europe	4602	NASA 4K	[aac][eng]
	10727	H	HB8 Europe	4603	TravelXP 4K	[aac]
	10727	H	HB8 Europe	4604	Museum 4K	[aac][eng][fra]
	10758	V	HB9 Europe	17017	wPolsce.pl	[pol]
	10758	V	HB9 Europe	17019	Stopklatka TV	[pol]
2	10758	V	HB9 Europe	17023	Stars.TV	[pol]
	10758	V	HB9 Europe	17024	Da Vinci Learning	[eng]
	10758	V	HB9 Europe	17028	Polsat Games	[pol]
	10758	V	HB9 Europe	17029	Polsat Games	
	10758	V	HB9 Europe	17031	Metro (Poland)	[pol]
	10758	V	HB9 Europe	17032	TVP Rozrywka	
	10758	V	HB9 Europe	17033	TV Republika	[pol]
	10758	V	HB9 Europe	17034	Filmbox Arthouse	[pol]
	10758	V	HB9 Europe	17035	Test 1	
3	10758	V	HB9 Europe	17037	4 Fun TV	[pol][qaa]
4	10758	V	HB9 Europe	17038	4FUN Gold Hits	[pol][qaa]
5	10758	V	HB9 Europe	17039	4FUN Dance	[pol][qaa]
	10758	V	HB9 Europe	17040	Epic Drama HD	[pol]
	10758	V	HB9 Europe	17041	Zoom TV (Poland)	[pol]
	10758	V	HB9 Europe	17043	Polsat Music HD	[pol]
	10758	V	HB9 Europe	17044	Polsat Music HD	
	10758	V	HB9 Europe	17045	Boomerang HD	[eng][pol]
	10758	V	HB9 Europe	17048	VOX Music TV	
	10758	V	HB9 Europe	17049	EskaRock TV	[pol]
	10758	V	HB9 Europe	17050	Polo TV	[pol]
6	10758	V	HB9 Europe	17051	ESKA TV Extra	[pol]
	10758	V	HB9 Europe	17052	Eska TV	[pol]
	10758	V	HB9 Europe	17053	Fokus TV	[aux][pol]
	10758	V	HB9 Europe	17054	Nowa TV	[pol]
7	10775	H	HB9 Europe	1506	IRINN - Iranian News Network	[far]
8	10775	H	HB9 Europe	1508	IRIB Quran	[far]
9	10775	H	HB9 Europe	1514	iFilm	
10	10775	H	HB9 Europe	1520	Irib Nasim	[far]
11	10775	H	HB9 Europe	1521	IRIB TV 1	[far]
12	10775	H	HB9 Europe	1522	Jaam-e-Jaam TV 2	[aac][far]
13	10775	H	HB9 Europe	1523	IRIB TV 3	[far]
14	10775	H	HB9 Europe	1526	Sahar TV Francophone	[fra]
15	10775	H	HB9 Europe	1527	Sahar TV Azari	[far]
16	10775	H	HB9 Europe	1528	Sahar Universal Network 2	[urd]
17	10775	H	HB9 Europe	1529	Sahar TV Kurdish	[far]
18	10775	H	HB9 Europe	1530	Al Kawthar	[far]
19	10775	H	HB9 Europe	1531	Press TV HD	
20	10775	H	HB9 Europe	1532	Hispan TV	[far]
21	10775	H	HB9 Europe	1533	iFilm English	[eng][far]
	10775	H	HB9 Europe	1551	RADIO IRAN	[far]
	10775	H	HB9 Europe	1552	RADIO PAYAM	[far]
	10775	H	HB9 Europe	1553	RADIO JAVAN	[far]
	10775	H	HB9 Europe	1554	RADIO MAAREF	[far]
	10775	H	HB9 Europe	1555	RADIO QURAN	[far]
	10775	H	HB9 Europe	1556	RADIO FARHANG	[far]
	10775	H	HB9 Europe	1557	RADIO SALAMAT	[far]
	10775	H	HB9 Europe	1558	RADIO VARZESH	[far]
	10775	H	HB9 Europe	1559	RADIO EGHTESAD	[far]
	10775	H	HB9 Europe	1560	RADIO TEHRAN	[far]
	10775	H	HB9 Europe	1561	RADIO AVA	[far]
	10775	H	HB9 Europe	1561	RADIO AVA	[far]
	10775	H	HB9 Europe	1562	RADIO NAMAYESH	[far]
	10775	H	HB9 Europe	1563	RADIO SABA	[far]
	10775	H	HB9 Europe	1564	IRIB 07 WORLD SERVICE	[far]
	10775	H	HB9 Europe	1566	ARABIC RADIO WORLD SERVICE	[ara]
	10775	H	HB9 Europe	1566	ARABIC RADIO WORLD SERVICE	[ara]
	10775	H	HB9 Europe	1569	RADIO TALAVAT	[far]
	10775	H	HB9 Europe	1570	RADIO GOFTOGOO	[far]
	10775	H	HB9 Europe	1581	IRIB 01 WORLD SERVICE	
	10775	H	HB9 Europe	1582	IRIB 02 WORLD SERVICE	
	10775	H	HB9 Europe	1584	IRIB 04 WORLD SERVICE	
	10775	H	HB9 Europe	1585	IRIB 05 WORLD SERVICE	[far]
	10775	H	HB9 Europe	1585	IRIB 05 WORLD SERVICE	
	10775	H	HB9 Europe	1586	IRIB 06 WORLD SERVICE	
	10796	V	HB9 Europe	15702	Discovery Life HD Poland	[eng][pol]
	10796	V	HB9 Europe	15703	TVN 24 Bizness HD	[pol]
22	10796	V	HB9 Europe	15704	TVS - TV Silesia	[pol]
	10796	V	HB9 Europe	15705	TVP Kultura	[pol]
	10796	V	HB9 Europe	15706	WP	[pol]
	10796	V	HB9 Europe	15707	CBS Reality	[eng][pol]
	10796	V	HB9 Europe	15708	TVP Seriale	[pol]
	10796	V	HB9 Europe	15710	National Geographic Polska	[eng][pol]
	10796	V	HB9 Europe	15711	TVP ABC	[pol]
	10796	V	HB9 Europe	15712	Puls 2 HD	[pol]
	10796	V	HB9 Europe	15713	Kino TV HD	[pol]
	10796	V	HB9 Europe	15714	Filmbox Family	[cze][hun][pol][vo]
	10796	V	HB9 Europe	15717	Filmbox Action	[pol]
	10796	V	HB9 Europe	15718	TV Puls HD	[pol]
	10796	V	HB9 Europe	15719	TVP Historia	[des][pol]
