Freq	Pol	SR	Beam	Type	Name	Country	Category	Packages	Encryption	SID	VPID	Audio	PMT	PCR	TXT	Last updated	FTA	Row
10723.00	V	30000 2/3	Hungary	TV	Magyar TV 2	Węgry	Ogólne	T-Home	Conax	4	164	162[hun]|163[mul]	166	164	48	2017-02-14	No	35001001
10723.00	V	30000 2/3	Hungary	TV	Spektrum Home	Węgry	Dokumenty	T-Home	Conax	5	159	157[hun]	161	159		2017-02-14	No	35001003
10723.00	V	30000 2/3	Hungary	TV	TV Paprika	Węgry	Gotowanie	T-Home	Conax	6	154	152[hun]	156	154		2017-02-14	No	35001005
10723.00	V	30000 2/3	Hungary	TV	Private TV	nieokreślony	Porno	T-Home	Conax	9	139	137[aac]	141	139		2017-02-14	No	35001007
10723.00	V	30000 2/3	Hungary	TV	MTV Hungary	Węgry	Muzyka	T-Home	Conax	10	134	132[hun]	136	134		2017-02-14	No	35001009
10723.00	V	30000 2/3	Hungary	TV	Magyar ATV	Węgry	Ogólne	T-Home	Conax	12	124	122[hun]	126	124	125	2019-07-03	No	35001011
10723.00	V	30000 2/3	Hungary	TV	RTL 2 Hungary	Węgry	Rozrywka	T-Home	Conax	17	99	97[hun]|3102[eng]	101	99		2018-04-16	No	35001013
10723.00	V	30000 2/3	Hungary	TV	RTL Gold	Węgry	Seriale	T-Home	Conax	18	94	92[hun]	96	94		2017-07-05	No	35001015
10723.00	V	30000 2/3	Hungary	TV	Cool TV	Węgry	Komedia	T-Home	Conax	19	89	87[hun]|802[eng]	91	89		2018-04-16	No	35001017
10723.00	V	30000 2/3	Hungary	TV	RTL+	Węgry	Ogólne	T-Home	Conax	20	84	82[hun]|602[eng]	86	84		2018-04-16	No	35001019
10723.00	V	30000 2/3	Hungary	TV	Sorozat +	Węgry	Różne	T-Home	Conax	21	79	77[hun]|702[eng]	81	79		2018-04-16	No	35001021
10723.00	V	30000 2/3	Hungary	TV	Film +	Węgry	Filmy	T-Home	Conax	22	74	72[hun]|902[eng]	76	74		2018-04-16	No	35001023
10723.00	V	30000 2/3	Hungary	TV	Fishing & Hunting	Węgry	Dokumenty	T-Home	Conax	23	69	67[hun]	71	69		2018-01-09	No	35001025
10723.00	V	30000 2/3	Hungary	TV	Life Network	nieokreślony	Ogólne	T-Home	Conax	28	44	42[hun]|140[eng]	46	44		2017-07-09	No	35001027
10723.00	V	30000 2/3	Hungary	TV	Ozone Network	Węgry	Rozrywka	T-Home	Conax	29	39	37[hun]|143[eng]	41	39		2017-07-09	No	35001029
10723.00	V	30000 2/3	Hungary	TV	Hir TV	Węgry	Informacje	T-Home	Conax	30	34	32[hun]	36	34	35	2017-02-14	No	35001031
