Freq	Pol	SR	Beam	Type	Name	Country	Category	Packages	Encryption	SID	VPID	Audio	PMT	PCR	TXT	Last updated	FTA	Row
10714.25	H	22000 2/3	Astra 1M	TV	Mainfranken HD	Germany	Regional	BMT	Clear	5900	2010	2012[ger]	201	2010		2019-07-02	Yes	35001001
10714.25	H	22000 2/3	Astra 1M	TV	Franken Fernsehen	Germany	General	BMT	Clear	5901	2020	2022[ger]	202	2020		2018-08-12	Yes	35001003
10714.25	H	22000 2/3	Astra 1M	TV	TVA-OTV	Germany	Regional	BMT	Clear	5902	2030	2032[ger]	203	2030		2018-08-12	Yes	35001005
10714.25	H	22000 2/3	Astra 1M	TV	TV Oberfranken	Germany	Regional	BMT	Clear	5903	2040	2041[ger]	204	2040		2018-08-12	Yes	35001007
10714.25	H	22000 2/3	Astra 1M	TV	Niederbayern TV	Germany	Regional	BMT	Clear	5904	2050	2052[ger]	205	2050		2019-07-02	Yes	35001009
10714.25	H	22000 2/3	Astra 1M	TV	Oberpfalz TV HD	Germany	Regional	BMT	Clear	5905	2060	2062[ger]	206	2060		2018-08-12	Yes	35001011
10729.00	V	22000 2/3	Astra 1KR	TV	Alquiler HD	Spain	Pay per View	Movistar+	Nagravision 3	30804	164	104[esp]|105[qaa]	1028	164		2017-04-22	No	39001001
10729.00	V	22000 2/3	Astra 1KR	TV	Movistar LaLiga 2 HD	Spain	Sport	Movistar+	Nagravision 3	30805	165	110[esp]|111[vo]	1029	165		2019-09-01	No	39001003
10729.00	V	22000 2/3	Astra 1KR	TV	AXN Spain HD	Spain	Series	Movistar+	Nagravision 3	30806	160	80[esp]|81[vo]	1030	160		2017-04-22	No	39001005
10729.00	V	22000 2/3	Astra 1KR	TV	Movistar Comedia HD	Spain	Movies	Movistar+	Nagravision 3	30807	161	86[esp]|87[qaa]	1031	161		2017-04-22	No	39001007
10729.00	V	22000 2/3	Astra 1KR	TV	LaLiga TV Bar	Spain	Sport	Movistar+	Nagravision 3	30809	162	92[esp]|93[qaa]|94|95	1033	162		2018-08-12	No	39001009
