No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	11643	H	5500	3/4	9	Europe	68	0	0	0	68
	11679	V	1024	3/4	12	Europe	24	0	0	0	24
	11720	H	30000	3/4	201	Europe	0	54	0	0	54
	11739	V	29900	2/3	202	Europe	5	25	0	1	31
	11778	V	27500	2/3	204	Europe	0	2	0	0	2
	11798	H	30000	3/4	205	Europe	0	40	0	0	40
	11817	V	30000	3/4	206	Europe	0	43	0	0	43
	11856	V	29900	2/3	208	Europe	0	17	0	0	17
	11876	H	29900	3/4	209	Europe	0	15	0	0	15
	11914	H	30000	3/4	211	Europe	5	29	0	0	34
	11934	V	27500	3/4	212	Europe	0	31	0	0	31
	11973	V	29900	2/3	214	Europe	4	18	0	0	22
	12032	H	27500	9/10	217	Europe	0	3	0	1	4
	12070	H	27500	3/4	219	Europe	0	10	0	10	20
	12090	V	29900	2/3	220	Europe	0	24	0	0	24
	12129	V	29900	2/3	222	Europe	4	27	0	0	31
	12148	H	27500	5/6	223	Europe	0	0	0	1	1
	12168	V	27500	3/4	224	Europe	2	8	0	2	12
	12188	H	29900	2/3	225	Europe	12	21	0	0	33
	12304	H	27500	5/6	231	Europe	0	0	0	1	1
	12344	H	29900	2/3	233	Europe	23	12	0	0	35
	12363	V	29500	3/4	234	Europe	29	9	0	2	40
	12382	H	27500	3/4	235	Europe	0	0	0	1	1
	12402	V	30000	3/4	36	Europe	0	47	0	0	47
	12517	V	16871	3/4	14	Europe	0	7	0	1	8
	12548	V	1830	3/4	16	Europe	6	0	0	0	6
	12640	V	941	1/2	20	Europe	2	0	0	0	2
	12642	V	477	1/2	20	Europe	1	0	0	0	1
	12643	V	555	3/4	20	Europe	4	0	0	0	4
	12647	V	285	7/8	22	Europe	1	0	0	0	1
