No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10716	H	24500	7/8	A02	K1 Nordic	0	2	0	2	4
	10747	H	25000	3/4	A04	K1 Nordic	0	8	0	0	8
	10747	V	25000	3/4	A03	K1 Nordic	28	18	0	0	46
	10778	H	25000	3/4	A06	K1 Nordic	0	6	0	0	6
	10778	V	25000	3/4	A05	K1 Nordic	0	14	0	0	14
	10809	H	25000	3/4	A08	K1 Nordic	0	6	0	0	6
	10809	V	25000	3/4	A07	K1 Nordic	0	5	0	0	5
	10841	H	25000	3/4	A10	K1 Nordic	0	10	0	0	10
	10872	H	25000	3/4	A12	K1 Nordic	0	9	0	0	9
	10872	V	25000	3/4	A11	K1 Nordic	0	6	0	0	6
	10903	H	25000	3/4	A14	K1 Nordic	0	7	0	0	7
	10903	V	25000	3/4	A13	K1 Nordic	0	2	0	0	2
	10934	H	25000	3/4	A16	K1 Nordic	0	7	0	0	7
	10934	V	25000	3/4	A15	K1 Nordic	0	9	0	2	11
	11216	V	25000	3/4	C01	Europe	0	19	0	0	19
	11229	H	25000	3/4	C02	Europe	0	10	0	3	13
	11247	V	24500	7/8	C03	Europe	0	9	0	0	9
	11261	H	25000	3/4	C04	Europe	0	11	0	0	11
	11278	V	25000	3/4	C05	Europe	0	7	0	0	7
	11293	H	25000	3/4	C06	Europe	0	9	0	0	9
	11309	V	25000	3/4	C07	Europe	0	2	0	0	2
	11325	H	25000	3/4	C08	Europe	0	9	0	0	9
	11341	V	25000	3/4	C09	Europe	0	16	0	0	16
	11357	H	24500	7/8	C10	Europe	0	5	0	0	5
	11372	V	25000	3/4	C11	Europe	0	5	0	0	5
	11389	H	24500	7/8	C12	Europe	8	3	0	0	11
	11403	V	25000	3/4	C13	Europe	0	10	0	0	10
	11421	H	25000	3/4	C14	Europe	0	21	0	0	21
	11727	V	28000	7/8	BSS01	K2 Europe	0	18	0	12	30
	11747	H	28000	5/6	BSS02	K2 Europe	1	10	0	0	11
	11766	V	28000	7/8	BSS03	K2 Europe	0	26	0	0	26
	11785	H	28000	7/8	C4	Europe	5	17	0	2	24
	11804	V	30000	3/4	BSS05	K2 Europe	0	32	0	0	32
	11823	H	30000	5/6	BSS06	K2 Europe	0	8	0	0	8
	11843	V	30000	3/4	BSS07	K2 Europe	0	13	0	0	13
	11862	H	28000	7/8	C8	Europe	0	15	0	3	18
	11900	H	28000	5/6	BSS10	K2 Europe	14	15	0	3	32
	11919	V	28000	7/8	BSS11	K2 Europe	0	31	0	0	31
	11938	H	28000	7/8	C12	Europe	0	23	0	0	23
	11958	V	28000	7/8	BSS13	K2 Europe	0	30	0	0	30
	11977	H	30000	3/4	14	K2 Europe	0	12	0	0	12
	11996	V	28000	7/8	15	K2 Europe	0	25	0	0	25
	12015	H	30000	3/4	C16	Europe	0	15	0	0	15
	12034	V	30000	3/4	17	K2 Europe	0	17	0	0	17
	12054	H	30000	3/4	18	K2 Europe	0	12	0	5	17
	12073	V	28000	7/8	19	K2 Europe	0	30	0	0	30
	12092	H	28000	7/8	20	K2 Europe	0	14	0	0	14
	12111	V	30000	2/3	21	K2 Europe	0	5	0	0	5
	12130	H	28000	7/8	C22	Europe	0	16	0	1	17
	12149	V	28000	7/8	23	Europe	13	1	0	0	14
	12169	H	30000	3/4	24	K2 Europe	0	22	0	0	22
	12188	V	28000	7/8	C25	Europe	2	16	0	3	21
	12207	H	30000	3/4	26	Europe	0	5	0	0	5
	12226	V	27500	5/6	27	K2 Europe	0	20	0	0	20
	12245	H	30000	3/4	28	K2 Europe	0	20	0	0	20
	12265	V	28000	7/8	29	K2 Europe	0	27	0	0	27
	12284	H	30000	3/4	30	K2 Europe	0	5	0	0	5
	12303	V	27500	5/6	31	K2 Europe	0	33	0	0	33
	12360	H	30000	3/4	34	Europe	0	5	0	0	5
	12380	V	30000	3/4	35	K2 Europe	0	15	0	0	15
	12399	H	30000	2/3	36	East Europe	0	7	0	0	7
	12418	V	28000	7/8	37	Europe	1	8	0	0	9
	12437	H	30000	2/3	38	Europe	0	4	0	0	4
	12476	H	30000	2/3	40	Europe	0	3	0	0	3
	12527	H	28800	3/5	310	Spot 3	0	3	0	0	3
	12607	H	30000	3/4	311	Spot 3	12	24	0	0	36
	12643	H	30000	7/8	311	Spot 3	11	16	0	0	27
	12643	V	28800	3/4	311X	Spot 3	0	9	0	0	9
	12687	H	27500	3/4	312	Spot 3	2	14	0	0	16
	12687	V	28800	3/5	312X	Spot 3	1	6	0	0	7
	12723	H	27500	3/4	312	Spot 3	1	14	0	2	17
