Satellite	Frequence	Pol	Txp	Beam	Standard	Modulation	SR/FEC	Network, bitrate	NID	TID	Row
Eutelsat 5 West A	10963.00	H	KC7	Super	DVB-S2	16APSK	10000 2/3	31.7 Mbps	1	1	35000000
Eutelsat 5 West A	10971.00	V	KC1	Super	DVB-S2	8PSK	29950 3/4	Via Eutelsat, 65.2 Mb/s	1375	20600	39000000
Eutelsat 5 West B	11012.00	V	KC2	Transalpine	DVB-S2PLS: Root+16416	8PSK ACM/VCMStream 2	30000 3/5	19.9 Mb/s	318	2	43000000
Eutelsat 5 West B	11012.00	V	B4	Transalpine	DVB-S2PLS: Root+16416	8PSK ACM/VCMStream 11	30000 3/5	11.2 Mb/s	200	250	47000000
Eutelsat 5 West A	11014.39	H		Super	DVB-S	QPSK	2044 5/6	3 139 Kbps	65500	1	51000000
Eutelsat 5 West A	11017.00	H	KC8	Super	DVB-S	QPSK	2048 5/6	3 139 Kbps	65500	1	55000000
Eutelsat 5 West A	11054.50	V	KC3	Super	DVB-S2	8PSK	29950 3/4	Via Eutelsat, 65.2 Mb/s	1375	20500	59000000
Eutelsat 5 West A	11059.00	H	KC9	Steerable	DVB-S	QPSK	23700 3/4	32.8 Mbps	0	10900	63000000
Eutelsat 5 West B	11096.00	V	B8	Transalpine	DVB-S2	8PSK	29950 3/4	65.2 Mb/s	1375	20400	67000000
Eutelsat 5 West A	11100.42	H	KC11	Super	DVB-S	QPSK	2043 5/6	3 139 Kbps	65500	1	71000000
Eutelsat 5 West A	11115.00	H		Super	DVB-S	QPSK	2725 5/6	4 185 Kbps	65500	1	75000000
Eutelsat 5 West A	11126.00	H	KC11	Super	DVB-S2	8PSK	7118 3/4	15.5 Mbps	0	0	79000000
Eutelsat 5 West A	11136.00	H	KC11	Super	DVB-S	QPSK	1362 5/6	2 093 Kbps	0	0	83000000
Eutelsat 5 West A	11138.00	V	KC5	Super	DVB-S2	8PSK	29950 2/3	d, 58.0 Mb/s	1375	10500	87000000
Eutelsat 5 West A	11156.73	H	KC12	Super	DVB-S	QPSK	2720 5/6	4 178 kb/s	65500	1	91000000
Eutelsat 5 West A	11177.00	H	KC12	Super	DVB-S	QPSK	2043 5/6	3 139 Kbps	65500	1	95000000
Eutelsat 5 West B	11179.00	V	B12	Transalpine	DVB-S2PLS: Root+16416	8PSK ACM/VCMStream 4	30000 3/5	RAI, 19.9 Mb/s	318	4	99000000
Eutelsat 5 West B	11179.00	V	B12	Transalpine	DVB-S2PLS: Root+16416	8PSK ACM/VCMStream 5	30000 3/5	19.9 Mb/s	318	5	103000000
Eutelsat 5 West B	11179.00	V	KC6	Transalpine	DVB-S2PLS: Root+16416	8PSK ACM/VCMStream 12	30000 3/5	RAI, 5 200 kb/s	318	1	107000000
