No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	11727	V	30000	3/4	E1	Europe	15	16	0	0	31
	11747	H	30000	3/4	E2	Europe	0	22	0	0	22
	11785	H	27500	2/3	E4	Germany	0	14	0	1	15
	11804	V	27500	2/3	E5	Europe	28	10	0	1	39
	11823	H	27500	3/4	E6	Europe	6	8	0	0	14
	11843	V	27500	3/5	E7	Europe	0	12	0	0	12
	11862	H	27500	2/3	E8	Germany	0	7	0	0	7
	11881	V	27500	2/3	E9	Europe	1	12	0	0	13
	11900	H	27500	2/3	E10	Europe	3	12	0	0	15
	11919	V	27500	3/4	E11	Europe	0	3	0	0	3
	11938	H	27500	2/3	E12	Europe	0	14	0	0	14
	11958	V	27500	2/3	E13	Europe	14	12	0	0	26
	11977	H	27500	2/3	E14	Germany	0	14	0	0	14
	11996	V	27500	3/4	E15	Europe	1	9	0	0	10
	12015	H	27500	2/3	E16	Germany	0	6	0	0	6
	12034	V	27500	3/4	E17	Europe	1	12	0	0	13
	12054	H	27500	2/3	E18	Europe	0	14	0	0	14
	12073	V	30000	3/4	E19	Europe	10	27	0	0	37
	12092	H	27500	3/4	E20	Europe	0	5	0	0	5
	12111	V	31400	2/3	IT1	Italy	0	26	0	0	26
	12130	H	27500	2/3	GE1	Germany	0	11	0	0	11
	12168	H	27500	2/3	GC2	Europe	0	14	0	0	14
	12188	V	31400	2/3	IT3	Italy	0	18	4	0	22
	12207	H	27500	2/3	GC3	Europe	0	11	0	0	11
	12245	H	27500	2/3	GE4	Germany	0	6	0	0	6
	12257	V	14302	3/5	IT5	Italy	0	24	0	0	24
	12284	H	27500	2/3	GC5	Europe	0	14	0	0	14
	12322	H	27500	2/3	GE6	Germany	0	13	0	0	13
	12341	V	31400	5/6	IT7	Italy	4	29	0	17	50
	12360	H	27500	2/3	GE7	Germany	0	8	0	0	8
	12399	H	27500	2/3	GC8	Europe	2	14	0	0	16
	12437	H	27500	2/3	GE9	Germany	0	9	0	0	9
	12466	V	41940	3/4	IT10	Europe	4	32	0	4	40
	12466	V	41940	3/4	IT10	Italy	6	10	0	1	17
	12476	H	27500	2/3	GC10	Europe	0	12	0	0	12
