Satellite	Frequence	Pol	Txp	Beam	Standard	Modulation	SR/FEC	Network, bitrate	NID	TID	Row
Astra 1M	10714.25	H	49	Astra 1M	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1049	33000000
Astra 1KR	10729.00	V	50	Astra 1KR	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1050	37000000
Astra 1M	10743.75	H	51	Astra 1M	DVB-S	QPSK	22000 5/6	33.8 Mb/s	1	1051	41000000
Astra 1M	10758.50	V	52	Astra 1M	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1052	45000000
Astra 1KR	10773.25	H	53	Astra 1KR	DVB-S2	8PSK	22000 3/4	ASTRA 1, 47.9 Mb/s	1	1053	49000000
Astra 1M	10788.00	V	54	Astra 1M	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1054	53000000
Astra 1KR	10802.75	H	55	Astra 1KR	DVB-S2	8PSK	22000 3/4	ASTRA 1, 47.9 Mb/s	1	1055	57000000
Astra 1M	10817.50	V	56	Astra 1M	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1056	61000000
Astra 1KR	10832.25	H	57	Astra 1KR	DVB-S2	8PSK	22000 2/3	42.6 Mb/s	1	1057	65000000
Astra 1M	10847.00	V	58	Astra 1M	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1058	69000000
Astra 1KR	10861.75	H	59	Astra 1KR	DVB-S2	8PSK	23500 2/3	ASTRA 1	1	1059	73000000
Astra 1M	10876.50	V	60	Astra 1M	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1060	77000000
Astra 1M	10891.25	H	61	Astra 1M	DVB-S2	8PSK	22000 2/3	42.6 Mb/s	1	1061	81000000
Astra 1KR	10906.00	V	62	Astra 1KR	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1062	85000000
Astra 1KR	10920.75	H	63	Astra 1KR	DVB-S	QPSK	22000 7/8	BetaDigital, 35.5 Mb/s	133	15	89000000
Astra 1M	10935.50	V	64	Astra 1M	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1064	93000000
Astra 1L	10964.25	H	33	Astra 1L	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1033	97000000
Astra 1L	10979.00	V	34	Astra 1L	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1034	101000000
Astra 1L	10993.75	H	35	Astra 1L	DVB-S2	8PSK	22000 5/6	ASTRA 1, 53.3 Mb/s	1	1035	105000000
Astra 1L	11008.50	V	36	Astra 1L	DVB-S2X	QPSK	22000 11/20	Dolby Labs Test Stream, 25.7 Mbps	0	0	109000000
Astra 1L	11023.25	H	37	Astra 1L	DVB-S2	8PSK	23500 3/4	ASTRA 1	1	1037	113000000
Astra 1L	11038.00	V	38	Astra 1L	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1038	117000000
Astra 1L	11052.75	H	39	Astra 1L	DVB-S2	8PSK	22000 2/3	42.6 Mb/s	1	1039	121000000
Astra 1L	11067.50	V	40	Astra 1L	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1040	125000000
Astra 1N	11082.25	H	41	Pan Europe	DVB-S2	8PSK	22000 3/4	47.9 Mb/s	1	1041	129000000
Astra 1L	11097.00	V	42	Astra 1L	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1042	133000000
Astra 1L	11111.75	H	43	Astra 1L	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1043	137000000
Astra 1KR	11126.50	V	44	Astra 1KR	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1044	141000000
Astra 1KR	11141.25	H	45	Astra 1KR	DVB-S	QPSK	22000 5/6	33.8 Mb/s	1	1045	145000000
Astra 1KR	11156.00	V	46	Astra 1KR	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1046	157000000
Astra 1KR	11170.75	H	47	Astra 1KR	DVB-S2	8PSK	22000 3/4	BetaDigital, 47.9 Mb/s	133	9	161000000
Astra 1L	11185.50	V	48	Astra 1L	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1048	165000000
Astra 1KR	11214.25	H	1	Astra 1KR	DVB-S2	8PSK	22000 2/3	42.6 Mb/s	1	1001	169000000
Astra 1KR	11229.00	V	2	Astra 1KR	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1002	173000000
Astra 1KR	11243.75	H	3	Astra 1KR	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1003	177000000
Astra 1KR	11258.50	V	4	Astra 1KR	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1004	181000000
Astra 1KR	11273.25	H	5	Astra 1KR	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1005	185000000
Astra 1L	11288.00	V	6	Astra 1L	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1006	189000000
Astra 1L	11302.75	H	7	Astra 1L	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1007	193000000
Astra 1KR	11317.50	V	8	Astra 1KR	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1008	197000000
Astra 1KR	11332.25	H	9	Astra 1KR	DVB-S2	8PSK	22000 3/4	ESS, 47.9 Mbps	4369	5	201000000
Astra 1KR	11347.00	V	10	Astra 1KR	DVB-S2	8PSK	22000 2/3	42.6 Mb/s	1	1010	205000000
Astra 1KR	11361.75	H	11	Astra 1KR	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1011	209000000
Astra 1L	11376.50	V	12	Astra 1L	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1012	213000000
Astra 1KR	11391.25	H	13	Astra 1KR	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1013	217000000
Astra 1L	11406.00	V	14	Astra 1L	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1014	221000000
Astra 1KR	11420.75	H	15	Astra 1KR	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1015	225000000
Astra 1KR	11435.50	V	16	Astra 1KR	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1016	229000000
Astra 1KR	11464.25	H	17	Astra 1KR	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1017	233000000
Astra 1L	11479.00	V	18	Astra 1L	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mbps	1	1018	237000000
Astra 1N	11493.75	H	19	Pan Europe	DVB-S2	8PSK	22000 2/3	42.6 Mb/s	1	1019	241000000
Astra 1L	11508.50	V	20	Astra 1L	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1020	245000000
Astra 1KR	11523.25	H	21	Astra 1KR	DVB-S	QPSK	22000 5/6	33.8 Mb/s	1	1021	249000000
Astra 1L	11538.00	V	22	Astra 1L	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1022	253000000
Astra 1L	11552.75	H	23	Astra 1L	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1023	257000000
Astra 1L	11567.50	V	24	Astra 1L	DVB-S2	8PSK	23000 3/4	ASTRA 5, 50.1 Mb/s	1	1024	261000000
Astra 1N	11582.25	H	25	Pan Europe	DVB-S2	8PSK	22000 2/3	42.6 Mb/s	1	1025	265000000
Astra 1L	11597.00	V	26	Astra 1L	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mbps	1	1026	269000000
Astra 1N	11611.75	H	27	Pan Europe	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1027	273000000
Astra 1M	11626.50	V	28	Astra 1M	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1028	285000000
Astra 1M	11641.25	H	29	Astra 1M	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mbps	1	1029	289000000
Astra 1N	11656.00	V	30	Pan Europe	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1030	293000000
Astra 1L	11670.75	H	31	Astra 1L	DVB-S2	8PSK	22000 2/3	ASTRA 1, 42.6 Mb/s	1	1031	297000000
Astra 1KR	11685.50	V	32	Astra 1KR	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mb/s	1	1032	301000000
Astra 1M	11719.50	H	65	Astra 1M	DVB-S2	QPSK	27500 9/10	BetaDigital, 49.2 Mb/s	133	3	305000000
Astra 1M	11739.00	V	66	Astra 1M	DVB-S	QPSK	27500 3/4	ASTRA 1, 38.0 Mb/s	1	1066	309000000
Astra 1M	11758.50	H	67	Astra 1M	DVB-S2	QPSK	27500 9/10	BetaDigital, 49.2 Mb/s	133	2	313000000
Astra 1M	11778.00	V	68	Astra 1M	DVB-S2	QPSK	29500 9/10	ASTRA 1, 52.8 Mb/s	1	1068	317000000
Astra 1N	11797.50	H	69	Pan Europe	DVB-S2	QPSK	27500 9/10	BetaDigital, 49.2 Mb/s	133	16	321000000
Astra 1M	11817.00	V	70	Astra 1M	DVB-S2	8PSK	29700 2/3	ASTRA 1, 57.5 Mb/s	1	1070	325000000
