Satellite	Frequence	Pol	Txp	Beam	Standard	Modulation	SR/FEC	Network, bitrate	NID	TID	Row
Hot Bird 13C	10719.25	V	110	HB9 Europe	DVB-S2	8PSK	27500 3/4	61.3 Mb/s	318	11000	33000000
Hot Bird 13B	10727.00	H	111	HB8 Europe	DVB-S2	8PSK	30000 3/4	65.3 Mb/s	318	11100	37000000
Hot Bird 13C	10758.00	V	112	HB9 Europe	DVB-S2	8PSK	27500 3/4	Polsat, 61.3 Mb/s	318	11200	41000000
Hot Bird 13C	10775.00	H	113	HB9 Europe	DVB-S2	8PSK	29900 3/5	52.0 Mb/s	318	11300	45000000
Hot Bird 13C	10796.00	V	114	HB9 Europe	DVB-S2	8PSK	27500 3/4	CANAL+, 61.3 Mb/s	318	11400	49000000
Hot Bird 13E	10815.00	H	115	Europe	DVB-S	QPSK	27500 5/6	RRsat, 42.2 Mb/s	318	11500	53000000
Hot Bird 13E	10834.00	V	116	Europe	DVB-S2	8PSK	27500 3/4	CANAL+, 61.3 Mb/s	318	11600	57000000
Hot Bird 13E	10853.44	H	117	Europe	DVB-S2	8PSK	29900 2/3	Digitalb Satellite, 52.2 Mb/s	366	20700	61000000
Hot Bird 13E	10873.00	V	118	Europe	DVB-S2	8PSK	27500 3/4	SNRT, 61.3 Mb/s	176	11800	65000000
Hot Bird 13C	10892.00	H	119	HB9 Europe	DVB-S2	8PSK	27500 3/4	CANAL+, 67.4 Mb/s	318	11900	69000000
Hot Bird 13C	10911.00	V	120	HB9 Europe	DVB-S2	8PSK	27500 3/4	61.3 Mb/s	318	12000	73000000
Hot Bird 13C	10930.00	H	121	HB9 Europe	DVB-S2	8PSK	30000 2/3	EUTELSAT-RMB, 58.1 Mb/s	318	12100	77000000
Hot Bird 13B	10949.00	V	122	HB8 Europe	DVB-S	QPSK	27500 3/4	Globecast, 38.0 Mb/s	318	12200	81000000
Hot Bird 13B	10971.00	H	123	HB8 Europe	DVB-S2	8PSK	29700 2/3	EUTELSAT 13 EAST, 57.5 Mb/s	318	12300	85000000
Hot Bird 13E	10992.16	V	124	Europe	DVB-S	QPSK	27500 2/3	RAI, 33.8 Mb/s	318	12400	89000000
Hot Bird 13E	11013.00	H	125	Europe	DVB-S2	8PSK	29900 3/4	65.1 Mb/s	318	12500	93000000
Hot Bird 13E	11034.00	V	126	Europe	DVB-S	QPSK	27500 3/4	GCP/EHB13C/126, 38.0 Mb/s	318	12600	97000000
Hot Bird 13E	11054.00	H	127	Europe	DVB-S	QPSK	27500 5/6	42.2 Mb/s	318	12700	101000000
Hot Bird 13E	11075.00	V	128	Europe	DVB-S2	8PSK	30000 3/4	65.3 Mb/s	318	12800	105000000
