Freq	Pol	SR	Beam	Type	Name	Country	Category	Packages	Encryption	SID	VPID	Audio	PMT	PCR	TXT	Last updated	FTA	Row
10721.00	H	22000 3/4	Europe B	TV	BBC Persian	Wielka Brytania	Informacje	BBC World Service	FTA	1	101	102[far]	100	101		2016-03-13	Yes	35001001
10721.00	H	22000 3/4	Europe B	TV	Simaye Azadi Iran National TV	Wielka Brytania	Polityka	GLOBECAST	FTA	2	201	202[far]	200	201		2017-05-01	Yes	35001003
10721.00	H	22000 3/4	Europe B	TV	Manoto 1	Wielka Brytania	Rozrywka	Manoto	FTA	7355	3555	3675[eng]	295	3555		2017-11-26	Yes	35001005
10721.00	H	22000 3/4	Europe B	TV	Rang-A-Rang TV	Stany Zjednoczone	Polityka		FTA	8601	6011	6012[far]	6010	6011		2020-01-05	Yes	35001007
10721.00	H	22000 3/4	Europe B	R	Mihan Radio				FTA	9003		932[ara]	930	932		2020-01-01	Yes	35001009
10721.00	V	27500 3/4	Western	R	BBC English (Europe)			BBC World Service	FTA	13907		6662[eng]	6507	6662		2020-01-28	Yes	39001001
10721.00	V	27500 3/4	Western	R	BBC English Aus NZ			BBC World Service	FTA	13909		6682[eng]	6509	6682		2020-01-28	Yes	39001003
10721.00	V	27500 3/4	Western	R	BBC English News			BBC World Service	FTA	13910		6692[eng]	6510	6692		2020-01-28	Yes	39001005
10721.00	V	27500 3/4	Western	R	BBC Arabic			BBC World Service	FTA	13916		6752[ara]	6516	6752		2020-01-28	Yes	39001007
10721.00	V	27500 3/4	Western	R	BBC Afghan			BBC World Service	FTA	13943		7022[fas]	6543	7022		2020-01-28	Yes	39001009
10721.00	V	27500 3/4	Western	R	BBC Eur Feed 1			BBC World Service	FTA	13971		7302	6571	7302		2020-01-28	Yes	39001011
10721.00	V	27500 3/4	Western	R	BBC Eur Feed 2			BBC World Service	FTA	13972		7312	6572	7312		2020-01-28	Yes	39001013
10721.00	V	27500 3/4	Western	R	BBC Eur Feed 3			BBC World Service	FTA	13973		7322	6573	7322		2020-01-28	Yes	39001015
10721.00	V	27500 3/4	Western	R	BBC Eur Feed 4			BBC World Service	FTA	13974		7332	6574	7332		2020-01-28	Yes	39001017
10721.00	V	27500 3/4	Western	R	BBC Eur Feed 5			BBC World Service	FTA	13975		7342	6575	7342		2020-01-28	Yes	39001019
10721.00	V	27500 3/4	Western	R	BBC Eur Feed 6			BBC World Service	FTA	13976		7352	6576	7352		2020-01-28	Yes	39001021
10803.75	V	30000 5/6	Western	TV	TRT Avaz	Turcja	Ogólne	Digitürk	FTA	8501	2500	3500[tur]	256	2500	1120	2020-01-28	Yes	47001001
10803.75	V	30000 5/6	Western	TV	TRT 2 HD	Turcja	Ogólne	Digitürk	FTA	8502	2501	3510[tur]|3511[eng]	356	2501	1120	2020-01-28	Yes	47001003
10803.75	V	30000 5/6	Western	TV	TRT Arabi	Turcja	Ogólne	Digitürk	FTA	8503	2502	3520[ara]|3521[tur]	456	2502	1120	2020-01-28	Yes	47001005
10803.75	V	30000 5/6	Western	TV	TRT Türk	Turcja	Ogólne	Digitürk	FTA	8505	2504	3540[tur]	656	2504	1120	2020-03-12	Yes	47001007
10803.75	V	30000 5/6	Western	TV	TRT 6	Turcja	Ogólne	Digitürk	FTA	8506	2505	3550[kur]|3551[zaz]|3552[sor]|3553[tur]	756	2505	1120	2020-01-28	Yes	47001009
10803.75	V	30000 5/6	Western	TV	TRT 3 Spor	Turcja	Ogólne	Digitürk	FTA	8507	2506	3560[tur]|3561[eng]	856	2506	1120	2020-01-28	Yes	47001011
10803.75	V	30000 5/6	Western	TV	TRT Spor 2 HD	Turcja	Sport	Digitürk	FTA	8509	2508	3580[tur]	1056	2508		2020-01-28	Yes	47001013
10803.75	V	30000 5/6	Western	TV	TRT Müzik	Turcja	Muzyka	Digitürk	FTA	8510	2509	3590[tur]	1156	2509	1120	2020-01-28	Yes	47001015
10803.75	V	30000 5/6	Western	TV	TRT Çocuk	Turcja	Dzieci	Digitürk	FTA	8511	2510	3600[tur]	1256	2510	1120	2020-03-01	Yes	47001017
10803.75	V	30000 5/6	Western	TV	TRT Haber HD	Turcja	Informacje	Digitürk	FTA	8513	2512	3620[tur]	1456	2512	1120	2020-01-28	Yes	47001019
10803.75	V	30000 5/6	Western	TV	TRT Belgesel HD	Turcja	Dokumenty	Digitürk	FTA	8514	2513	3630[tur]|3631[vo]	1556	2513	1120	2020-01-28	Yes	47001021
10803.75	V	30000 5/6	Western	TV	TRT Spor HD	Turcja	Sport	Digitürk	FTA	8515	2514	3640[tur]	1656	2514		2020-01-28	Yes	47001023
10804.00	H	30000 5/6	Western	TV	MTV Live HD	Wielka Brytania	Muzyka	Digitürk	Irdeto 2	2501	2490	3490[eng]	1010	2490		2020-01-28	No	51001003
10804.00	H	30000 5/6	Western	TV	History Channel HD Turkey	Turcja	Historia	Digitürk	Irdeto 2	2504	3496	2493[vo]|3497[tur]	336	3496		2020-01-28	No	51001005
10804.00	H	30000 5/6	Western	TV	Eurosport 1 HD	Francja	Sport	Digitürk	Irdeto 2	2505	2491	3491[tur]|3591[vo]	1063	2491		2020-01-28	No	51001007
