Satellite	Frequence	Pol	Txp	Beam	Standard	Modulation	SR/FEC	Network, bitrate	NID	TID	Row
Thor 6	10716.00	H	A02	K1 Nordic	DVB-S	QPSK	24500 7/8	Telenor, 39.5 Mb/s	70	71	35000000
Thor 6	10716.00	V	A01	K1 Nordic	DVB-S	QPSK	9920 7/8	Telenor, 16.0 Mbps	70	1	39000000
Thor 6	10747.00	H	A04	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	68	43000000
Thor 6	10747.00	V	A03	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	70	47000000
Thor 6	10778.00	H	A06	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	66	51000000
Thor 6	10778.00	V	A05	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	67	55000000
Thor 6	10809.00	H	A08	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	65	59000000
Thor 6	10809.00	V	A07	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	62	63000000
Thor 6	10841.00	H	A10	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	63	67000000
Thor 6	10841.00	V	A09	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor	70	64	71000000
Thor 6	10872.00	H	A12	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	72	75000000
Thor 6	10872.00	V	A11	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	61	79000000
Thor 6	10903.00	H	A14	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	48	83000000
Thor 6	10903.00	V	A13	K1 Nordic	DVB-S2	8PSK	25000 3/4	NID86_ONID86, 55.7 Mb/s	70	69	87000000
Thor 6	10934.00	H	A16	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	14	91000000
Thor 6	10934.00	V	A15	K1 Nordic	DVB-S2	8PSK	25000 3/4	Telenor, 55.7 Mb/s	70	10	95000000
Intelsat 10-02	10987.00	V	61	Spot 1	DVB-S	QPSK	5632 3/4		1	1	99000000
