Satellite	Frequence	Pol	Txp	Beam	Standard	Modulation	SR/FEC	Network, bitrate	NID	TID	Row
Astra 2E	10714.25	H	41	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2041	33000000
Astra 2E	10729.00	V	42	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mbps	2	2056	37000000
Astra 2E	10744.00	H	43	U.K.	DVB-S	QPSK	22000 5/6	ASTRA, 33.8 Mbps	2	2057	41000000
Astra 2E	10758.00	V	44	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2044	45000000
Astra 2E	10773.00	H	45	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2045	49000000
Astra 2E	10788.00	V	46	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2046	53000000
Astra 2E	10803.00	H	47	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2047	57000000
Astra 2E	10818.00	V	48	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2048	61000000
Astra 2E	10832.00	H	49	U.K.	DVB-S2	8PSK	23000 3/4	ASTRA, 50.1 Mbps	2	2049	65000000
Astra 2E	10847.00	V	50	U.K.	DVB-S2	8PSK	23000 3/4	50.1 Mb/s	2	2050	69000000
Astra 2E	10862.00	H	51	U.K.	DVB-S2	8PSK	23000 2/3	ASTRA	2	2051	73000000
Astra 2E	10876.00	V	52	U.K.	DVB-S2	8PSK	23000 2/3	ASTRA, 44.5 Mbps	2	2052	77000000
Astra 2E	10891.00	H	53	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2053	81000000
Astra 2E	10906.00	V	54	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2054	85000000
Astra 2E	10921.00	H	55	U.K.	DVB-S	QPSK	22000 5/6	ASTRA, 33.8 Mbps	2	2057	89000000
Astra 2E	10936.00	V	56	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2056	93000000
Astra 2G	10964.00	H	57	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2057	97000000
