Satellite	Frequence	Pol	Txp	Beam	Standard	Modulation	SR/FEC	Network, bitrate	NID	TID	Row
Astra 2G	10994.00	H	59	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2059	101000000
Astra 2G	11012.00	V	60	U.K.	DVB-S2	8PSK	23000 2/3	44.5 Mbps	2	2061	105000000
Astra 2G	11024.00	H	61	U.K.	DVB-S2	8PSK	23000 3/4	50.1 Mb/s	2	2061	109000000
Astra 2G	11038.00	V	62	Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2062	113000000
Astra 2G	11052.75	H	63	U.K.	DVB-S2	8PSK	23000 3/4	50.1 Mb/s	2	2063	117000000
Astra 2G	11068.00	V	64	U.K.	DVB-S2	8PSK	23000 3/4	ASTRA, 50.1 Mb/s	2	2064	121000000
Astra 2G	11081.00	H	65	Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2065	125000000
Astra 2G	11097.00	V	66	U.K.	DVB-S2	8PSK	23000 3/4	50.1 Mb/s	2	2066	129000000
Astra 2G	11112.00	H	67	Europe	DVB-S	QPSK	22000 5/6	ASTRA, 33.8 Mb/s	2	2067	133000000
Astra 2G	11127.00	V	68	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2068	137000000
Astra 2G	11141.25	H		Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2069	141000000
Astra 2G	11170.75	H		Europe	DVB-S	QPSK	22000 5/6	ASTRA, 33.8 Mb/s	2	2071	145000000
Astra 2G	11225.00	H	C1	Europe	DVB-S	QPSK	27500 2/3	Nilesat, 42.2 Mb/s	2048	43	157000000
Astra 2G	11225.00	V	C2	Europe	DVB-S2	8PSK	23000 2/3	ASTRA, 44.5 Mb/s	2	2106	161000000
Astra 2G	11264.00	H	107	Europe	DVB-S	QPSK	27500 2/3	33.8 Mb/s	2	2107	165000000
Astra 2G	11265.00	V	C2	Europe	DVB-S	QPSK	27500 2/3	33.8 Mb/s	2	2108	169000000
Astra 2F	11307.00	H	109	U.K.	DVB-S	QPSK	27500 5/6	ASTRA, 42.2 Mb/s	2	2109	173000000
Astra 2F	11307.00	V	110	U.K.	DVB-S	QPSK	27500 5/6	42.2 Mb/s	2	2110	177000000
Astra 2F	11344.00	H	111	U.K.	DVB-S	QPSK	27500 5/6	ASTRA, 42.2 Mb/s	2	2111	181000000
Astra 2F	11344.50	V	112	U.K.	DVB-S	QPSK	27500 5/6	42.2 Mb/s	2	2112	185000000
Astra 2E	11385.00	H	113	U.K.	DVB-S2	QPSK	29500 8/9	ASTRA, 52.1 Mb/s	2	2113	189000000
Astra 2E	11385.00	V	114	U.K.	DVB-S2	QPSK	29500 8/9	52.1 Mb/s	2	2114	193000000
Astra 2E	11425.00	H	115	U.K.	DVB-S	QPSK	27500 2/3	Freesat, 33.8 Mb/s	59	2315	197000000
Astra 2E	11426.00	V	116	U.K.	DVB-S2	QPSK	29500 8/9	52.1 Mb/s	2	2116	201000000
Astra 2G	11464.25	H	89	Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2089	205000000
Astra 2G	11479.00	V	90	Europe	DVB-S	QPSK	22000 5/6	ASTRA, 33.8 Mb/s	2	2090	209000000
Astra 2F	11493.75	H		U.K.	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2091	213000000
Astra 2G	11508.50	V	92	Europe	DVB-S2	8PSK	23000 2/3	ASTRA, 44.5 Mb/s	2	2092	217000000
Astra 2G	11523.25	H	93	Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2093	221000000
Astra 2G	11538.00	V	94	Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2094	225000000
Astra 2G	11552.75	H	95	Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2095	229000000
Astra 2G	11567.50	V	96	Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2096	233000000
Astra 2G	11582.25	H	97	Europe	DVB-S	QPSK	22000 5/6	ASTRA, 33.8 Mb/s	2	2097	237000000
Astra 2G	11597.00	V	98	Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2098	241000000
Astra 2G	11611.75	H	99	Europe	DVB-S2	8PSK	23000 2/3	ASTRA	2	2099	245000000
Astra 2G	11626.50	V	100	Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2100	249000000
Astra 2G	11641.25	H	101	Europe	DVB-S2	8PSK	23000 2/3	44.5 Mb/s	2	2101	253000000
Astra 2G	11656.00	V	102	Europe	DVB-S	QPSK	22000 5/6	33.8 Mb/s	2	2102	257000000
Astra 2G	11671.75	H	103	Europe	DVB-S2	8PSK	23000 2/3	ASTRA, 44.5 Mb/s	2	2103	261000000
Astra 2G	11685.50	V	104	Europe	DVB-S2	8PSK	23000 2/3	44.5 Mb/s	2	2104	265000000
Astra 2F	11719.50	H	1	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2001	269000000
Astra 2E	11739.00	V	2	Europe	DVB-S2	8PSK	27500 2/3	54.5 Mb/s	2	2002	273000000
Astra 2E	11758.00	H	3	Europe	DVB-S2	8PSK	27500 2/3	ASTRA, 53.2 Mb/s	2	2003	285000000
Astra 2E	11778.00	V	4	Europe	DVB-S	QPSK	27500 2/3	ASTRA, 33.8 Mb/s	2	2004	289000000
Astra 2E	11798.00	H	5	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2005	293000000
Astra 2E	11817.00	V	6	Europe	DVB-S	QPSK	27500 2/3	33.8 Mbps	2	2006	297000000
Astra 2E	11836.00	H	7	Europe	DVB-S	QPSK	27500 5/6	42.2 Mb/s	2	2007	301000000
Astra 2E	11856.00	V	8	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2008	305000000
Astra 2E	11876.00	H	9	Europe	DVB-S	QPSK	27500 2/3	ASTRA	2	2035	309000000
Astra 2E	11895.00	V	10	Europe	DVB-S	QPSK	27500 2/3	ASTRA	2	2010	313000000
Astra 2E	11914.00	H	11	Europe	DVB-S	QPSK	27500 5/6	42.2 Mb/s	2	2011	317000000
Astra 2E	11934.00	V	12	Europe	DVB-S	QPSK	27500 5/6	ASTRA, 42.2 Mb/s	2	2012	321000000
Astra 2E	11954.00	H	13	Europe	DVB-S	QPSK	27500 2/3	ASTRA	2	2013	325000000
Astra 2G	11973.00	V	14	Europe	DVB-S2	8PSK	31000 9/10	83.1 Mb/s	2	2014	329000000
Astra 2E	11992.00	H	15	Europe	DVB-S	QPSK	27500 2/3	ASTRA, 33.8 Mbps	2	2093	333000000
Astra 2E	12012.00	V	16	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2016	337000000
Astra 2E	12032.00	H	17	Europe	DVB-S	QPSK	27500 2/3	Jordan  Media City, 42.2 Mb/s	702	4117	341000000
Astra 2E	12051.00	V	18	Europe	DVB-S	QPSK	27500 2/3	MUX2(BSS-18) - 12054MHZ, 42.2 Mb/s	702	506	345000000
Astra 2E	12070.00	H	19	Europe	DVB-S	QPSK	27500 5/6	ASTRA, 42.2 Mb/s	2	2019	349000000
Astra 2E	12090.00	V	20	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2020	353000000
Astra 2E	12110.00	H	21	Europe	DVB-S	QPSK	27500 5/6	ASTRA, 42.2 Mb/s	2	2021	357000000
Astra 2E	12129.00	V	22	U.K.	DVB-S	QPSK	27500 5/6	ASTRA, 42.2 Mb/s	2	2022	361000000
Astra 2F	12148.00	H	23	Europe	DVB-S	QPSK	27500 5/6	42.2 Mb/s	2	2023	365000000
Astra 2F	12168.00	V	24	Europe	DVB-S2	8PSK	27500 2/3	ASTRA, 53.2 Mb/s	2	2024	369000000
Astra 2F	12188.00	H	25	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2025	373000000
Astra 2F	12207.00	V	26	Europe	DVB-S	QPSK	27500 5/6	42.2 Mb/s	2	2026	377000000
Astra 2F	12226.50	H	27	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2027	381000000
Astra 2E	12246.00	V	28	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2028	385000000
Astra 2E	12266.00	H	29	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2029	389000000
Astra 2F	12285.00	V	30	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2020	393000000
Astra 2F	12304.00	H	31	U.K.	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2033	397000000
Astra 2E	12324.00	V	32	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2032	401000000
Astra 2E	12344.00	H	33	Europe	DVB-S2	QPSK	29500 8/9	52.1 Mbps	2	2033	413000000
Astra 2E	12363.00	V	34	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	2	2034	417000000
Astra 2E	12382.00	H	35	U.K.	DVB-S	QPSK	27500 5/6	ASTRA, 42.2 Mb/s	2	2035	421000000
Astra 2E	12402.00	V	36	Europe	DVB-S	QPSK	27500 2/3	ARABSAT, 42.2 Mb/s	2048	41	425000000
Astra 2E	12421.50	H	37	U.K.	DVB-S	QPSK	27500 2/3	Nilesat, 38.0 Mb/s	2048	47	429000000
Astra 2F	12441.00	V	38	Europe	DVB-S2	QPSK	29500 8/9	ASTRA, 52.1 Mb/s	2	2038	433000000
Astra 2F	12460.00	H	39	Europe	DVB-S2	QPSK	29500 8/9	52.1 Mb/s	2	2005	437000000
Astra 2E	12480.00	V	40	Europe	DVB-S2	16APSK	30000 3/4	ASTRA	2	2031	441000000
Astra 2F	12515.00	H	73	U.K.	DVB-S	QPSK	22000 5/6	M7 Group, 33.8 Mbps	2	2073	445000000
Astra 2G	12522.00	V	-	U.K.	DVB-S2	16APSKStream 0	22500 9/10	ASTRA, 80 Mbps	2	2074	449000000
Astra 2F	12545.00	H	75	U.K.	DVB-S	QPSK	22000 5/6	ASTRA 1, 33.8 Mbps	2	2075	453000000
Astra 2F	12552.00	V	76	U.K.	DVB-S2	16APSKStream 0	22500 9/10	80 Mbps	702	201	457000000
Astra 2F	12572.00	H	78	Europe	DVB-S2	QPSK	22000 5/6	ASTRA	2	2408	461000000
Astra 2F	12581.00	V	78	U.K.	DVB-S	QPSK	22000 5/6	ASTRA, 33.8 Mbps	2	2412	465000000
Astra 2F	12603.00	H	79	U.K.	DVB-S	QPSK	22000 5/6	28.1 Mbps	2	2069	469000000
Astra 2F	12610.00	V	80	U.K.	DVB-S	QPSK	22000 5/6	ASTRA, 33.8 Mbps	2	2090	473000000
Astra 2F	12633.00	H	81	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mbps	2	2071	477000000
Astra 2F	12640.00	V	82	U.K.	DVB-S	QPSK	22000 5/6	ASTRA, 33.8 Mbps	2	2092	481000000
Astra 2F	12663.00	H	83	U.K.	DVB-S	QPSK	22000 5/6	33.8 Mbps	1	0	485000000
Astra 2F	12670.00	V	84	U.K.	DVB-S2	8PSK	23000 2/3	44.5 Mbps	2	2094	489000000
