No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10714	H	22000	2/3	49	Astra 1M	0	6	0	0	6
	10729	V	22000	2/3	50	Astra 1KR	0	10	0	0	10
	10744	H	22000	5/6	51	Astra 1M	0	5	0	0	5
	10758	V	22000	5/6	52	Astra 1M	0	11	0	0	11
	10773	H	22000	3/4	53	Astra 1KR	0	9	0	0	9
	10788	V	22000	5/6	54	Astra 1M	0	17	0	0	17
	10803	H	22000	3/4	55	Astra 1KR	0	8	0	0	8
	10818	V	22000	2/3	56	Astra 1M	0	6	0	0	6
	10832	H	22000	2/3	57	Astra 1KR	0	4	0	0	4
	10847	V	22000	5/6	58	Astra 1M	2	27	2	1	32
	10876	V	22000	5/6	60	Astra 1M	0	11	0	0	11
	10891	H	22000	2/3	61	Astra 1M	0	6	0	0	6
	10906	V	22000	2/3	62	Astra 1KR	0	7	0	0	7
	10921	H	22000	7/8	63	Astra 1KR	0	5	0	0	5
	10936	V	22000	2/3	64	Astra 1M	0	7	0	0	7
	10964	H	22000	2/3	33	Astra 1L	0	8	0	0	8
	10979	V	22000	5/6	34	Astra 1L	0	11	0	1	12
	10994	H	22000	5/6	35	Astra 1L	0	2	0	0	2
	11038	V	22000	5/6	38	Astra 1L	0	11	0	1	12
	11053	H	22000	2/3	39	Astra 1L	0	5	0	0	5
	11068	V	22000	5/6	40	Astra 1L	0	4	0	0	4
	11082	H	22000	3/4	41	Pan Europe	0	5	0	0	5
	11097	V	22000	5/6	42	Astra 1L	0	29	0	1	30
	11112	H	22000	2/3	43	Astra 1L	0	5	0	0	5
	11126	V	22000	2/3	44	Astra 1KR	0	7	0	0	7
	11156	V	22000	5/6	46	Astra 1KR	0	12	0	2	14
	11171	H	22000	3/4	47	Astra 1KR	0	10	0	0	10
	11186	V	22000	5/6	48	Astra 1L	1	1	0	0	2
	11214	H	22000	2/3	1	Astra 1KR	0	1	1	0	2
	11229	V	22000	2/3	2	Astra 1KR	0	6	0	0	6
	11244	H	22000	5/6	3	Astra 1KR	0	9	0	2	11
	11258	V	22000	2/3	4	Astra 1KR	0	6	0	0	6
	11273	H	22000	2/3	5	Astra 1KR	0	16	1	0	17
	11288	V	22000	2/3	6	Astra 1L	0	4	0	0	4
	11303	H	22000	2/3	7	Astra 1L	1	5	0	0	6
	11318	V	22000	5/6	8	Astra 1KR	0	11	0	1	12
	11347	V	22000	2/3	10	Astra 1KR	0	3	0	0	3
	11362	H	22000	2/3	11	Astra 1KR	0	2	0	0	2
	11376	V	22000	2/3	12	Astra 1L	2	7	0	1	10
	11391	H	22000	5/6	13	Astra 1KR	0	2	0	0	2
	11421	H	22000	5/6	15	Astra 1KR	0	5	0	3	8
	11436	V	22000	2/3	16	Astra 1KR	0	8	0	0	8
	11464	H	22000	2/3	17	Astra 1KR	0	9	0	0	9
	11494	H	22000	2/3	19	Pan Europe	0	4	0	0	4
	11508	V	22000	5/6	20	Astra 1L	0	3	0	1	4
	11538	V	22000	5/6	22	Astra 1L	0	7	0	1	8
	11553	H	22000	2/3	23	Astra 1L	0	6	1	0	7
	11582	H	22000	2/3	25	Pan Europe	0	7	0	0	7
	11597	V	22000	5/6	26	Astra 1L	0	5	0	0	5
	11612	H	22000	5/6	27	Pan Europe	1	4	0	1	6
	11626	V	22000	5/6	28	Astra 1M	0	3	0	0	3
	11656	V	22000	2/3	30	Pan Europe	0	4	0	0	4
	11671	H	22000	2/3	31	Astra 1L	0	9	0	1	10
	11686	V	22000	5/6	32	Astra 1KR	0	14	0	2	16
	11720	H	27500	9/10	65	Astra 1M	0	24	1	3	28
	11758	H	27500	9/10	67	Astra 1M	0	23	0	2	25
	11778	V	29500	9/10	68	Astra 1M	1	1	0	0	2
	11798	H	27500	9/10	69	Pan Europe	0	6	0	1	7
	11817	V	29700	2/3	70	Astra 1M	0	14	0	1	15
	11836	H	27500	3/4	71	Pan Europe	0	6	0	0	6
	11856	V	29700	2/3	72	Astra 1M	0	15	0	0	15
	11895	V	29700	2/3	74	Astra 1M	0	14	0	0	14
	11914	H	27500	9/10	75	Pan Europe	0	8	0	0	8
	11934	V	29700	2/3	76	Astra 1M	0	7	0	1	8
	11954	H	27500	3/4	77	Pan Europe	4	5	0	0	9
	11973	V	27500	3/4	78	Astra 1M	0	9	0	0	9
	11992	H	27500	9/10	79	Astra 1M	0	10	0	0	10
	12012	V	29700	2/3	80	Astra 1M	0	11	0	1	12
	12032	H	27500	9/10	81	Pan Europe	0	11	0	6	17
	12051	V	27500	3/4	82	Pan Europe	0	10	0	0	10
	12090	V	29700	2/3	84	Astra 1M	0	14	0	1	15
	12110	H	27500	3/4	85	Astra 1M	0	11	0	0	11
	12129	V	29700	2/3	86	Pan Europe	0	13	0	2	15
	12148	H	27500	3/4	87	Pan Europe	5	11	0	0	16
	12168	V	29700	2/3	88	Pan Europe	0	11	0	1	12
	12188	H	27500	3/4	89	Astra 1L	0	12	0	0	12
	12207	V	29700	2/3	90	Pan Europe	0	14	0	1	15
	12226	H	27500	3/4	91	Astra 1L	0	9	0	0	9
	12246	V	29700	2/3	92	Pan Europe	0	14	0	1	15
	12266	H	27500	3/4	93	Astra 1M	63	2	0	0	65
	12285	V	29700	2/3	94	Pan Europe	0	13	0	1	14
	12304	H	27500	9/10	95	Pan Europe	0	11	0	0	11
	12324	V	29700	2/3	96	Pan Europe	0	3	0	6	9
	12344	H	30000	2/3	97	Astra 1M	0	4	0	0	4
	12363	V	27500	3/4	98	Pan Europe	44	1	7	28	80
	12382	H	27500	3/4	99	Pan Europe	0	15	0	0	15
	12402	V	29700	2/3	100	Pan Europe	0	10	0	1	11
	12422	H	27500	3/4	101	Astra 1M	0	15	0	0	15
	12441	V	29700	2/3	102	Pan Europe	0	13	0	1	14
	12460	H	27500	3/4	103	Astra 1M	3	11	0	0	14
	12480	V	27500	3/4	104	Astra 1M	0	13	0	0	13
	12515	H	22000	5/6	105	Astra 1L	6	15	0	10	31
	12545	H	22000	5/6	107	Astra 1L	0	9	0	0	9
	12552	V	22000	5/6	108	Pan Europe	0	7	0	1	8
	12574	H	22000	2/3	109	Astra 1L	0	7	0	0	7
	12604	H	22000	5/6	111	Pan Europe	3	9	0	10	22
	12633	H	22000	5/6	113	Pan Europe	13	34	0	2	49
	12663	H	22000	5/6	115	Pan Europe	15	10	1	0	26
	12692	H	22000	5/6	117	Pan Europe	0	18	0	0	18
	12728	V	22000	2/3	120	Astra 1L	0	24	0	0	24
