No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10714	H	22000	5/6	41	U.K.	0	12	0	0	12
	10758	V	22000	5/6	44	U.K.	0	12	0	0	12
	10773	H	22000	5/6	45	U.K.	0	14	0	0	14
	10788	V	22000	5/6	46	U.K.	12	8	0	0	20
	10803	H	22000	5/6	47	U.K.	8	9	0	0	17
	10818	V	22000	5/6	48	U.K.	0	11	0	0	11
	10847	V	23000	3/4	50	U.K.	0	10	0	0	10
	10891	H	22000	5/6	53	U.K.	0	10	0	0	10
	10906	V	22000	5/6	54	U.K.	1	11	0	0	12
	10936	V	22000	5/6	56	U.K.	0	11	0	0	11
	10964	H	22000	5/6	57	U.K.	0	10	0	0	10
	10994	H	22000	5/6	59	U.K.	0	11	0	0	11
	11024	H	23000	3/4	61	U.K.	0	8	0	0	8
	11038	V	22000	5/6	62	Europe	0	14	0	0	14
	11053	H	23000	3/4	63	U.K.	0	6	0	0	6
	11068	V	23000	3/4	64	U.K.	0	4	0	0	4
	11081	H	22000	5/6	65	Europe	0	14	0	0	14
	11097	V	23000	3/4	66	U.K.	0	6	0	0	6
	11112	H	22000	5/6	67	Europe	0	17	0	0	17
	11127	V	22000	5/6	68	U.K.	0	2	0	0	2
	11141	H	22000	5/6		Europe	0	13	0	0	13
	11171	H	22000	5/6		Europe	1	9	0	0	10
	11225	V	23000	2/3	C2	Europe	0	4	0	0	4
	11264	H	27500	2/3	107	Europe	0	9	0	0	9
	11265	V	27500	2/3	C2	Europe	1	8	0	0	9
	11307	H	27500	5/6	109	U.K.	0	7	0	0	7
	11307	V	27500	5/6	110	U.K.	0	15	0	0	15
	11344	H	27500	5/6	111	U.K.	0	13	0	0	13
	11344	V	27500	5/6	112	U.K.	0	19	0	0	19
	11385	H	29500	8/9	113	U.K.	0	8	0	0	8
	11385	V	29500	8/9	114	U.K.	0	9	0	0	9
	11425	H	27500	2/3	115	U.K.	0	1	0	0	1
	11426	V	29500	8/9	116	U.K.	0	5	0	0	5
	11464	H	22000	5/6	89	Europe	0	16	0	0	16
	11479	V	22000	5/6	90	Europe	0	15	0	0	15
	11494	H	22000	5/6		U.K.	0	4	0	0	4
	11508	V	23000	2/3	92	Europe	0	5	0	0	5
	11538	V	22000	5/6	94	Europe	3	22	0	0	25
	11553	H	22000	5/6	95	Europe	17	15	0	0	32
	11568	V	22000	5/6	96	Europe	0	17	0	0	17
	11582	H	22000	5/6	97	Europe	12	13	0	0	25
	11597	V	22000	5/6	98	Europe	0	18	0	0	18
	11626	V	22000	5/6	100	Europe	0	12	0	0	12
	11641	H	23000	2/3	101	Europe	0	2	0	0	2
	11656	V	22000	5/6	102	Europe	0	8	0	0	8
	11672	H	23000	2/3	103	Europe	0	5	0	0	5
	11686	V	23000	2/3	104	Europe	0	4	0	0	4
	11720	H	27500	2/3	1	Europe	0	0	1	0	1
	11758	H	27500	2/3	3	Europe	0	5	0	0	5
	11778	V	27500	2/3	4	Europe	5	0	0	3	8
	11798	H	27500	2/3	5	Europe	0	7	0	0	7
	11836	H	27500	5/6	7	Europe	0	19	0	1	20
	11856	V	27500	2/3	8	Europe	0	7	0	0	7
	11914	H	27500	5/6	11	Europe	4	15	0	0	19
	11934	V	27500	5/6	12	Europe	2	19	0	0	21
	11973	V	31000	9/10	14	Europe	0	1	0	0	1
	12012	V	27500	2/3	16	Europe	0	9	0	0	9
	12070	H	27500	5/6	19	Europe	1	37	0	2	40
	12090	V	27500	2/3	20	Europe	0	6	0	0	6
	12110	H	27500	5/6	21	Europe	0	23	0	0	23
	12129	V	27500	5/6	22	U.K.	0	16	0	0	16
	12148	H	27500	5/6	23	Europe	0	24	0	0	24
	12168	V	27500	2/3	24	Europe	0	9	0	0	9
	12188	H	27500	2/3	25	Europe	0	12	0	0	12
	12207	V	27500	5/6	26	Europe	0	13	0	6	19
	12226	H	27500	2/3	27	Europe	0	9	0	0	9
	12246	V	27500	2/3	28	Europe	1	9	0	0	10
	12266	H	27500	2/3	29	Europe	0	10	0	0	10
	12324	V	27500	2/3	32	Europe	0	7	0	0	7
	12363	V	27500	2/3	34	Europe	0	8	0	0	8
	12382	H	27500	5/6	35	U.K.	0	17	0	0	17
	12441	V	29500	8/9	38	Europe	0	3	0	0	3
