Satellite	Frequence	Pol	Txp	Beam	Standard	Modulation	SR/FEC	Network, bitrate	NID	TID	Row
Astra 3B	11487.00	V	2	Europe	DVB-S	QPSK	1667 3/4	ERT3 , 2 304 Kbps	1	1	33000000
Astra 3B	11508.50	V	4	Europe	DVB-S	QPSK	14999 3/4	32.7 Mbps	0	0	37000000
Astra 3B	11581.00	H	7	Europe	DVB-S2	8PSK	2400 2/3	TVP S.A., 4 646 kb/s	3	3007	41000000
Astra 3B	11626.50	V	10	Europe	DVB-S	QPSK	10000 3/4	diefernsehwerft, 21.5 Mb/s	65535	1	45000000
Astra 3B	11643.00	H	9	Europe	DVB-S2	8PSK	5500 3/4	12.3 Mb/s	0	0	49000000
Astra 3B	11675.00	V	12	Europe	DVB-S2	8PSK	874 3/4	2 183 Kbps	0	0	53000000
Astra 3B	11678.00	V	12	Europe	DVB-S2	8PSK	2050 3/4	4 464 kb/s	0	0	57000000
Astra 3B	11679.00	V	12	Europe	DVB-S2	8PSK	1024 3/4	1 982 Kbps	3	3012	61000000
Astra 3B	11680.20	V	12	Europe	DVB-S2	8PSK	1024 2/3	1 982 Kbps	0	0	65000000
Astra 3B	11683.00	V	12	Europe	DVB-S	QPSK	2734 5/6	TelekomSrbija 2, 4 200 Kbps	100	1200	69000000
Astra 3B	11719.50	H	201	Europe	DVB-S2	8PSK	30000 3/4	Telekom Srbija, 65.3 Mb/s	3	3201	73000000
Astra 3B	11739.00	V	202	Europe	DVB-S2	8PSK	29900 2/3	M7 Group, 59.2 Mb/s	3	3202	77000000
Astra 3B	11758.50	H	203	Europe	DVB-S2	16APSK	30000 5/6	31.5 Mbps	3	31123	81000000
Astra 3B	11778.00	V	204	Europe	DVB-S2	8PSK	27500 2/3	ASTRA 3, 54.5 Mb/s	3	3204	85000000
Astra 3B	11797.50	H	205	Europe	DVB-S2	8PSK	30000 3/4	Telekom Srbija, 65.3 Mb/s	3	3205	89000000
Astra 3B	11817.00	V	206	Europe	DVB-S2	8PSK	30000 3/4	65.3 Mb/s	3	3206	93000000
Astra 3B	11836.50	H	207	Europe	DVB-S	QPSK	27500 5/6	38.0 Mb/s	85	13	97000000
Astra 3B	11856.00	V	208	Europe	DVB-S2	8PSK	29900 2/3	M7 Group, 59.2 Mb/s	3	3208	101000000
Astra 3B	11875.50	H	209	Europe	DVB-S2	8PSK	29900 3/4	65.1 Mb/s	3	3209	105000000
Astra 3B	11895.00	V	210	Europe	DVB-S	QPSK	27500 5/6	Sirius, 38.0 Mbps	85	18	109000000
Astra 3B	11914.50	H	211	Europe	DVB-S2	8PSK	30000 3/4	Telekom Srbija, 66.9 Mb/s	3	3211	113000000
Astra 3B	11934.00	V	212	Europe	DVB-S2	8PSK	27500 3/4	59.9 Mb/s	3	3212	117000000
Astra 3B	11954.00	H	213	Europe	DVB-S2	8PSK	27500 5/6	Sirius, 38.0 Mbps	85	14	121000000
Astra 3B	11973.00	V	214	Europe	DVB-S2	8PSK	29900 2/3	59.2 Mb/s	3	3214	125000000
Astra 3B	11992.00	H	215	Europe	DVB-S	QPSK	27500 3/4	Viasat, 38.0 Mbps	86	6	129000000
Astra 3B	12031.50	H	217	Europe	DVB-S2	QPSK	27500 9/10	ASTRA 3, 49.2 Mb/s	3	3217	133000000
Astra 3B	12051.00	V	218	Europe	DVB-S2	8PSK	27500 5/6	Viasat, 38.0 Mbps	86	3	137000000
Astra 3B	12070.50	H	219	Europe	DVB-S	QPSK	27500 3/4	M7 Group, 38.0 Mb/s	3	3219	141000000
Astra 3B	12090.00	V	220	Europe	DVB-S2	8PSK	29900 2/3	59.2 Mb/s	3	3220	145000000
Astra 3B	12109.50	H	221	Europe	DVB-S2	8PSK	27500 3/4	59.9 Mb/s	3	3221	157000000
Astra 3B	12129.00	V	222	Europe	DVB-S2	8PSK	29900 2/3	M7 Group, 59.2 Mb/s	3	3222	161000000
Astra 3B	12148.50	H	223	Europe	DVB-S2	8PSK	27500 5/6	ASTRA 3, 66.6 Mb/s	3	3223	165000000
Astra 3B	12168.00	V	224	Europe	DVB-S	QPSK	27500 3/4	ASTRA 3, 38.0 Mb/s	3	3224	169000000
Astra 3B	12187.50	H	225	Europe	DVB-S2	8PSK	29900 2/3	M7 Group, 59.2 Mb/s	3	3225	173000000
Astra 3B	12207.00	V	226	Europe	DVB-S2	8PSK	27500 5/6	M7 Group, 66.6 Mbps	3	3226	177000000
Astra 3B	12265.00	H	229	Europe	DVB-S2	8PSK	27500 5/6	ASTRA 3	3	3229	181000000
Astra 3B	12304.50	H	231	Europe	DVB-S2	8PSK	27500 5/6	ASTRA 3, 66.6 Mb/s	3	3231	185000000
Astra 3B	12344.50	H	233	Europe	DVB-S2	8PSK	29900 2/3	59.2 Mb/s	3	3233	189000000
Astra 3B	12363.00	V	234	Europe	DVB-S2	8PSK	29500 3/4	64.2 Mb/s	3	3234	193000000
Astra 3B	12382.50	H	235	Europe	DVB-S2	8PSK	27500 3/4	ASTRA 3, 77.6 Mbps	3	3235	197000000
Astra 3B	12402.00	V	36	Europe	DVB-S2	8PSK	30000 3/4	65.3 Mb/s	3	3236	201000000
Astra 3B	12517.00	V	14	Europe	DVB-S2	QPSK	16871 3/4	Protv, 24.5 Mb/s	5	5212	205000000
Astra 3B	12525.00	H	13	Europe	DVB-S2	8PSK	27500 5/6	ASTRA 3, 66.6 Mbps	3	31113	209000000
Astra 3B	12534.00	V	16	Europe	DVB-S2	8PSK	12320 2/3	{90DDA122-D72A-44F4-8716-F5971, 23.8 Mbps	3	3104	213000000
Astra 3B	12548.00	V	16	Europe	DVB-S2	QPSK	1830 3/4	Network_1, 2 600 kb/s	1	1	217000000
Astra 3B	12572.00	V	18	Europe	DVB-S2	16APSK	8938 5/6		0	0	221000000
Astra 3B	12605.00	H	17	Europe	DVB-S2	QPSK	30000 5/6	46.9 Mbps	61441	10005	225000000
Astra 3B	12639.70	V	20	Europe	DVB-S	QPSK	941 1/2	MB Satellite, 866 kb/s	1	1	229000000
Astra 3B	12642.50	V	20	Europe	DVB-S	QPSK	477 1/2	Media Broadcast, 440 kb/s	1	1	233000000
Astra 3B	12643.10	V	20	Europe	DVB-S	QPSK	555 3/4	tirolradio	1	1	237000000
Astra 3B	12645.00	H	19	Europe	DVB-S2	8PSK	30000 8/9	ASTRA 3, 77.6 Mbps	3	31119	241000000
Astra 3B	12647.10	V	22	Europe	DVB-S	QPSK	285 7/8	Network_1, 460 kb/s	1	1	245000000
Astra 3B	12659.00	V	22	Europe	DVB-S2	8PSK	6500 3/4	14.2 Mbps	1	2	249000000
Astra 3B	12674.00	V	22	Europe	DVB-S2	8PSK	3600 3/4	7 839 Kbps	65535	1	253000000
Astra 3B	12685.00	H	21	Europe	DVB-S2	8PSK	30000 8/9	ASTRA 3, 77.6 Mbps	3	31121	257000000
Astra 3B	12725.00	H	23	Europe	DVB-S2	8PSK	30000 8/9	ASTRA 3, 77.6 Mbps	3	31123	261000000
