Freq	Pol	SR	Beam	Type	Name	Country	Category	Packages	Encryption	SID	VPID	Audio	PMT	PCR	TXT	Last updated	FTA	Row
10719.25	V	27500 3/4	HB9 Europe	TV	Cinemax HD Eastern Europe	Polska	Filmy	Cyfrowy Polsat|Platforma Canal+|Orange Polska	Conax|Irdeto 2|Mediaguard 3|Nagravision 3|Viaccess 3.0	4406	165	100[pol]|101[eng]	1006	165		2018-07-08	No	35001001
10719.25	V	27500 3/4	HB9 Europe	TV	Nat Geo Wild Europe HD	Wielka Brytania	Dokumenty	Cyfrowy Polsat|Platforma Canal+|Orange Polska	Conax|Irdeto 2|Mediaguard 3|Nagravision 3|Viaccess 3.0	4407	166	104[pol]|105[eng]	1007	166		2019-02-05	No	35001003
10719.25	V	27500 3/4	HB9 Europe	TV	TVP HD	Polska	Ogólne	Cyfrowy Polsat|Platforma Canal+|Orange Polska	Conax|Irdeto 2|Mediaguard 3|Nagravision 3|Viaccess 3.0	4408	167	109[pol]|110[qaa]	1008	167		2018-06-22	No	35001005
10719.25	V	27500 3/4	HB9 Europe	TV	TVP Info HD	Polska	Informacje	Platforma Canal+	FTA	4409	168	112[pol]	1009	168		2017-04-05	Yes	35001007
10719.25	V	27500 3/4	HB9 Europe	TV	TVP 3	Polska	Ogólne	Cyfrowy Polsat|Platforma Canal+|Orange Polska	Conax|Irdeto 2|Mediaguard 3|Nagravision 3|Viaccess 3.0	4411	170	120[pol]	1011	170	511	2018-07-08	No	35001009
10719.25	V	27500 3/4	HB9 Europe	TV	Active Family	Polska	Rozrywka	Platforma Canal+|Orange Polska	Conax|Mediaguard 3|Nagravision 3|Viaccess 3.0	4412	171	124[pol]	1012	171		2019-03-08	No	35001011
10719.25	V	27500 3/4	HB9 Europe	TV	CANAL+ 4K ULTRA HD			nc+	Nagravision 3	4413	172	128[pol]|129[qaa]	1013	172		2018-05-15	No	35001013
10719.25	V	27500 3/4	HB9 Europe	TV	Cinemax HD			Cyfrowy Polsat|Platforma Canal+	Conax|Irdeto 2|Mediaguard 2|Nagravision 3|Viaccess 6.0	4456	165	100[pol]|101[eng]	1056	165		2019-12-23	No	35001015
10719.25	V	27500 3/4	HB9 Europe	TV	National Geographic Wild HD			Cyfrowy Polsat|Platforma Canal+	Conax|Irdeto 2|Mediaguard 2|Nagravision 3|Viaccess 6.0	4457	166	104[pol]|105[eng]	1057	166		2019-12-23	No	35001017
10719.25	V	27500 3/4	HB9 Europe	TV	TVP 3			Cyfrowy Polsat|Platforma Canal+	Conax|Irdeto 2|Mediaguard 3|Nagravision 3|Viaccess 6.0	4461	170	120[pol]	1061	170	511	2019-12-23	No	35001019
10719.25	V	27500 3/4	HB9 Europe	TV	Canal+ 4K Ultra HD Poland	Polska	Ogólne	Platforma Canal+	Nagravision 3	4463	172	128[pol]|129[qaa]	1063	172		2018-05-15	No	35001021
10719.25	V	27500 3/4	HB9 Europe	TV	CANAL+ 4K ULTRA HD			nc+	Nagravision 3	4464	172	128[pol]|129[qaa]	1064	172		2018-06-02	No	35001023
10719.25	V	27500 3/4	HB9 Europe	TV	CANAL+ 4K ULTRA HD			nc+	Nagravision 3	4465	172	128[pol]|129[qaa]	1065	172		2018-06-02	No	35001025
10719.25	V	27500 3/4	HB9 Europe	TV	Canal+ 4K Ultra HD Poland	Polska	Ogólne	nc+	Nagravision 3	4473	172	128[pol]|129[qaa]	1073	172		2020-03-08	No	35001027
10719.25	V	27500 3/4	HB9 Europe	TV	Canal+ 4K Ultra HD Poland	Polska	Ogólne	nc+	Nagravision 3	4474	172	128[pol]|129[qaa]	1074	172		2020-03-08	No	35001029
10719.25	V	27500 3/4	HB9 Europe	IMG	STREFA ABONENTA nc+			Platforma Canal+	Conax|Mediaguard 3|Nagravision 3	4481	375		1081	375		2017-04-24	No	35001031
10719.25	V	27500 3/4	HB9 Europe	DATA	DATA			nc+	FTA	4495			1095	7970		2018-03-08	Yes	35001033
10727.00	H	30000 3/4	HB8 Europe	TV	4K Universe	Stany Zjednoczone	Ogólne		Viaccess 5.0	4601	257	258[aac][eng]	256	257		2019-12-23	No	39001001
10727.00	H	30000 3/4	HB8 Europe	TV	NASA 4K	Stany Zjednoczone	Technologia		FTA	4602	357	358[eng]|359[aac]	356	377		2019-01-08	Yes	39001003
10727.00	H	30000 3/4	HB8 Europe	TV	TravelXP 4K	nieokreślony	Podróże		Nagravision 3|Viaccess 5.0	4603	457	458[aac]	456	457		2020-02-09	No	39001005
10727.00	H	30000 3/4	HB8 Europe	TV	Museum 4K	Francja	Dokumenty		Nagravision 3|Viaccess 5.0	4604	6041	6042[aac][eng]|6043[aac][fra]|6044[aac][eng]|6045[aac][eng]|6046[aac][eng]	6040	6041		2019-11-26	No	39001007
10758.00	V	27500 3/4	HB9 Europe	TV	wPolsce.pl	Polska	Informacje	Cyfrowy Polsat	Irdeto 2|Nagravision 3	17017	279	535[pol]	45	279		2017-12-22	No	43001001
10758.00	V	27500 3/4	HB9 Europe	TV	Stopklatka TV	Polska	Różne	Cyfrowy Polsat|Platforma Canal+|Orange Polska	Conax|Irdeto 2|Mediaguard 3|Nagravision 3|Viaccess 3.0	17019	281	537[pol]	51	281		2020-01-01	No	43001003
10758.00	V	27500 3/4	HB9 Europe	TV	Stars.TV	Polska	Muzyka	Cyfrowy Polsat	FTA	17023	291	547[pol]	50	291		2017-12-11	Yes	43001005
10758.00	V	27500 3/4	HB9 Europe	TV	Da Vinci Learning	Wielka Brytania	Dokumenty	Cyfrowy Polsat|Platforma Canal+|Orange Polska	Conax|Irdeto 2|Mediaguard 3|Nagravision 3|Viaccess 3.0	17024	292	548[eng]	39	292		2018-06-18	No	43001007
10758.00	V	27500 3/4	HB9 Europe	TV	Polsat Games	Polska	Gry	Cyfrowy Polsat	Irdeto 2|Nagravision 3	17028	296	552[pol]	41	296	808	2018-10-17	No	43001009
10758.00	V	27500 3/4	HB9 Europe	TV	Polsat Games			Cyfrowy Polsat	Irdeto 2|Nagravision 3	17029	296	552	34	296		2018-10-17	No	43001011
10758.00	V	27500 3/4	HB9 Europe	TV	Metro (Poland)	Polska	Różne	Cyfrowy Polsat|Platforma Canal+|Orange Polska	Conax|Irdeto 2|Mediaguard 3|Nagravision 3|Viaccess 3.0	17031	305	561[pol]	42	305		2018-06-18	No	43001013
