Satellite	Frequence	Pol	Txp	Beam	Standard	Modulation	SR/FEC	Network, bitrate	NID	TID	Row
SES 5	11265.00	H	3	Nordic	DVB-S2	8PSK	30000 3/4	Viasat, 65.3 Mb/s	86	34	35000000
SES 5	11265.00	V	4	Nordic	DVB-S2	8PSK	30000 3/4	Viasat, 65.3 Mb/s	86	33	39000000
SES 5	11305.00	H	5	Nordic	DVB-S2	8PSK	30000 3/4	Viasat, 65.3 Mb/s	86	35	43000000
SES 5	11305.00	V	6	Nordic	DVB-S2	8PSK	30000 3/4	Viasat, 65.3 Mb/s	86	32	47000000
SES 5	11345.00	H	7	Nordic	DVB-S2	8PSK	30000 3/4	Viasat, 65.3 Mb/s	86	36	51000000
SES 5	11345.00	V	8	Nordic	DVB-S2	8PSK	30000 3/4	Viasat, 65.3 Mb/s	86	25	55000000
SES 5	11385.00	H	9	Nordic	DVB-S2	8PSK	30000 3/4	Viasat, 65.3 Mb/s	86	37	59000000
SES 5	11385.00	V	10	Nordic	DVB-S2	8PSK	30000 3/4	Viasat, 65.3 Mb/s	86	31	63000000
Astra 4A	11727.48	H	B1	BSS Nordic	DVB-S2	8PSK	27500 5/6	AMB - Test System, 66.6 Mb/s	85	204	67000000
Astra 4A	11747.00	V	B2	BSS Nordic	DVB-S2	8PSK	30000 3/4	Sirius, 65.3 Mb/s	85	43	71000000
Astra 4A	11766.00	H	B3	Europe	DVB-S2	8PSK	27500 2/3	53.2 Mb/s	85	12	75000000
Astra 4A	11785.00	V	B4	BSS Nordic	DVB-S2	8PSK	27500 5/6	AMB, 66.6 Mb/s	85	201	79000000
Astra 4A	11804.00	H	B5	BSS Nordic	DVB-S	QPSK	27500 5/6	Viasat, 42.2 Mbps	86	8	83000000
Astra 4A	11823.00	V	B6	BSS Nordic	DVB-S2	8PSK	27500 3/4	Viasat, 61.3 Mb/s	86	27	87000000
Astra 4A	11843.00	H	B7	BSS Nordic	DVB-S	QPSK	27500 3/4	Sirius	85	13	91000000
Astra 4A	11862.00	V	B8	BSS Nordic	DVB-S	QPSK	27500 3/4	Viasat, 38.0 Mbps	86	21	95000000
Astra 4A	11881.00	H	B9	BSS Nordic	DVB-S2	8PSK	28000 3/4	Viasat, 62.4 Mb/s	86	7	99000000
Astra 4A	11900.00	V	B10	BSS Nordic	DVB-S	QPSK	27500 3/4	AMB, 38.0 Mbps	85	18	103000000
Astra 4A	11919.00	H	B11	BSS Nordic	DVB-S2	8PSK	28000 3/4	Viasat, 62.4 Mb/s	86	24	107000000
Astra 4A	11938.00	V	B12	BSS Nordic	DVB-S2	8PSK	27500 5/6	AMB, 66.6 Mb/s	85	203	111000000
Astra 4A	11958.00	H	B13	BSS Nordic	DVB-S2	8PSK	27500 5/6	AMB, 66.6 Mb/s	85	202	115000000
