No	Name	Lang
1	RTK 1 Sat (Kosovo)|RTK-1	[alb]
2	Top News	[000][alb]
3	BCTV Europe	[alb]
4	Euronews Albania|EuroNews Albania|Euronews Albania HD	[alb]
5	Ndihma e Klientit	[alb]
6	Al Jazeera Balkans HD|Aljazeera Balkans	[bos][eng]
7	YU Planet|Yu Planet TV|Yu Planet Bec	[srp]
8	Aurora TV	[hrv][slk]
9	Pro TV International	[rom][rum]
10	HAYAT FOLK	[bos]
11	HAYAT MUSIC	[bos]
12	Fashion TV|Fashion TV HD Europe	[aac][eng]
13	TV Duga Plus|TV Duga +	[bos][srp]
14	DM Sat HD|DM Sat	[ser][srp]
15	OTV Valentino	[bos]
16	Svet Plus|K::CN Svet + 3	[eng][srp]
17	KCN Music 2	[ser]
18	TV Kopernikus|K::CN Kopernikus 1	[ser]
19	Sport 4 HD Albania|Sport 4 HD	[alb]
20	Fax News	[alb][eng]
21	Kanali 7	[alb]
22	Arena HD	[ger]
23	Aurora TV	[cro][hrv]
24	TV Romania International|TVR International|TVR Int	[rom][rum]
25	Z1|Z1 (TV Sljeme)	[cro][hrv]
26	TVCG Sat|TVCG Sat HD|TVCG Sat.	[srp]
27	Wness TV	[bul][eng][ukr]
28	Fashion TV|Fashion Television HD	[eng]
29	In Life|In LIFE TV	[bul]
30	HRT 4|HRT 4 HD|HRT-TV4 HD	[hrv]
31	HRT International|HRT Int|HRTInt.	[hrv]
32	Nova 24 TV|Nova24 TV.	[slo][slv]
33	Posavina TV|PosavinaTV.	[bos][hrv]
34	Laudato TV|LaudatoTV.	[cro][hrv]
35	SPTV|Sportska TV|SPTV (Sportska Televizija)|SPTV.	[cro][eng][hrv]
36	Zico TV	[alb]
37	RTV 21 M|TV 21 Macedonia|RTV 21 Macedonia (TV21 Maqedoni)	[alb][mac]
38	Digi 24	[rom][rum]
39	Etno TV|Etno TV (Romania)	[rom][rum]
40	TVR Cluj	[rom][rum]
41	TVR Craiova	[rom][rum]
42	TVR Iasi	[rom][rum]
43	TVR Timisoara	[rom][rum]
44	TVR Tirgu Mures|TVR Targu-Mures|TVR Tirgu-Mures	[rom][rum]
45	SNAI Virtuali 2|SNAI Sport Virtuali 2 HD|Virtuali 1	[ita]
46	SNAI Virtuali 3|SNAI Sport Virtuali 3 HD	[ita]
47	SNAI Virtuali 1|SNAI Virtuali 1 HD	[ita]
48	SNAI Virtuali 4 HD	[ita]
