No	Name	Lang
1	TIN - The Israeli Network|The Israeli Network	[heb]
2	Channel 21|Channel 21 Shop	[ger]
3	Nickelodeon Germany|Nickelodeon Deutschland (05.00-20.15)|Nickelodeon Deutschland	[eng][ger][qaa]
4	Comedy Central Germany|Comedy Central Deutschland	[ger]
5	HSE24 Extra|HSE 24 Extra	[ger]
6	BBC World News|BBC World News Europe	[eng]
7	Bloomberg Europe|Bloomberg TV Europe|Bloomberg	[eng][ger]
8	Deutsches Musik Fernsehen	[ger]
9	Servus TV Deutschland|ServusTV Deutschland|Servus TV	[eng][ger][qaa]
10	Deluxe Music	[ger]
11	Reaper (EPG Video)|Reaper	[eng]
12	Bars & Tone|Slate HD test card	[eng]
13	NLM TV|NLM TV (New Living Ministries)	[tam]
14	Italy Service 3	[aac][ita]
15	Italy Service 5	[aac][ita]
16	RTI La Première|RTI 1	[fra][fre]
17	ORTB|ORTB TV	[fra][fre]
18	RTS 1 Senegal|RTS 1	[fra][fre]
19	OPAP Horse Races|OPAP HR	[gre]
20	TVT International	[fr][fre]
21	RTB|RTB TV (Burkina Faso)|RTB TV	[fra][fre][ita]
22	RTS 2 Senegal|RTS 2 (Senegal)	[fra][fre]
23	EBS - Europe by Satellite|EbS|EbS HD Europe by Satellite|EbS : Europe by Satellite	[000][bul][cze][dan][den][dut][eng][esp][est][fin][fra][fre][ger][gle][gre][hrv][hun][iri][ita][lat][lav][lit][mis][mlt][ned][org][pol][por][qaa][rom][rum][slk][slo][slv][spa][swe]
24	EBS - Europe by Satellite|EbS+|EbS+ HD	[000][bul][cze][dan][den][dut][eng][esp][est][fin][fra][fre][ger][gle][gre][hrv][hun][iri][ita][lat][lav][lit][mis][mlt][ned][org][pol][por][qaa][rom][rum][slk][slo][slv][spa][swe]
25	NLM TV|NLM TV (New Living Ministries)	[tai][tam]
26	Italy Service 3	[ita]
27	Italy Service 5	[ita]
28	M1 HD|M1 (Hungary)|M1 HD (Magyar 1)	[hun][mul][qaa]
29	M2 HD|M2|M2 HD (Magyar 2)|Magyar 2 HD	[hun][mul][qaa]
30	Duna HD|Duna TV	[hun][mul][qaa]
31	M4 Sport HD|M4 Sport	[hun][mul][qaa]
32	M5 HD|M5|M5 HD (Magyar 5)	[hun][mul][qaa]
33	Love Nature HD|Love Nature	[eng][tur]
34	CCTV 4|CCTV 4 Europe|CCTV-4	[chi]
35	CCTV E|CGTN Español|CGTN-E	[esp][spa]
36	CCTV-R|CGTN Russkij|CGTN Russkiy|CGTN-R	[rus]
37	CGTN-A|CGTN Arabic	[ara]
38	CGTN Documentary	[eng]
39	M6 HD|M6 Suisse|M6 Suisse HD	[000][fra][fre][qaa][qad]
40	6ter|6ter Suisse|6ter HD|6 TER Suisse HD	[000][fra][fre][org][qaa][qad]
41	W9 Suisse HD|W9 Suisse	[000][fra][fre][org][qad]
42	RTG International|RTG International Russian Travel Guide|RTG int	[eng][rus][tur]
43	PCNE - Phoenix Chinese News & Entertainment|Phoenix InfoNews Channel|Phoenix Info News	[chi]
44	ORTM	[eng][fre]
45	Télé Sahel	[fra][fre]
46	Karusel Int|Karusel International	[rus]
47	BOYAH	[gre]
48	4E Hellas Orthodox|4E|4E Hellas Orthodox TV	[gre]
49	TV Oranje	[dut][ned]
50	Schlager TV	[ger]
51	Nashville TV	[eng]
52	NL Provinciaal 1|NL Pronvinciaal 1	[dut][ned]
53	NL Provinciaal 2|NL Pronvinciaal 2	[dut][ned]
54	Enjoy TV HD	[dut]
55	NTD TV (New Tang Dynasty TV)|NTD TV Europe|NTD TV East (New Tang Dynasty Euro-World Network)|NTDTV	[chi]
56	PTV Global|PTV Global UK & Europe	[eng][urd]
57	Niki Kids|NIKI Kids HD	[qaa][ukr]
58	Niki Junior|NIKI Junior HD	[qaa][ukr]
59	Eu Music|EU Music HD	[ukr]
60	4ever Music|4ever Music HD	[ukr]
61	24 HD Ukraine	[ukr]
62	Eutelsat promo|Eutelsat HD promo	[eng]
