No	Name	Lang
1	Gospel Channel Europe|Gospel Channel Scandinavia	[eng][nor]
2	Visjon Norge HD|TV Visjon Norge|Visjon Norge	[nor]
3	Kanal 10 Norge	[nor]
4	Vision Sverige|TV Vision Sverige	[swe]
5	Credo TV	[rom][rum]
6	CT 24	[cze]
7	1 Music Channel|Music Channel Romania	[rom][rum]
8	Focus Sat TV|Focus Sat promo|FocusSat promo	[rom][rum]
9	Galaxy 4	[hun]
10	Speranta TV	[rom][rum]
11	Telenor Testcard|Telenor promo	[eng]
12	Telenor Testcard	[eng]
13	CGTN	[eng]
14	CGTN Documentary	[eng]
15	Al Jazeera English|Aljazeera English|AlJazeera English	[eng]
16	Sky News International|Sky News	[eng]
17	History Channel HD Romania|History România|History Romania HD	[eng][hun]
18	History Channel Eastern Europe|History Europe	[ces][cze][eng][hun][rus][tur]
19	Crime & Investigation Network|Crime + Investigation UK|Crime + Investigation Europe	[ces][cze][eng]
20	U (Romania)|U TV (Romania)|U TV	[rom][rum]
