No	Name	Lang
1	KTV India|Khalsa TV	[eng]
2	Jewellery Maker	[eng]
3	CNN International Europe	[eng]
4	Ahlulbayt Satellite Channel|Ahlulbayt TV	[ara][eng]
5	Spotlight TV	[eng]
6	Sikh Channel|Sikh Channel Global	[eng][pan]
7	Hillsong|Hillsong Channel|Hill song	[eng]
8	Blaze|Blaze UK	[eng]
9	Inspiration Network|Inspiration TV|Inspirational TV	[eng]
10	Al Jazeera English|Aljazeera English	[eng]
11	Arise News	[eng]
12	Geo News International	[urd]
13	Gems.tv|Gems TV	[eng]
14	Islam Channel	[ara][eng]
15	Studio 66 TV 2	[eng]
16	Studio 66 TV 3	[eng]
17	Faith Channel|Faith UK	[eng]
18	High Street TV 3	[eng]
19	Brit Asia TV	[eng]
20	Ary Family|ARY Family UK|ARY Family	[eng][urd]
21	Sanskar TV	[hin]
22	Dunya News|Dunya News UK	[urd]
23	MATV National|MATV Channel	[eng]
24	New Vision TV|New Vision TV (ARY World)	[eng]
25	Islam Channel|Islam TV	[ara][eng]
26	Iqra Bangla	[ben]
27	Iqraa TV|Iqra TV	[ara][eng]
28	BET U.K.|BET International|BET UK	[eng]
29	A1TV|A1 TV	[eng]
30	NHK World HD|NHK World Japan|NHK World Japan HD|NHK World TV HD	[eng]
31	RT HD|RT UK|RT News HD	[eng]
32	Arirang TV HD|Arirang World|Arirang World HD	[eng][kor]
33	CGTN HD|CGTN	[eng]
34	PCNE - Phoenix Chinese News & Entertainment|Phoenix CNE	[chi][eng]
35	Islam Channel|Islam Channel Urdu	[ara][eng][urd]
36	MTA International|MTA 1	[000][ara][ben][eng][fra][fre][ger][org][qaa][urd]
37	TBN UK|TBN Europe	[eng]
38	Smithsonian Channel|Smithsonian Channel UK|Revelation	[eng]
39	Revelation TV|Revelation TV (UK)|EWTN Europe	[eng]
40	EWTN Europe|EWTN UK & Ireland	[eng]
41	Magic (UK)|Magic TV (UK)|Magic UK	[eng]
42	The Box|The Box UK	[eng]
43	Box Hits	[eng]
44	Kiss TV (UK)|Kiss	[eng]
45	Kerrang !|Kerrang!	[eng]
46	PTC Punjabi	[pag][pan][pun]
47	Samaa TV	[eng][urd]
48	NTV (National TV)|NTV Europe|NTV Bangladesh	[ben]
49	BEN - Bright Entertainment Network|BEN TV|BEN	[eng]
50	Euronews English|EuroNews English|EuroNews UK	[eng]
51	British Muslim|British Muslim TV	[eng]
52	TV One UK|TV One (UK)|TV One	[eng][urd]
53	Cruise First TV|Cruise 1st TV|CruiseDeals TV|Cruise1st TV	[ara][eng]
54	Aastha TV International|Aastha UK|Aastha TV UK	[eng][hin]
55	Primal Living	[eng]
56	TRT World	[eng]
57	CNBC Europe|CNBC UK|CNBC Uk	[eng]
58	Venus|Venus TV	[eng]
59	Hidayat TV	[eng][urd]
60	Madani Channel|Madani Channel English	[eng][urd]
61	Vox Africa|Voxafrica UK	[eng]
62	CGTN	[eng]
63	Retro Movies	[eng]
64	TVC News	[eng]
65	QVC Extra	[eng]
66	QVC Style|QVC Style UK	[eng]
67	QVC Beauty	[eng]
68	QVC U.K.|QVC UK	[eng]
69	Smithsonian Channel UK|Smithsonian HD	[eng]
70	TRT World HD|TRT World	[eng]
71	ATN Bangla|ATN Bangla UK	[ben]
72	Channel S|Channel S Bangladesh	[ben][eng]
73	Ahlebait TV|Ahlebait TV Networks	[eng]
74	Xpanded TV 2|X*Xpanded TV	[eng]
75	Talking Pictures TV|Talking Pictures	[eng]
76	Faith Channel|Faith World TV	[eng]
77	KICC TV	[eng]
78	Xpanded TV	[eng]
79	The Word Network	[eng]
80	Showcase|Showcase TV	[eng]
81	92 News	[eng][urd]
82	iON TV|Ion TV	[ben][eng]
83	22617|[test card]|test card	[eng]
84	Paversshoes TV|Pavers Shoes TV	[eng]
85	Channel 44 UK|UK 44	[urd]
86	Sangat TV	[pun]
87	Hochanda	[eng]
88	High Street TV 2	[eng]
89	Good News TV|GoodNews TV	[eng]
90	High Street TV 4	[eng]
91	Yanga!|Yanga! TV	[eng]
92	Noor TV|Noor TV (UK)|Noor TV UK	[eng][urd]
93	Clubland TV	[eng]
94	Now 90&acute;s|Now 90's|Now 90s	[eng]
95	GEO Kahani|Geo Kahani UK|Geo Kahani	[eng][urd]
96	NDTV 24x7	[eng]
97	My Channel UK|MyTV|My Channel	[eng]
98	Celebration TV	[eng]
99	PTV Global|PTV Global UK & Europe	[urd]
100	Live 360	[eng]
101	Dunamis TV	[eng]
102	High Street TV 5	[eng]
103	Best Direct|Best Direct UK	[eng]
104	GOD Europe|God TV UK	[eng]
105	Russia Today|RT UK|RT English	[eng]
106	Travelxp|Travelxp HD Europe	[eng]
107	Republic Bharat	[eng][hin]
108	JML Solutions|JML Direct	[eng]
109	Aaj Tak|Aaj Tak UK	[eng][hin]
110	ABP News|ABP News UK	[eng][hin]
111	ROK TV|Rok Sky|ROK	[eng]
112	High Street TV|High Street TV 1	[eng]
113	TV Warehouse	[eng]
114	Geo TV|Geo UK	[urd]
115	Foodxp	[eng][hin]
116	Kanshi TV	[eng]
117	Now 70's|Now 70s	[eng]
118	Babestation|Babenation	[eng]
119	Eman Channel	[eng]
120	Al Jazeera English HD|Aljazeera English	[eng][nar]
121	Channels 24	[eng]
122	Meet the Babes|Babecall|Meet the B*b*s	[eng]
123	Jewellery Channel|TJC|The Jewellery Channel	[eng]
124	Channel 7 UK|Channel 7 (Ghana)|Channel 7	[eng]
125	Thane Direct|Thane	[eng]
126	Craft Extra	[eng]
127	HUM Masala|Hum Masala UK|Hum Masala	[urd]
128	Now 80&acute;s|Now 80's|NOW 80s	[eng]
129	Ideal Extra	[eng]
130	Takbeer TV	[ara][eng]
131	SonLife Broadcasting Network|SBN International	[eng][esp][spa]
132	HUM News|Hum News	[urd]
133	Psychic Today|Psychic Today (10-23)|Psychic Today (Time Sharing)	[eng]
134	Hum Europe|Hum TV Europe	[urd]
135	unnamed HD	[eng]
136	Cruise Channel|Cruise	[eng]
137	Akaal Channel	[eng][pan]
138	Abu Dhabi TV Europe	[ara]
139	Ideal World HD|Ideal World	[eng]
140	Create & Craft HD|Create and Craft	[eng]
141	Iran International HD|Iran International	[far][per]
142	LoveWorldSat HD|Loveworld TV|LoveWorld HD	[eng]
143	CNN International HD|CNN International Europe|CNN International Europe HD|CNN HD	[eng]
144	Daystar HD|Daystar TV	[eng]
145	TV Record HD|Record TV Reino Unido	[por]
146	Bloomberg UK HD|Bloomberg TV UK|Bloomberg TV Europe HD	[eng]
