No	Name	Lang
1	Mainfranken HD|TV Mainfranken|Main TV HD (01-02 & 03-04 & 07-08 & 09-10 & 13-14 & 15-16 & 19-20 & 21-22)	[ger]
2	Franken Fernsehen|Franken Fernsehen HD	[ger]
3	TVA-OTV|TVA Ostbayern|TVA Ostbayern HD	[ger]
4	TV Oberfranken|TV Oberfranken HD	[ger]
5	Niederbayern TV|Niederbayern TV Passau|Niederbayern HD	[ger]
6	Oberpfalz TV HD|Oberpfalz TV	[ger]
7		
8		
9	Tagesschau 24	[ger]
10	One|One (ARD)	[000][ger][mis][org][qaa]
11	Arte (Germany)|ARTE Deutsch|Arte Deutsch	[fra][fre][ger][mis][mul]
12	Phoenix	[ger][mul][org][qaa]
13	Test-R	[ger]
14		
15		
16		
17	Anixe HD|Anixe HD Serie	[ger]
18	QVC HD Germany|QVC Deutschland|QVC Deutschland HD|QVC HD	[ger]
19	HSE24 HD|HSE 24|HSE 24 HD	[ger]
20	Sophia TV|Sophia TV Deutsch	[ger]
21	Genius Plus TV	[ger]
22		
23		
24		
25	HSE24 Extra HD|HSE 24 Extra|HSE 24 Extra HD	[ger]
26	1-2-3.tv HD|1-2-3 TV (05-02)|1-2-3.TV HD|123tv HD	[ger]
27	QVC 2 HD|QVC Zwei|QVC 2 Deutschland HD	[ger]
28		
29		
30	RADIOS	[vo]
31		
32	PORTADA	[esp]
33	Bajo Demanda	[esp][spa][vo]
34		[esp][vo]
35	GUÍA	[esp]
36		[esp]
37		[esp]
38		[esp]
39	ALQUILER	[esp][vo]
40	PORTADA|Canal Portada	[esp][spa]
41		[esp]
42		[esp]
43		[esp][vo]
44	CONTRATO	[esp][vo]
45	TEST_CSD1	
46	TEST_CSD2	[esp]
47	TEST_CSD3	
48	TEST_CSD4	[esp]
49		[esp][vo]
50		[esp]
51		[esp]
52		[esp]
53		[esp]
54		[esp]
55		[esp]
56		[esp]
57	GUÍA FÁCIL|CANAL GUÍA	[esp][spa][vo]
58		
59		
60		
61	rbb Brandenburg HD|RBB Brandenburg (19.30-20.00)|RBB Brandenburg HD	[ger][mis][qaa]
62	rbb Berlin HD|RBB Berlin|RBB Berlin HD	[ger][mis][qaa]
63	MDR Sachsen HD|MDR Fernsehen Sachsen (19.00-19.30 & Wed 21.15-21.45)|MDR Fernsehen Sachsen HD	[ger][mis][qaa]
64	MDR S-Anhalt HD|MDR Fernsehen Sachsen-Anhalt|MDR Fernsehen Sachsen-Anhalt HD	[ger][mis][qaa]
65	MDR Thüringen HD|MDR Fernsehen Thüringen (19.00-19.30 & Wed 21.15-21.45)|MDR Fernsehen Thüringen HD	[ger][mis][qaa]
66	hr-fernsehen HD|HR Fernsehen|HR Fernsehen HD	[ger][mis][qaa]
67		
68	Genius Family|Family TV	[ger]
69	Zee One|Zee One Deutschland	[ger]
70	Sky Sport News Germany|Sky Sport News|Sky Sport News Deutschland	[ger]
71	HGTV|HGTV Deutschland	[ger]
72	Mediashop Life|MediaShop|MediaShop-Meine Einkaufswelt	[ger]
73		
74	Zee One HD|Zee One|Zee One HD Deutschland	[ger]
75	Handystar TV HD|Handystar|Sparhandy TV 2 HD	[ger]
76	Channel 21 HD|Channel 21 (Germany)	[ger]
77	QVC Style HD|QVC Style Deutschland	[ger]
78		
79		
80		[esp][qaa]
81	Tagesschau 24 HD|Tagesschau 24|tagesschau24 HD	[ger]
82	One HD|One|One HD (ARD)	[ger][mis]
83	ARD-alpha HD|ARD Alpha|ARD Alpha HD	[ger][mis]
84	SR Fernsehen HD|SR Fernsehen	[ger][mis]
85	Radio Bremen HD|Radio Bremen TV|Radio Bremen TV HD	[ger][mis]
86	RT Español	[esp][spa]
87	TV Record|Record TV Europa	[por]
88	Telesur|Telesur (Venezuela)	[esp][spa]
89	I24 News Français|I24 News (French)|I24 News	[fra][fre]
90	Multi-X	[mx1][mx2][mx3]
91		
92		
93		
94		
95		
96		
97		
98	Canal Sur Andalucia|Canal Sur Andalucía	[esp][spa]
99		
100		
101		
102	CNBC Europe HD|CNBC Europe	[eng]
103	TRWAM|TV TRWAM	[pol]
104	BBC World News Europe HD|BBC World News Europe	[eng]
105	NHK World HD|NHK World Japan|NHK World Japan HD|NHK World TV HD	[eng]
106	Al Jazeera English HD|Aljazeera English	[eng]
107	Mont Blanc Live|MB Live TV|Mont Blanc Live HD	[fra][fre]
108	Volksmusik TV|Volksmusik	[ger]
109	Bibel TV HD|Bibel TV	[ger]
110	Schau TV HD|Schau TV	[ger]
111	StarParadies Österreich|StarParadies TV Österreich|StarParadies AT	[ger]
112	Hope Channel HD Germany|Hope Channel Deutsch|Hope Channel Deutsch HD|Hope Channel Deutsch HD info card	[ger]
113	RTL Plus Austria|RTL Plus Österreich|RTL plus Austria info card	[ger]
114		
115		
116	Flimmit|[Flimmit info card]|Flimmit HD|Flimmit (HbbTV)	[ger]
117	Aristo.TV|Aristo TV	[ger]
118	R9 Österreich HD|R9|R9 Österreich info card	[ger]
119	Krone TV|[Krone TV info card]	[ger]
120	oe24.TV|Oe24 TV|oe24 TV HD|oe24 TV	[ger]
121	StarParadies Österreich|StarParadies TV Österreich	[ger]
122	GoTV	[ger]
123	Melodie TV|Melodie TV (19-22)|MelodieTV	[ger]
124	Rai News 24|RAI News 24	[ita]
125	CBNN HD|CBNN|CBNN HD (Crypto Blockchain News Network)	[eng]
126	Deutschland Vozrozhdenie|Deutschland Vozrozhdeniye	[ger][ukr]
127	Servus TV HD Deutschland|Servus TV Österreich|ServusTV HD Deutschland	[eng][ger]
128		
129		
130		
131	3sat HD|3sat|3 Sat HD	[ger][mis][mul][qaa]
132	KiKa HD|KIKA (06-21)|KiKa HD (06-21)|KiKA HD	[ger][mis]
133	ZDFinfo HD|ZDF Info	[ger][mis][mul][qaa]
134	ZDF HD|ZDF	[ger][mis][mul][qaa]
135	ZDF_neo HD|ZDF Neo|ZDF Neo HD|zdf_neo HD	[ger][mis][mul][qaa]
136	Telesur HD|Telesur (Venezuela)	[esp][spa]
137	RT HD|RT News|RT News HD	[eng]
138	RT Español HD|RT Español	[esp][spa]
139	RT France HD|RT France	[fra][fre]
140	Extremadura TV|Canal Extremadura Satélite|Canal Extremadura Sat	[esp][spa]
141	Galicia TV HD|Galicia TV Europa|Galicia TV Europa HD	[esp][glg]
142	RT Esp HD	[esp]
143	RTL 2 Schweiz|RTL Zwei Schweiz	[ger]
144	Die Neue Zeit TV	[ger]
145	Das Erste HD|Das Erste	[ger][mis][qaa]
146	Arte HD|ARTE Deutsch|ARTE Deutsch HD|arte HD	[fra][fre][ger][mis][mul]
147	Südwest Fernsehen Baden-Württemberg HD|SWR Fernsehen Baden-Württemberg|SWR BW HD	[ger][mis][qaa]
148	Sudwest Fernsehen Rheinland-Pfalz HD|SWR Fernsehen Rheinland-Pfalz (Mon-Sun 18-20 & Thu 20.15-21.00 & Mon-Fri 21.45-22.00 & Sun 21.45-22.45)|SWR RP HD	[ger][mis][qaa]
149	Cubavision Internacional|Cubavisión Internacional	[esp][spa]
150	Al Jazeera Satellite Channel|Aljazeera Channel|Al Jazeera Channel	[ara]
151	Arirang TV|Arirang World	[eng][kor]
152	France 24 (en Français)|France 24 Français	[fra][fre]
153	France 24 (in English)|France 24 English	[eng]
154	CGTN Documentary|CCTV9 Documentary	[eng][fre]
155	CCTV F|CGTN Français	[fra][fre]
156	CGTN|CCTV News	[eng]
157	TV5 Monde Europe|TV 5 Monde Europe	[fra][fre]
158	TRT World HD|TRT World	[eng]
159	a.tv|Augsburg TV|Augsburg TV HD	[ger]
160	münchen.tv HD|München TV|München TV HD	[ger]
161	RFO (Germany)|RFO|RFO HD (18-24)	[ger]
162	Ulm-Allgäu|Allgäu TV (18-24)|TV Allgäu HD (18-24)|TV Allgäu HD	[ger]
163	intv|TV Ingolstadt|TV Ingolstadt HD (18-24)	[ger]
164	Lokal-TV-Portal HD|[Lokal-TV-Portal info card]|Lokal TV Portal HD	[ger]
165	BB-MV-Lokal TV|BB-MV Lokal TV	[ger]
166	Bayerisches Fernsehen Süd HD|Bayerisches Fernsehen Süd|BR Süd HD	[ger][mis][qaa]
167	Bayerisches Fernsehen Nord HD|Bayerisches Fernsehen Nord (Mon-Fri 17.35-18.00 & Sat 18.05-18.45 & Sun 23.00-23.15)|BR Nord HD	[ger][mis][qaa]
168	NDR Niedersachsen HD|NDR Fernsehen Niedersachsen|NDR Fernsehen Niedersachsen HD|NDR FS NDS HD	[ger][mis][qaa]
169	NDR Mecklenburg-Vorpommern HD|NDR Fernsehen Mecklenburg-Vorpommern (18.00-18.15 & 19.30-20.00)|NDR Fernsehen Mecklenburg-Vorpommern HD|NDR FS MV HD	[ger][mis][qaa]
170	NDR Hamburg HD|NDR Fernsehen Hamburg (18.00-18.15 & 19.30-20.00)|NDR Fernsehen Hamburg|NDR FS HH HD	[ger][mis][qaa]
171	NDR Schleswig Holstein HD|NDR Fernsehen Schleswig-Holstein (18.00-18.15 & 19.30-20.00)|NDR Fernsehen Schleswig-Holstein HD|NDR FS SH HD	[ger][mis][qaa]
172	Phoenix HD|Phoenix|PHOENIX HD	[ger][mul][qaa]
173	CNBC Europe	[eng]
174	Bloomberg Europe|Bloomberg TV Europe	[eng]
175	SonLife Broadcasting Network|SBN International	[eng][esp][spa]
176	Algerie 3|Algérie 3|Algérie 3 (Thalitha TV)|Algeria 3	[ara][fra]
177	Canal Algérie|Canal Algérie 2	[ara][fra]
178	Kaufbei.tv|KaufBei TV|Kaufbei TV	[ger][rus]
179	TBN Russia|TBN Rossiya	[rus]
180	TV 8 Russia|8 Kanal International|8 Kanal International Russia	[rus]
181	TV Rus	[rus]
182	CNN International Europe	[eng]
183	DW-TV (Deutsche Welle)|DW English	[eng]
184	Al Jazeera English|Aljazeera English	[eng]
185	Puls 24 HD|Puls 24|Puls 24 HD Austria	[ger]
186	SAT.1 Gold Österreich|Sat. 1 Gold Österreich|Sat.1 Gold Austria	[ger]
187	ProSieben MAXX Austria|ProSieben Maxx Austria	[ger]
188	Kabel 1 Doku Austria|Kabel Eins Doku Austria|Kabel eins Doku Austria|Kabel Eins Classics	[ger]
189	.	[esp][vo]
190	Aragón Sat|Aragón TV Internacional|Aragón TV Int|Aragón TV	[esp][spa]
191	Das Erste	[ger][mis][vo]
192	Bayerisches Fernsehen Süd|Bayerisches Fernsehen Sat|Bayerisches FS Süd	[ger][mis]
193	Hessen Fernsehen|HR Fernsehen|hr Fernsehen	[ger][mis]
