No	Name	Lang
1	Teszt V|[test card]|T-Home test card	[aac][hun][zxx]
2	Pervy Delovoy|Pershiy Diloviy|Pershiy Diloviy (First Business Channel)	[ukr]
3	UA:Zakarpattya|UA: Zakarpattya	[ukr]
4	112 Ukraine|112 Ukraïna|112 Ukraine SD	[ukr]
5	Pryamiy HD|Pryamyy	[ukr]
6	News One|News One (Ukraine)	[ukr]
7	DoTB|UA: Donbas|UA: Donbass	[ukr]
8	Zik (Ukraine)|Telekanal Zik|ZIK	[ukr]
9	112 Ukraine HD|112 Ukraïna	[ukr]
10	Milady Television|Milady TV	[ukr]
11	ICTV|ICTV (Ukraine)|ICTV UA	[ukr]
12	News 24 (Ukraine)|24 Ukraine|News 24	[eng][rus][ukr]
13	Eko-TV|Eko TV|ECO TV	[ukr]
14	Pryamiy|Pryamyy	[ukr]
15	UA Krym|UA: Krym|UA:Crimea	[ukr]
16	Teszt H|[T-Home test card]|Teszt	[aac][hun]
