No	Name	Lang
1	CGTN Documentary HD|CGTN Documentary	[eng]
2	TRT Avaz	[tur]
3	TRT 2 HD|TRT 2	[eng][qaa][tur]
4	TRT Arabi|TRT Arapça (TRT Arabi)	[ara][tur]
5	TRT Türk	[tur]
6	TRT 6|TRT Kurdî|TRT Kurdi	[kur][org][qaa][sor][tur][zaz]
7	TRT 3 Spor|TRT 3 Spor / TBMM TV (6.58-5.58)	[eng][tur]
8	TRT Spor 2 HD|TRT Spor 2	[tur]
9	TRT Müzik	[tur]
10	TRT Çocuk	[qaa][tur]
11	TRT Haber HD|TRT Haber	[tur]
12	TRT Belgesel HD|TRT Belgesel	[org][qaa][tur][vo]
13	TRT Spor HD|TRT Spor	[tur]
14	TJK TV|TJK TV (Türkiye Jokey Kulübü)	[tur]
15	TRT World HD|TRT World	[eng][tue]
16	CGTN HD|CGTN	[eng]
17	Pars TV|Pars TV (PTN)	[eng][per]
18	Andisheh TV	[eng][per]
19	TFM Senegal|TFM	[fra][fre]
20	Iran International	[eng][per]
21	Kanal Yek TV|Channel Yek	[far][per]
22	TPA International|TPA Internacional	[por]
23	Rah-e-Farda TV|Iranefarda TV|Iran-e Farda TV|Iranefarda	[afg][per]
24	TRT Diyanet HD|Diyanet TV|Diyanet TV HD	[tur]
25	TRT RADYO 3|TRT Radyo 3|-R- TRT Radyo 3	[tur]
26	SHOW RADYO|Show Radyo|-R- Show Radyo	[tur]
27	RADYO VİVA|Radyo Viva|-R- Radyo Viva	[tur]
28	TRT NAĞME|TRT Nagme|-R- TRT Nağme	[tur]
29	TRT TÜRKÜ|TRT Türkü|-R- TRT Türkü	[tur]
30	TRT FM|-R- TRT FM	[tur]
31	TRT 1 HD|TRT 1	[tur]
