No	Name	Lang
1	Canal Digitaal Infokanal|CD Infokanaal|Canal Digitaal infokanaal	[dut][ned]
2	TVV Infokanaal|TV Vlaanderen Infokanaal	[dut][ned]
3	RTS Svet HD|RTS Svet	[ser][srp]
4	German Tote TV|German Tote	[ger]
5	Regionalni TV|Regionální TV|Regionální Televize	[cze]
6	Òcko|Ócko|Ócko TV|Ocko TV	[cze]
7	Ocko Star|Ócko Star|Ócko Star info card	[aac][cze]
8	TV Lux HD|TV Lux	[slk][slo]
9	Chamber TV HD|Chamber TV|Chamber TV (Luxembourg)	[ltz][lux]
10	RTL Tele Letzebuerg|RTL|RTL Télé Lëtzebuerg (18-15)|RTL Tele Letzebuerg (Luxembourg)	[fra][fre][ltz][lux]
11	Teleippica 1|[Teleippica 1 test card]	[ita]
12		
13	TV Rebel|Rebel	[cze]
14	TV Relax|Relax	[ces][cze]
15	TV Drenthe	[dut][ned]
16	CT 24 HD|CT 24	[cze]
17	Noe TV HD|TV Noe|TV Noe HD|NOE TV	[cze]
18	TV8 HD Slovakia|TV Osem|Televízia Osem HD	[slk][slo]
19	Uci Doma 1|Uci Doma TV 1	[ser][srp]
20	Uci Doma 2|Uci Doma TV 2	[ser][srp]
