No	Name	Lang
1	TVP Info HD|TVP Info	[pol]
2	Stars.TV|Stars TV	[pol]
3	4 Fun TV|4fun TV	[pol][qaa]
4	4FUN Gold Hits|4 Fun Gold|4Fun Gold Hits|4fun Gold Hits	[pol][qaa]
5	4FUN Dance|4 Fun Dance|4fun Dance	[pol][qaa]
6	ESKA TV Extra|Eska TV Extra	[pol]
7	IRINN - Iranian News Network|IRINN	[far][per]
8	IRIB Quran|Quran TV (Iran)	[far][per]
9	iFilm|IFilm Persian|iFilm TV	[ara][per]
10	Irib Nasim|Nasim|IRIB Nasim	[far][per]
11	IRIB TV 1|Jame-Jam TV Network	[far][per]
12	Jaam-e-Jaam TV 2|Jame-Jam TV Network|Jame-Jam TV 2	[aac][far][per]
13	IRIB TV 3|Jame-Jam TV Network|Jame-Jam TV 3	[far][per]
14	Sahar TV Francophone|Sahar Balkan|Sahar Balkan (Bosanski)	[bos][fra]
15	Sahar TV Azari|Sahar Azeri	[aze][far]
16	Sahar Universal Network 2|Sahar Urdu	[urd]
17	Sahar TV Kurdish|Sahar Kurdi	[far][kur]
18	Al Kawthar|Alkawthar TV	[ara][far]
19	Press TV HD|Press TV	[eng]
20	Hispan TV	[far][spa]
21	iFilm English|IFilm English	[eng][far][per]
22	TVS - TV Silesia|TVS|TV Silesia	[pol]
23	VOTV|Vozrozhdeniye|VOTV (Vozrojdenie TV)|Vozrojdenie.tv	[eng][rus][ukr]
24	BVN - Beste van Vlaanderen en Nederland|BVN Europa|BVN TV Europa|BVN	[dut][ned]
25	CNL Russia|CNL Evropa|CNL	[rus]
26	Fashion One|Fashion One Europe	[eng]
27	TBN Russia|TBN Rossiya	[rus]
28	Thai TV Global Network	[tha]
29	TVK	[kh][khm]
30	The Word Network	[eng]
31	Red Carpet TV|Red Carpet|Red Carpet TV HD	[pol]
32	Al Maghribia|Al Maghribia HD (5)|Al Maghribya	[ara][fra]
33	Al Aoula Laayoune|Al Aoula Middle East|Al Aoula Laayoune HD (1)	[ara][fra]
34	Al Aoula Inter HD|Al Aoula Europe|Al Aoula Inter HD (1)	[ara]
35	Athaqafia HD|Athaqafia|Athaqafia HD (4)	[ara]
36	Al Aoula Inter|Al Aoula Europe|Al Aoula Inter (1)	[ara][fra]
37	Assadissa|Assadissa HD (6)	[ara]
38	Medi 1 TV|Medi 1 TV Maghreb	[ara][fra][fre]
39	Arryadia HD|Arryadia|Arryadia (3)	[ara]
40	Tamazight HD|Tamazight|Tamazight HD (8)	[ber][tac][tam][tar]
41	NC+ info card	[pol][qaa]
42	Kazakh TV HD|Kazakh TV	[eng][kaz][kir][rus][uzb]
43	HSE 24 Italia	[ita]
44	UA TV	[rus][ukr]
45	Al Hiwar TV|Al Hiwar HD	[ara]
46	EWTN Europe|EWTN UK & Ireland	[eng]
47	CNBC Europe	[eng]
48	Rai 1	[ita][qaa][vo]
49	Rai 2	[eng][ita][qaa][vo]
50	Rai 3	[ita][vo]
51	Rai News 24|RAI News 24	[ita]
52	Algérie 5|TV 5 Coran|Algérie 5 (TV Coran)	[ara]
53	Algérie 4|TV 4 Amazigh|Algérie 4 (TV Tamazight)	[ber]
54	TNT Comedy|TNT International Europe|TNT International	[rus]
55	112 Ukraine HD|112 Ukraïna	[ukr]
56	2M Monde	[ara][fra]
57	CGTN	[eng]
58	TV Rus	[rus]
59	RTR Planeta	[rus]
60	BestMarket TV|BestMarket	[rus]
61	Rossiya 24	[rus]
62	NTV Mir	[rus]
63	Ganj e Hozour TV	[far][per]
64	TV 8 Russia|8 Kanal International|8 Kanal International Russia	[rus]
65	Arti TV|Artı TV	[tur]
66	MC EU	[tur]
67	MB Sat - Test 1|Media Broadcast Satellite promo|Media Broadcast promo	[ger]
68	Jin TV|Jin TV HD	[kur]
69	Can TV|Can TV HD	[tur]
70	Iran Aryaee|Iran e Aryaee TV	[far][per]
71	MB Sat - Test 2	[ger]
72	MB Sat - Test 3	[ger]
73	MB Sat - Test 4	[ger]
74	MB Sat - Test 5	[ger]
75	MB Sat - Test 6	[ger]
76	Aristo.TV|Aristo TV	[ger]
77	Anixe TV|Anixe +|Anixe Plus HD	[ger]
78	Anixe HD|Anixe HD Serie	[ger]
79	TVP Polonia	[pol]
80	Bloomberg Europe|Bloomberg TV Europe	[eng]
81	Al Jazeera English|Aljazeera English	[eng]
82	Al Jazeera English HD|Aljazeera English	[eng]
83	TV5 Monde Europe|TV 5 Monde Europe	[fra][fre]
84	Bartar TV	[far][per]
85	Manoto 1|Manoto|Manoto TV	[far][per]
86	Al Karma|Alkarma TV Middle East 1|Alkarma TV Middle East	[ara]
87	Fashion TV|Fashion TV Europe	[eng]
88	Juwelo TV Italia|Juwelo Italia	[ita]
89	Coptic TV|CTV (Egypt)|C TV	[ara]
90	Marjaeyat|Marjaeyat TV Hotbird	[ara][far][per]
91	Radio Radio TV	[eng][ita]
92	Canale Italia 2	[ita]
93	TeleCampione|TLC Telecampione	[ita]
94	Regal TV	[ita]
95	ART Invest|Arte Investimenti	[ita]
96	Telecupole	[ita]
97	All Inn Channel|All In Channel	[ita]
98	Mohabat TV	[far][per]
99	Deluxe 139 (Veneto Link / Blu)	[ita]
100	.BLU	[ita]
101	MTA 3 Al Arabiyah|MTA 3|MTA International	[ara]
102	KICC TV	[eng]
103	Gunaz TV|GünAz TV	[aze]
104	Omid TV (USA)|Umut / Omid (time sharing)|Umut (time sharing)	[far][per][tur]
105	Ukraine 24|Ukraïna 24|Ukraina 24	[aac][ukr]
106	Novy Mir|Noviy Mir	[rus]
107	Russia Today|RT News|RT English	[eng]
108	Freedom TV	
109	CBC Azerbaycan|CBC (Azerbaijan)|CBC TV (Caspian Broadcasting Company)|CBC (Caspian Broadcasting Company)	[aze]
110	Yemen TV	[ara]
111	Kurdsat|KurdSat|Kurdsat News	[kur]
112	Nour TV	[ara][per]
113	STV Xezer|Xezer TV|Xəzər TV	[aze][tur]
114	Lalish TV	[fas][kur]
115	Kazakh TV	[eng][kaz][kir][rus][uzb]
116	Az TV 1|Az TV	[aze]
117	Medya Haber	[eng][kur][tur]
118	Armenia 1 TV|Armenia 1 TV Satellite|Armenia 1 TV Satellite (AMP TV International)	[arm]
119	Armenia TV|Armenia TV Europe|Armenia 1 TV	[arm]
120	SonLife Broadcasting Network|SBN International|SBN	[eng][esp][spa]
121	RTP International|RTP Internacional Europa	[por]
122	Iran International HD|Iran International	[far][per]
123	Nasa TV|NASA TV Public|NASA HD|NASA TV HD	[eng]
124	Rudaw HD|Rûdaw|Rûdaw HD	[eng][kur]
125	Waar TV HD|Waar TV	[ara][kur]
126	Kurdistan 24 HD|Kurdistan 24	[kur][sor]
127	Parole di Vita	[ita]
128	World Fashion Channel|World Fashion Channel International|World Fashion Channel International HD	[eng]
129	Tesory Channel	[ita]
130	NHK World HD|NHK World Japan|NHK World Japan HD	[eng]
131	Iraqia News HD|Iraqia News|Al Iraqia News HD	[ara]
132	ETV News	[amh][eng]
133	Mango 24|Mango	[pol]
134	Nuta TV	[pol]
135	NTL|NTL Radomsko	[pol]
136	Top Kids|Junior Music (Top Kids Jr)	[pol]
137	Power TV (Poland)|Power TV	[pol]
138	TO!TV|To!TV	[pol]
139	MANGO 24_	[pol]
140	Wesal Al Haq|Wesal Haq	[ara]
141	ES TV|ESTV	[amh]
142	Telefeshinka Caalamiga|Telefishinka Caalamiga (Time Sharing)	[som]
143	Azadi Television|Azadi TV|TV Azadi	[far][per]
144	SNTV|Somali National TV	[som]
145	Platforma Canal+ info card	[eng][pol]
146	SRF info HD|SRF Info	[eng][ger]
147	Test14054	[eng][ger]
148	Simaye Azadi HD|Simay-Azadi Iran National TV|Simaye Azadi Iran National TV	[far][per]
149	TG Norba 24	[ita]
150	Qatar TV HD|Qatar TV	[ara]
151	TRT Arabi HD|TRT Arabi|TRT Arapça HD (TRT Arabi)	[ara]
152	Belarus 24 HD|Belarus 24	[bel][rus]
153	Euronews HD|EuroNews English|EuroNews HD	[eng]
154	Kuwait TV|KTV 1 (Kuwait)|Kuwait TV 1 HD	[ara]
155	TRT World HD|TRT World	[eng]
156	Bahrain TV|Bahrain TV HD	[ara]
157	France 24 HD (en Francais)|France 24 Français|France 24 Français HD	[fra][fre]
158	France 24 HD (in English)|France 24 English|France 24 English HD	[eng][fre]
159	CCTV 4|CCTV 4 Europe|CCTV 4 Europe HD	[chi]
160	CGTN|CGTN HD	[eng]
161	CGTN Documentary	[eng]
162	CGTN Espaňol HD|CGTN Español|CGTN Español HD	[eng][spa]
163	CGTN Français HD|CGTN Français	[fra][fre]
164	TV Congo|Tele Congo	[fra][fre]
165	Arirang TV|Arirang World	[eng][kor]
166	Soyuz TV|Soyuz	[rus]
167	ERT World|ERT World Europe	[gre]
168	RTL 102.5 TV HD|RTL 102.5 RadioVisione|RTL 102.5 FM	[ita]
169	Radio Freccia HD|Radio Freccia TV|Radio Freccia TV HD	[ita]
170	i24News HD Français|I24 News Français|I24 News HD (French)	[eng][fra][fre]
171	i24News HD English|I24 News English|I24 News HD (English)	[eng][fre]
172	Radionorba TV	[ita]
173	KBS World HD|KBS World	[eng][kor]
174	HRT International|HRT Int	[cro][hrv]
175	Eutelsat Promo|Sat TV promo|Sat TV HD	[eng]
