No	Freq	Pol	Beam	SID	Name	Lang
	10721	H	Europe B	1	BBC Persian	[per]
	10721	H	Europe B	2	Simay-Azadi Iran National TV	[per]
	10721	H	Europe B	7355	Manoto	[per]
	10721	H	Europe B	8601	Rangarang TV Network	[per]
	10721	H	Europe B	9003	Mihan Radio	[per]
	10721	V	West	13907	BBC World Service English Europe	[eng]
	10721	V	West	13909	BBC World Service English Australasia	[eng]
	10721	V	West	13910	BBC World Service English News	[eng]
	10721	V	West	13916	BBC World Service Arabic	[ara]
	10721	V	West	13943	BBC World Service Afghanistan	
	10721	V	West	13980	@ OpenSky	
1	10804	H	West	2520	CGTN Documentary	[eng]
2	10804	V	West	8501	TRT Avaz	[tur]
3	10804	V	West	8502	TRT 2	[qaa][tur]
4	10804	V	West	8503	TRT Arabi	[ara][tur]
5	10804	V	West	8505	TRT Türk	[tur]
6	10804	V	West	8506	TRT Kurdî	[kur][qaa]
	10804	V	West	8507	TBMM TV (Mon-Wed 14-19)	[tur]
8	10804	V	West	8509	TRT Spor 2	[tur]
9	10804	V	West	8510	TRT Müzik	[tur]
10	10804	V	West	8511	TRT Çocuk	[qaa][tur]
11	10804	V	West	8513	TRT Haber	[tur]
12	10804	V	West	8514	TRT Belgesel	[qaa][tur]
13	10804	V	West	8515	TRT Spor	[tur]
14	10845	H	West	8105	TJK TV	[tur]
	10887	H	Africa	2105	France 24 English	[eng]
	10887	H	Africa	2106	DW English	[eng]
	10887	H	Africa	2107	Q TV (Zambia)	[eng]
	10887	H	Africa	2108	Prophetic TV	[eng]
	10887	H	Africa	2109	Shiloh TV	[eng]
	10887	H	Africa	2110	1 Touch TV	[eng]
	10887	H	Africa	2111	Calvary Family TV	[eng]
	10887	H	Africa	2112	Top TV (Tanzania)	[eng]
	10887	H	Africa	2113	Viewsat promo	[eng]
	10887	H	Africa	2114	Diamond TV (Zambia)	[eng]
	10887	H	Africa	2115	Nonkas TV	[eng]
	10887	H	Africa	2116	Revelation TV (Zambia)	[eng]
15	10887	V	West	206	TRT World	[eng]
	10928	H	Africa	1	Muvi TV	[eng]
	10928	H	Africa	2	Africa Unite TV	[eng]
	10928	H	Africa	3	Zambian TV	[eng]
	10928	H	Africa	4	Muvi Bakadoli	[eng]
	10928	H	Africa	5	Baby TV Europe	[eng]
	10928	H	Africa	6	JimJam Europe	[eng]
	10928	H	Africa	7	Boing Africa	[eng]
	10928	H	Africa	8	Discovery Science	[eng]
	10928	H	Africa	9	National Geographic South Africa	[eng]
	10928	H	Africa	16	Investigation Discovery Africa	[eng]
	10928	H	Africa	17	CBS Reality Africa	[eng]
	10928	H	Africa	18	Pinoy Novella	
	10928	H	Africa	19	ZNBC TV 1	[eng]
	10928	H	Africa	20	Emmanuel TV	[eng]
	10928	H	Africa	21	Prism Africa	[eng]
	10928	H	Africa	22	Hope Channel Zambia	[eng]
	10928	H	Africa	23	ESPN Africa	[eng]
	10928	H	Africa	24	ESPN 2 Africa	[eng]
	10928	H	Africa	25	MBC 2 (UAE)	[ara]
	10928	H	Africa	32	MBC Max	[ara]
	10928	H	Africa	33	MBC Action	[eng]
	10928	H	Africa	34	Muvi Nyimbo	[eng]
	10928	H	Africa	35	BET Africa	[eng]
	10928	H	Africa	36	MBC 4	[eng]
	10928	H	Africa	37	Fox Africa	[eng]
	10928	H	Africa	38	Fox Life Africa	[eng]
