Frequency	Pol	Txp	Beam	EIRP (dbW)	Provider	System	SR-FEC	Modulation	ONID-TID	Source	Updated	Row
10721	H	A1	Europe B	0	IVG	DVB-S	22000-3/4		100-20000	N Schlammer	200208	8000
10721	V	AWW2	West	50-52	OpenSky	DVB-S	27500-3/4		126-2578	T Viererbe	130406	8006
10804	H	AWW5	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-20500	D Shimoni|William-1|S Günes	200128	8013
10804	V	AWW6	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-20400	F Dibba	200301	8015
10845	H	AWW7	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-20700	S Günes	200116	8028
10845	V	AWW8	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-20800	S Günes	200116	8030
10887	H	K9	Africa	0	Eutelsat	DVB-S2	30000-4/5	QPSK		Eutelsat	190311	8031
10887	H	AWW9	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-20900	MZ	190917	8044
10887	V	AWW10	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-21100	S Günes	171111	8045
10928	H	K11	Africa	0	Muvi TV	DVB-S2	30000-3/4	8PSK		Anonymous	181110	8047
10928	H	AWW11	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-21000	S Günes	200116	8084
10928	V	AWW12	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-21200	N Schlammer	190411	8085
10959	H	B1	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	140824	9000
10962	V	B2	Europe A		(feeds)	DVB-S2	9875-?	8PSK		F Kocsis	180916	9001
10965	H	B1	Europe A		(feeds)	DVB-S2	14400-?	8PSK		F Kocsis	180916	9002
10970	V	B2	Europe A		(feeds)	DVB-S	4434-7/8			Roli	141020	9003
10971	H	B1	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Jamie A	150517	9004
10976	H	B1	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	150715	9005
10978	V	B2	Europe A		(feeds)	DVB-S2	7200-3/4	8PSK		Roli	150706	9006
10987	H	B1	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Jamie A	150617	9007
10995	V	B2	Europe A		(feeds)	DVB-S2	7200-3/4	8PSK		Jamie A	160116	9008
10997	H	B1	Europe A		(feeds)	DVB-S2	9874-3/4	8PSK		Roli	140817	9009
11005	H	B1	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Jamie A	151017	9010
11006	V	B2	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	150417	9011
11012	V	B2	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	150417	9012
11015	H	B1	Europe A		(feeds)	DVB-S2	7200-?	8PSK		F Kocsis	180916	9013
11018	V	B2	Europe A		(feeds)	DVB-S	3255-7/8			Roli	141020	9014
11022	V	B2	Europe A		(feeds)	DVB-S2	3676-3/4	8PSK		Roli	141020	9015
11023	H	B1	Europe A		(feeds)	DVB-S2	7200-3/4	8PSK		Marcel 2	180506	9016
11027	H	B1	Europe A		(feeds)	DVB-S2	1000-3/4			Stanley_cassidy	180825	9017
11042	V	B4	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Jamie A	191124	9018
11046	H	B3	Europe A		EVN TV	DVB-S2	8335-5/6	8PSK	0-0	D Lita	141216	9019
11054	H	B3	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	140824	9020
11057	V	B4	Europe A		(feeds)	DVB-S2	9874-3/4	8PSK		Jamie A	141029	9021
11060	H	B3	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	140817	9022
11066	H	B3	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	141020	9023
11068	V	B4	Europe A		(feeds)	DVB-S2	9874-3/4	8PSK		Roli	140817	9024
11076	H	B3	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		M Hajdú	170528	9025
11078	V	B4	Europe A		(feeds)	DVB-S2	7200-3/4	8PSK		Jamie A	151208	9026
11084	H	B3	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	141026	9027
11090	H	B3	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	150221	9028
11090	V	B4	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	140824	9029
11096	H	B3	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	141020	9030
11096	V	B4	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Jamie A	150915	9031
11107	V	B4	Europe A		(feeds)	DVB-S2	7200-3/4	8PSK		Roli	150429	9032
11108	H	B3	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Marcel 2	180506	9033
11125	H	B5	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	180814	9034
11125	V	B6	Europe A		(feeds)	DVB-S2	4150-3/4	16APSK		M Sixx	181205	9035
11131	H	B5	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	180814	9036
11136	V	B6	Europe A		(feeds)	DVB-S2	7120-?	8PSK		F Kocsis	180916	9037
11137	H	G3	Africa		(feeds)	DVB-S	6111-?			F Orwa	131208	9038
11148	V	B6	Europe A		(feeds)	DVB-S2	2400-3/4	8PSK		Roli	190930	9039
11151	V	B6	Europe A		(feeds)	DVB-S2	2400-3/4	8PSK		Roli	190930	9040
11153	H	B5	Europe A		(feeds)	DVB-S2	7500-?	8PSK		F Kocsis	180916	9041
11154	V	B6	Europe A		(feeds)	DVB-S2	2400-3/4	8PSK		Roli	190930	9042
11157	V	B6	Europe A		(feeds)	DVB-S2	2400-3/4	8PSK		Roli	190930	9043
11161	V	B6	Europe A		(feeds)	DVB-S2	4600-2/3	16APSK		Jamie A	191211	9044
11164	H	B5	Europe A		(feeds)	DVB-S2	7200-?	8PSK		F Kocsis	180916	9045
11167	V	B6	Europe A		(feeds)	DVB-S2	4800-2/3	8PSK		Jamie A	191212	9046
11173	V	B6	Europe A		(feeds)	DVB-S2	4800-2/3	8PSK		Jamie A	191212	9047
11179	V	B6	Europe A		(feeds)	DVB-S2	4800-2/3	8PSK		Jamie A	191212	9048
11180	H	B5	Europe A		(feeds)	DVB-S2	7200-3/4	8PSK		Jamie A	180817	9049
11184	H	G3	Africa		(feeds)	DVB-S	5714-?			F Orwa	131208	9050
11185	V	B6	Europe A		(feeds)	DVB-S2	4800-2/3	8PSK		Jamie A	191212	9051
11190	H	B5	Europe A		(feeds)	DVB-S2	7120-?	8PSK		F Kocsis	180916	9052
11192	H	G3	Africa	0	MBC	DVB-S	3210-3/4			P Laschan	200310	9053
